Date,vix
19960102,12.19
19960103,12.10
19960104,13.78
19960105,13.58
19960108,13.11
19960109,15.21
19960110,16.40
19960111,14.69
19960112,14.23
19960115,14.99
19960116,14.09
19960117,14.25
19960118,13.58
19960119,12.70
19960122,13.34
19960123,13.56
19960124,12.54
19960125,12.94
19960126,12.00
19960129,12.19
19960130,12.42
19960131,12.53
19960201,12.65
19960202,13.23
19960205,13.46
19960206,14.59
19960207,14.11
19960208,13.89
19960209,14.63
19960212,14.69
19960213,14.94
19960214,15.59
19960215,16.13
19960216,15.37
19960220,16.80
19960221,14.47
19960222,14.56
19960223,14.78
19960226,16.38
19960227,16.63
19960228,16.72
19960229,17.04
19960301,16.72
19960304,16.67
19960305,16.10
19960306,16.56
19960307,16.49
19960308,20.70
19960311,19.40
19960312,19.09
19960313,18.13
19960314,16.93
19960315,16.54
19960318,17.31
19960319,18.35
19960320,18.66
19960321,17.74
19960322,17.05
19960325,17.84
19960326,17.80
19960327,17.89
19960328,18.16
19960329,18.88
19960401,17.90
19960402,16.45
19960403,16.33
19960404,16.18
19960408,18.72
19960409,17.32
19960410,20.22
19960411,19.65
19960412,17.38
19960415,16.83
19960416,16.45
19960417,17.07
19960418,16.41
19960419,15.12
19960422,15.38
19960423,15.01
19960424,14.91
19960425,14.72
19960426,14.75
19960429,15.45
19960430,15.83
19960501,16.07
19960502,18.62
19960503,16.70
19960506,16.92
19960507,16.87
19960508,15.78
19960509,16.99
19960510,15.61
19960513,15.16
19960514,14.90
19960515,15.59
19960516,15.71
19960517,15.13
19960520,15.80
19960521,16.00
19960522,15.50
19960523,16.17
19960524,15.54
19960528,16.92
19960529,17.15
19960530,16.02
19960531,16.07
19960603,16.86
19960604,16.18
19960605,16.04
19960606,16.84
19960607,16.10
19960610,16.78
19960611,16.68
19960612,17.00
19960613,17.12
19960614,18.64
19960617,17.46
19960618,17.45
19960619,17.54
19960620,16.97
19960621,15.80
19960624,15.91
19960625,15.43
19960626,15.23
19960627,14.19
19960628,13.68
19960701,13.78
19960702,14.19
19960703,14.21
19960705,16.09
19960708,16.42
19960709,15.49
19960710,15.51
19960711,17.81
19960712,17.09
19960715,20.11
19960716,20.10
19960717,19.22
19960718,17.93
19960719,17.26
19960722,20.41
19960723,21.55
19960724,21.44
19960725,19.39
19960726,17.45
19960729,20.09
19960730,20.53
19960731,19.46
19960801,18.76
19960802,16.19
19960805,17.36
19960806,16.93
19960807,16.24
19960808,16.04
19960809,15.77
19960812,15.57
19960813,16.41
19960814,15.96
19960815,15.46
19960816,14.81
19960819,15.27
19960820,14.73
19960821,14.52
19960822,13.71
19960823,14.18
19960826,15.38
19960827,15.11
19960828,15.10
19960829,16.22
19960830,17.01
19960903,18.47
19960904,18.64
19960905,20.51
19960906,17.10
19960909,16.36
19960910,16.25
19960911,16.06
19960912,15.97
19960913,15.20
19960916,15.43
19960917,15.74
19960918,15.86
19960919,16.03
19960920,15.65
19960923,16.46
19960924,16.45
19960925,16.22
19960926,16.11
19960927,16.10
19960930,16.95
19961001,17.05
19961002,16.78
19961003,16.77
19961004,14.80
19961007,15.11
19961008,15.58
19961009,16.09
19961010,16.26
19961011,15.07
19961014,15.13
19961015,15.83
19961016,15.60
19961017,15.41
19961018,15.08
19961021,15.98
19961022,16.40
19961023,16.45
19961024,16.89
19961025,17.29
19961028,18.34
19961029,18.28
19961030,18.48
19961031,18.11
19961101,17.89
19961104,18.04
19961105,17.65
19961106,16.97
19961107,17.21
19961108,15.78
19961111,14.04
19961112,15.36
19961113,14.89
19961114,13.79
19961115,14.36
19961118,15.12
19961119,15.23
19961120,15.94
19961121,15.77
19961122,14.92
19961125,15.91
19961126,16.97
19961127,16.96
19961129,17.14
19961202,17.93
19961203,18.68
19961204,17.93
19961205,18.14
19961206,18.82
19961209,17.75
19961210,17.88
19961211,19.68
19961212,20.45
19961213,21.09
19961216,21.99
19961217,20.77
19961218,19.42
19961219,18.77
19961220,18.85
19961223,19.50
19961224,18.68
19961226,18.59
19961227,19.13
19961230,19.51
19961231,20.92
19970102,21.14
19970103,19.13
19970106,19.89
19970107,19.35
19970108,20.24
19970109,20.91
19970110,19.63
19970113,19.84
19970114,19.27
19970115,19.40
19970116,19.61
19970117,18.63
19970120,18.60
19970121,17.81
19970122,17.09
19970123,18.47
19970124,19.33
19970127,20.16
19970128,20.74
19970129,20.23
19970130,19.47
19970131,
19970203,19.58
19970204,19.43
19970205,21.06
19970206,20.16
19970207,18.90
19970210,20.65
19970211,19.97
19970212,19.48
19970213,19.23
19970214,19.18
19970218,19.70
19970219,20.61
19970220,21.41
19970221,20.55
19970224,19.84
19970225,19.98
19970226,20.74
19970227,21.08
19970228,21.10
19970303,20.89
19970304,20.62
19970305,19.49
19970306,20.48
19970307,19.32
19970310,19.00
19970311,19.25
19970312,19.61
19970313,19.79
19970314,19.81
19970317,20.95
19970318,21.26
19970319,21.74
19970320,21.22
19970321,19.69
19970324,20.06
19970325,19.26
19970326,18.32
19970327,20.50
19970331,22.14
19970401,20.84
19970402,21.30
19970403,21.19
19970404,19.23
19970407,18.51
19970408,18.44
19970409,18.56
19970410,19.01
19970411,19.76
19970414,19.09
19970415,18.25
19970416,17.64
19970417,18.71
19970418,18.75
19970421,20.10
19970422,19.52
19970423,20.48
19970424,20.83
19970425,21.15
19970428,21.34
19970429,19.81
19970430,20.06
19970501,19.87
19970502,17.51
19970505,20.13
19970506,20.85
19970507,21.34
19970508,21.26
19970509,20.11
19970512,20.25
19970513,20.81
19970514,21.09
19970515,19.91
19970516,21.57
19970519,21.48
19970520,19.26
19970521,19.28
19970522,18.77
19970523,18.08
