Date,VIX_Value,Vol_Label,Is_High_Vol
19960117,14.25,Low,0
19960214,15.59,Low,0
19960320,18.66,High,1
19960417,17.07,Low,0
19960522,15.5,Low,0
19960619,17.54,Low,0
19960717,19.22,High,1
19960821,14.52,Low,0
19960918,15.86,Low,0
19961016,15.6,Low,0
19961120,15.94,Low,0
19961218,19.42,High,1
19970122,17.09,Low,0
19970219,20.61,High,1
19970319,21.74,High,1
19970416,17.64,Low,0
19970521,19.28,High,1
19970618,20.45,High,1
19970716,19.36,High,1
19970820,21.09,High,1
19970917,24.1,High,1
19971022,19.86,High,1
19971119,29.93,High,1
19971217,26.33,High,1
19980121,22.53,High,1
19980218,19.66,High,1
19980318,18.29,Low,0
19980415,20.89,High,1
19980520,19.89,High,1
19980617,22.89,High,1
19980722,20.32,High,1
19980819,28.69,High,1
19980916,35.94,High,1
19981021,33.21,High,1
19981118,27.13,High,1
19981216,29.96,High,1
19990120,28.6,High,1
19990217,30.65,High,1
19990317,25.57,High,1
19990421,23.31,High,1
19990519,25.08,High,1
19990616,22.4,High,1
19990721,21.46,High,1
19990818,23.3,High,1
19990915,24.56,High,1
19991020,23.9,High,1
19991117,20.96,High,1
19991222,22.43,High,1
20000119,21.72,High,1
20000216,23.51,High,1
20000322,21.49,High,1
20000419,27.02,High,1
20000517,23.98,High,1
20000621,20.61,High,1
20000719,19.65,High,1
20000816,18.02,Low,0
20000920,19.93,High,1
20001018,28.72,High,1
20001115,26.15,High,1
20001220,31.74,High,1
20010117,24.93,High,1
20010214,21.52,High,1
20010321,31.93,High,1
20010418,24.13,High,1
20010516,21.89,High,1
20010620,21.71,High,1
20010718,23.6,High,1
20010822,22.44,High,1
20010919,40.56,High,1
20011017,35.08,High,1
20011121,24.19,High,1
20011219,22.58,High,1
20020116,23.45,High,1
20020213,20.85,High,1
20020320,18.46,High,1
20020417,18.43,High,1
20020522,19.58,High,1
20020619,26.06,High,1
20020717,35.45,High,1
20020821,28.23,High,1
20020918,37.52,High,1
20021016,36,High,1
20021120,25.32,High,1
