target_ttm,date,exdate,calendar_ttm,rf_days,rf_annualized,rf_gross,rf_source_date,rf_lag_days,interp_method,status
30,19960118,19960216,29,28,0.0567143908695652,1.00436017100331,19960118,0,interpolate,Success
30,19960215,19960315,29,28,0.0538179254545455,1.00413703238066,19960215,0,interpolate,Success
30,19960321,19960419,29,28,0.0550884,1.00423490141038,19960321,0,interpolate,Success
30,19960418,19960517,29,28,0.054888492,1.0042195011763,19960418,0,interpolate,Success
30,19960523,19960621,29,28,0.0547975628571429,1.00421249638178,19960523,0,interpolate,Success
30,19960620,19960719,29,28,0.055369998,1.00425659516555,19960620,0,interpolate,Success
30,19960718,19960816,29,28,0.0549687560869565,1.00422568442087,19960718,0,interpolate,Success
30,19960822,19960920,29,28,0.0546218939285714,1.00419896373288,19960822,0,interpolate,Success
30,19960919,19961018,29,28,0.0552292685714286,1.00424575358903,19960919,0,interpolate,Success
30,19961017,19961115,29,28,0.0543167934782609,1.00417546076527,19961017,0,interpolate,Success
30,19961121,19961220,29,28,0.0544080560714286,1.00418249098819,19961121,0,interpolate,Success
30,19961219,19970117,29,28,0.0562672165714286,1.00432571824211,19961219,0,interpolate,Success
30,19970123,19970221,29,28,0.0548404935714286,1.00421580357537,19970123,0,interpolate,Success
30,19970220,19970321,29,28,0.0544080460714286,1.00418249021785,19970220,0,interpolate,Success
30,19970320,19970418,29,28,0.05617999,1.00431899796626,19970320,0,interpolate,Success
30,19970417,19970516,29,28,0.0573768439130435,1.00441121219242,19970417,0,interpolate,Success
30,19970522,19970620,29,28,0.0574673792857143,1.00441818803258,19970522,0,interpolate,Success
30,19970619,19970718,29,28,0.0573724625714286,1.00441087460694,19970619,0,interpolate,Success
30,19970717,19970815,29,28,0.0571858008695652,1.00439649229564,19970717,0,interpolate,Success
30,19970821,19970919,29,28,0.0569296214285714,1.00437675396768,19970821,0,interpolate,Success
30,19970918,19971017,29,28,0.0571434525714286,1.00439322938176,19970918,0,interpolate,Success
30,19971023,19971121,29,28,0.0572570982142857,1.00440198574212,19971023,0,interpolate,Success
30,19971120,19971219,29,28,0.0575747754285714,1.0044264630746,19971120,0,interpolate,Success
30,19971218,19980116,29,28,0.0593639073913044,1.00456432853996,19971218,0,interpolate,Success
30,19980122,19980220,29,28,0.05654307,1.00434697136396,19980122,0,interpolate,Success
30,19980219,19980320,29,28,0.0568369792857143,1.00436961609384,19980219,0,interpolate,Success
30,19980319,19980417,29,28,0.0572021537142857,1.00439775227647,19980319,0,interpolate,Success
30,19980416,19980515,29,28,0.0571383191304348,1.00439283385358,19980416,0,interpolate,Success
30,19980521,19980619,29,28,0.0569768967857143,1.00438039644978,19980521,0,interpolate,Success
30,19980618,19980717,29,28,0.0571345082857143,1.00439254023065,19980618,0,interpolate,Success
30,19980723,19980821,29,28,0.0571268814285714,1.00439195258689,19980723,0,interpolate,Success
30,19980820,19980918,29,28,0.0570500428571429,1.00438603225037,19980820,0,interpolate,Success
30,19980917,19981016,29,28,0.0566463243478261,1.00435492670879,19980917,0,interpolate,Success
30,19981022,19981120,29,28,0.0528827585714286,1.00406499934923,19981022,0,interpolate,Success
30,19981119,19981218,29,28,0.0508596134285714,1.00390918037715,19981119,0,interpolate,Success
30,19981217,19990115,29,28,0.0545515017391304,1.00419354112455,19981217,0,interpolate,Success
30,19990121,19990219,29,28,0.0499035196428571,1.00383555218083,19990121,0,interpolate,Success
30,19990218,19990319,29,28,0.0498569568571429,1.00383196654715,19990218,0,interpolate,Success
30,19990318,19990416,29,28,0.0496533669565217,1.00381628896708,19990318,0,interpolate,Success
30,19990422,19990521,29,28,0.0494350489285714,1.00379947750952,19990422,0,interpolate,Success
30,19990520,19990618,29,28,0.0497099291428571,1.00382064455251,19990520,0,interpolate,Success
30,19990617,19990716,29,28,0.050360882173913,1.00387077271521,19990617,0,interpolate,Success
30,19990722,19990820,29,28,0.0521372664285714,1.00400758008178,19990722,0,interpolate,Success
30,19990819,19990917,29,28,0.0537101685714286,1.00412873193565,19990819,0,interpolate,Success
30,19990916,19991015,29,28,0.0543718626086956,1.00417970289462,19990916,0,interpolate,Success
30,19991021,19991119,29,28,0.0547168982142857,1.00420628236159,19991021,0,interpolate,Success
30,19991118,19991217,29,28,0.0564965725714286,1.004343388939,19991118,0,interpolate,Success
30,19991223,20000121,29,28,0.0695497860714286,1.00534958425295,19991223,0,interpolate,Success
