date,exdate
19960116,19960315
19960220,19960419
19960319,19960517
19960423,19960621
19960521,19960719
19960618,19960816
19960723,19960920
19960820,19961018
19960917,19961115
19961022,19961220
19961119,19970117
19961224,19970221
19970121,19970321
19970218,19970418
19970318,19970516
19970422,19970620
19970520,19970718
19970617,19970815
19970722,19970919
19970819,19971017
19970923,19971121
19971021,19971219
19971118,19980116
19971223,19980220
19980120,19980320
19980217,19980417
19980317,19980515
19980421,19980619
19980519,19980717
19980623,19980821
19980721,19980918
19980818,19981016
19980922,19981120
19981020,19981218
19981117,19990115
19981222,19990219
19990119,19990319
19990216,19990416
19990323,19990521
19990420,19990618
19990518,19990716
19990622,19990820
19990720,19990917
19990817,19991015
19990921,19991119
19991019,19991217
19991123,20000121
19991221,20000218
20000118,20000317
20000222,20000420
20000321,20000519
20000418,20000616
20000523,20000721
20000620,20000818
20000718,20000915
20000822,20001020
20000919,20001117
20001017,20001215
20001121,20010119
20001219,20010216
20010116,20010316
20010220,20010420
20010320,20010518
20010417,20010615
20010522,20010720
20010619,20010817
20010724,20010921
20010821,20011019
20010918,20011116
20011023,20011221
20011120,20020118
20011218,20020215
20020115,20020315
20020219,20020419
20020319,20020517
20020423,20020621
20020521,20020719
20020618,20020816
20020723,20020920
20020820,20021018
20020917,20021115
20021022,20021220
20021119,20030117
20021224,20030221
20030121,20030321
20030218,20030417
20030318,20030516
20030422,20030620
20030520,20030718
20030617,20030815
20030722,20030919
20030819,20031017
20030923,20031121
20031021,20031219
20031118,20040116
20031223,20040220
20040120,20040319
20040217,20040416
20040323,20040521
20040420,20040618
20040518,20040716
20040622,20040820
20040720,20040917
20040817,20041015
20040921,20041119
20041019,20041217
20041123,20050121
20041221,20050218
20050118,20050318
20050215,20050415
20050322,20050520
20050419,20050617
20050517,20050715
20050621,20050819
20050719,20050916
20050823,20051021
20050920,20051118
20051018,20051216
20051122,20060120
20051220,20060217
20060117,20060317
20060221,20060421
20060321,20060519
20060418,20060616
20060523,20060721
20060620,20060818
20060718,20060915
20060822,20061020
20060919,20061117
20061017,20061215
20061121,20070119
20061219,20070216
20070116,20070316
20070220,20070420
20070320,20070518
20070417,20070615
20070522,20070720
20070619,20070817
20070724,20070921
20070821,20071019
20070918,20071116
20071023,20071221
20071120,20080118
20071218,20080215
20080122,20080320
20080219,20080418
20080318,20080516
20080422,20080620
20080520,20080718
20080617,20080815
20080722,20080919
20080819,20081017
20080923,20081121
20081021,20081219
20081118,20090116
20081223,20090220
20090120,20090320
20090217,20090417
20090317,20090515
20090421,20090619
20090519,20090717
20090623,20090821
20090721,20090918
20090818,20091016
20090922,20091120
20091020,20091218
20091117,20100115
20091222,20100219
20100119,20100319
20100216,20100416
20100323,20100521
20100420,20100618
20100518,20100716
20100622,20100820
20100720,20100917
20100817,20101015
20100921,20101119
20101019,20101217
20101123,20110121
20101221,20110218
20110118,20110318
20110215,20110415
20110322,20110520
20110419,20110617
20110517,20110715
20110621,20110819
20110719,20110916
20110823,20111021
20110920,20111118
20111018,20111216
20111122,20120120
20111220,20120217
20120117,20120316
20120221,20120420
20120320,20120518
20120417,20120615
20120522,20120720
20120619,20120817
20120724,20120921
20120821,20121019
20120918,20121116
20121023,20121221
20121120,20130118
20121218,20130215
20130115,20130315
20130219,20130419
20130319,20130517
20130423,20130621
20130521,20130719
20130618,20130816
20130723,20130920
20130820,20131018
20130917,20131115
20131022,20131220
20131119,20140117
20131224,20140221
20140121,20140321
20140218,20140417
20140318,20140516
20140422,20140620
20140520,20140718
20140617,20140815
20140722,20140919
20140819,20141017
20140923,20141121
20141021,20141219
20141118,20150116
20141222,20150220
20150120,20150320
20150217,20150417
20150316,20150515
20150420,20150619
20150518,20150717
20150622,20150821
20150720,20150918
20150817,20151016
20150921,20151120
20151020,20151218
20151116,20160115
20151221,20160219
20160119,20160318
20160216,20160415
20160321,20160520
20160418,20160617
20160516,20160715
20160620,20160819
20160718,20160916
20160822,20161021
20160919,20161118
20161017,20161216
20161121,20170120
20161219,20170217
20170117,20170317
20170221,20170421
20170320,20170519
20170417,20170616
20170522,20170721
20170619,20170818
20170717,20170915
20170821,20171020
20170918,20171117
20171016,20171215
20171120,20180119
20171218,20180216
20180116,20180316
20180220,20180420
20180319,20180518
20180416,20180615
20180521,20180720
20180618,20180817
20180723,20180921
20180820,20181019
20180917,20181116
20181022,20181221
20181119,20190118
20181217,20190215
20190114,20190315
20190219,20190418
20190318,20190517
20190422,20190621
20190520,20190719
20190617,20190816
20190722,20190920
20190819,20191018
20190916,20191115
20191021,20191220
20191118,20200117
20191223,20200221
20200121,20200320
20200218,20200417
20200316,20200515
20200420,20200619
20200518,20200717
20200622,20200821
20200720,20200918
20200817,20201016
20200921,20201120
20201019,20201218
20201116,20210115
20201221,20210219
20210119,20210319
20210216,20210416
20210322,20210521
20210419,20210618
20210517,20210716
20210621,20210820
20210719,20210917
20210816,20211015
20210920,20211119
20211018,20211217
20211122,20220121
20211220,20220218
20220118,20220318
20220214,20220414
20220321,20220520
20220418,20220617
20220516,20220715
20220621,20220819
20220718,20220916
20220822,20221021
20220919,20221118
20221017,20221216
20221121,20230120
20221219,20230217
20230117,20230317
20230221,20230421
20230320,20230519
20230417,20230616
20230522,20230721
20230620,20230818
20230717,20230915
20230821,20231020
20230918,20231117
20231016,20231215
20231120,20240119
20231218,20240216
20240116,20240315
20240220,20240419
20240318,20240517
20240422,20240621
20240520,20240719
20240617,20240816
20240722,20240920
20240819,20241018
20240916,20241115
20241021,20241220
20241118,20250117
20241223,20250221
