ttm_label,source_sheet,date,raw_exdate,exdate,raw_calendar_ttm,effective_calendar_ttm,final_ttm_after_am,raw_exdate_weekday,saturday_adjusted,holiday_adjusted
30,30D,19960118,19960217,19960216,30,29,28,Saturday,1,0
30,30D,19960215,19960316,19960315,30,29,28,Saturday,1,0
30,30D,19960321,19960420,19960419,30,29,28,Saturday,1,0
30,30D,19960418,19960518,19960517,30,29,28,Saturday,1,0
30,30D,19960523,19960622,19960621,30,29,28,Saturday,1,0
30,30D,19960620,19960720,19960719,30,29,28,Saturday,1,0
30,30D,19960718,19960817,19960816,30,29,28,Saturday,1,0
30,30D,19960822,19960921,19960920,30,29,28,Saturday,1,0
30,30D,19960919,19961019,19961018,30,29,28,Saturday,1,0
30,30D,19961017,19961116,19961115,30,29,28,Saturday,1,0
30,30D,19961121,19961221,19961220,30,29,28,Saturday,1,0
30,30D,19961219,19970118,19970117,30,29,28,Saturday,1,0
30,30D,19970123,19970222,19970221,30,29,28,Saturday,1,0
30,30D,19970220,19970322,19970321,30,29,28,Saturday,1,0
30,30D,19970320,19970419,19970418,30,29,28,Saturday,1,0
30,30D,19970417,19970517,19970516,30,29,28,Saturday,1,0
30,30D,19970522,19970621,19970620,30,29,28,Saturday,1,0
30,30D,19970619,19970719,19970718,30,29,28,Saturday,1,0
30,30D,19970717,19970816,19970815,30,29,28,Saturday,1,0
30,30D,19970821,19970920,19970919,30,29,28,Saturday,1,0
30,30D,19970918,19971018,19971017,30,29,28,Saturday,1,0
30,30D,19971023,19971122,19971121,30,29,28,Saturday,1,0
30,30D,19971120,19971220,19971219,30,29,28,Saturday,1,0
30,30D,19971218,19980117,19980116,30,29,28,Saturday,1,0
30,30D,19980122,19980221,19980220,30,29,28,Saturday,1,0
30,30D,19980219,19980321,19980320,30,29,28,Saturday,1,0
30,30D,19980319,19980418,19980417,30,29,28,Saturday,1,0
30,30D,19980416,19980516,19980515,30,29,28,Saturday,1,0
30,30D,19980521,19980620,19980619,30,29,28,Saturday,1,0
30,30D,19980618,19980718,19980717,30,29,28,Saturday,1,0
30,30D,19980723,19980822,19980821,30,29,28,Saturday,1,0
30,30D,19980820,19980919,19980918,30,29,28,Saturday,1,0
30,30D,19980917,19981017,19981016,30,29,28,Saturday,1,0
30,30D,19981022,19981121,19981120,30,29,28,Saturday,1,0
30,30D,19981119,19981219,19981218,30,29,28,Saturday,1,0
30,30D,19981217,19990116,19990115,30,29,28,Saturday,1,0
30,30D,19990121,19990220,19990219,30,29,28,Saturday,1,0
30,30D,19990218,19990320,19990319,30,29,28,Saturday,1,0
30,30D,19990318,19990417,19990416,30,29,28,Saturday,1,0
30,30D,19990422,19990522,19990521,30,29,28,Saturday,1,0
30,30D,19990520,19990619,19990618,30,29,28,Saturday,1,0
30,30D,19990617,19990717,19990716,30,29,28,Saturday,1,0
30,30D,19990722,19990821,19990820,30,29,28,Saturday,1,0
30,30D,19990819,19990918,19990917,30,29,28,Saturday,1,0
30,30D,19990916,19991016,19991015,30,29,28,Saturday,1,0
30,30D,19991021,19991120,19991119,30,29,28,Saturday,1,0
30,30D,19991118,19991218,19991217,30,29,28,Saturday,1,0
30,30D,19991223,20000122,20000121,30,29,28,Saturday,1,0
30,30D,20000120,20000219,20000218,30,29,28,Saturday,1,0
30,30D,20000217,20000318,20000317,30,29,28,Saturday,1,0
30,30D,20000323,20000422,20000420,30,28,27,Saturday,1,1
30,30D,20000420,20000520,20000519,30,29,28,Saturday,1,0
30,30D,20000518,20000617,20000616,30,29,28,Saturday,1,0
30,30D,20000622,20000722,20000721,30,29,28,Saturday,1,0
30,30D,20000720,20000819,20000818,30,29,28,Saturday,1,0
30,30D,20000817,20000916,20000915,30,29,28,Saturday,1,0
30,30D,20000921,20001021,20001020,30,29,28,Saturday,1,0
30,30D,20001019,20001118,20001117,30,29,28,Saturday,1,0
30,30D,20001116,20001216,20001215,30,29,28,Saturday,1,0
30,30D,20001221,20010120,20010119,30,29,28,Saturday,1,0
30,30D,20010118,20010217,20010216,30,29,28,Saturday,1,0
30,30D,20010215,20010317,20010316,30,29,28,Saturday,1,0
30,30D,20010322,20010421,20010420,30,29,28,Saturday,1,0
30,30D,20010419,20010519,20010518,30,29,28,Saturday,1,0
30,30D,20010517,20010616,20010615,30,29,28,Saturday,1,0
30,30D,20010621,20010721,20010720,30,29,28,Saturday,1,0
30,30D,20010719,20010818,20010817,30,29,28,Saturday,1,0
30,30D,20010823,20010922,20010921,30,29,28,Saturday,1,0
30,30D,20010920,20011020,20011019,30,29,28,Saturday,1,0
30,30D,20011018,20011117,20011116,30,29,28,Saturday,1,0
30,30D,20011123,20011222,20011221,29,28,27,Saturday,1,0
30,30D,20011220,20020119,20020118,30,29,28,Saturday,1,0
30,30D,20020117,20020216,20020215,30,29,28,Saturday,1,0
30,30D,20020214,20020316,20020315,30,29,28,Saturday,1,0
30,30D,20020321,20020420,20020419,30,29,28,Saturday,1,0
30,30D,20020418,20020518,20020517,30,29,28,Saturday,1,0
30,30D,20020523,20020622,20020621,30,29,28,Saturday,1,0
30,30D,20020620,20020720,20020719,30,29,28,Saturday,1,0
30,30D,20020718,20020817,20020816,30,29,28,Saturday,1,0
30,30D,20020822,20020921,20020920,30,29,28,Saturday,1,0
30,30D,20020919,20021019,20021018,30,29,28,Saturday,1,0
30,30D,20021017,20021116,20021115,30,29,28,Saturday,1,0
30,30D,20021121,20021221,20021220,30,29,28,Saturday,1,0
30,30D,20021219,20030118,20030117,30,29,28,Saturday,1,0
30,30D,20030123,20030222,20030221,30,29,28,Saturday,1,0
30,30D,20030220,20030322,20030321,30,29,28,Saturday,1,0
30,30D,20030320,20030419,20030417,30,28,27,Saturday,1,1
30,30D,20030417,20030517,20030516,30,29,28,Saturday,1,0
30,30D,20030522,20030621,20030620,30,29,28,Saturday,1,0
30,30D,20030619,20030719,20030718,30,29,28,Saturday,1,0
30,30D,20030717,20030816,20030815,30,29,28,Saturday,1,0
30,30D,20030821,20030920,20030919,30,29,28,Saturday,1,0
30,30D,20030918,20031018,20031017,30,29,28,Saturday,1,0
30,30D,20031023,20031122,20031121,30,29,28,Saturday,1,0
30,30D,20031120,20031220,20031219,30,29,28,Saturday,1,0
30,30D,20031218,20040117,20040116,30,29,28,Saturday,1,0
30,30D,20040122,20040221,20040220,30,29,28,Saturday,1,0
30,30D,20040219,20040320,20040319,30,29,28,Saturday,1,0
30,30D,20040318,20040417,20040416,30,29,28,Saturday,1,0
30,30D,20040422,20040522,20040521,30,29,28,Saturday,1,0
30,30D,20040520,20040619,20040618,30,29,28,Saturday,1,0
30,30D,20040617,20040717,20040716,30,29,28,Saturday,1,0
30,30D,20040722,20040821,20040820,30,29,28,Saturday,1,0
30,30D,20040819,20040918,20040917,30,29,28,Saturday,1,0
30,30D,20040916,20041016,20041015,30,29,28,Saturday,1,0
30,30D,20041021,20041120,20041119,30,29,28,Saturday,1,0
30,30D,20041118,20041218,20041217,30,29,28,Saturday,1,0
30,30D,20041223,20050122,20050121,30,29,28,Saturday,1,0
30,30D,20050120,20050219,20050218,30,29,28,Saturday,1,0
30,30D,20050217,20050319,20050318,30,29,28,Saturday,1,0
30,30D,20050317,20050416,20050415,30,29,28,Saturday,1,0
30,30D,20050421,20050521,20050520,30,29,28,Saturday,1,0
30,30D,20050519,20050618,20050617,30,29,28,Saturday,1,0
30,30D,20050616,20050716,20050715,30,29,28,Saturday,1,0
30,30D,20050721,20050820,20050819,30,29,28,Saturday,1,0
30,30D,20050818,20050917,20050916,30,29,28,Saturday,1,0
30,30D,20050922,20051022,20051021,30,29,28,Saturday,1,0
