date,exdate,price_date,price_exdate,has_price_date,has_price_exdate,drop_reason
19960117,19960419,606.37,645.07,True,True,
19960214,19960517,655.58,668.91,True,True,
19960320,19960621,649.98,666.84,True,True,
19960417,19960719,641.61,638.73,True,True,
19960522,19960816,678.42,665.21,True,True,
19960619,19960920,661.96,687.03,True,True,
19960717,19961018,634.07,710.82,True,True,
19960821,19961115,665.07,737.62,True,True,
19960918,19961220,681.47,748.87,True,True,
19961016,19970117,704.41,776.17,True,True,
19961120,19970221,743.95,801.77,True,True,
19961218,19970321,731.54,784.1,True,True,
19970122,19970418,786.23,766.34,True,True,
19970219,19970516,812.49,829.75,True,True,
19970319,19970620,785.77,898.7,True,True,
19970416,19970718,763.53,915.3,True,True,
19970521,19970815,839.35,900.81,True,True,
19970618,19970919,889.06,950.51,True,True,
19970716,19971017,936.59,944.16,True,True,
19970820,19971121,939.35,963.09,True,True,
19970917,19971219,943,946.78,True,True,
19971022,19980116,968.49,961.51,True,True,
19971119,19980220,944.59,1034.21,True,True,
19971217,19980320,965.54,1099.16,True,True,
19980121,19980417,970.81,1122.72,True,True,
19980218,19980515,1032.08,1108.73,True,True,
19980318,19980619,1085.52,1100.65,True,True,
19980415,19980717,1119.32,1186.75,True,True,
19980520,19980821,1119.06,1081.24,True,True,
19980617,19980918,1107.11,1020.09,True,True,
19980722,19981016,1164.08,1056.42,True,True,
19980819,19981120,1098.06,1163.55,True,True,
19980916,19981218,1045.48,1188.03,True,True,
19981021,19990115,1069.92,1243.26,True,True,
19981118,19990219,1144.48,1239.22,True,True,
19981216,19990319,1161.94,1299.29,True,True,
19990120,19990416,1256.62,1319,True,True,
19990217,19990521,1224.03,1330.29,True,True,
19990317,19990618,1297.82,1342.84,True,True,
19990421,19990716,1336.12,1418.78,True,True,
19990519,19990820,1344.23,1336.61,True,True,
19990616,19990917,1330.41,1335.42,True,True,
19990721,19991015,1379.29,1247.41,True,True,
19990818,19991119,1332.84,1422,True,True,
19990915,19991217,1317.97,1421.03,True,True,
19991020,20000121,1289.43,1441.36,True,True,
19991117,20000218,1410.71,1346.09,True,True,
19991222,20000317,1436.13,1464.47,True,True,
20000119,20000420,1455.9,1434.54,True,True,
20000216,20000519,1387.67,1406.95,True,True,
20000321,20000616,1493.87,1464.46,True,True,
20000419,20000721,1427.47,1480.19,True,True,
20000517,20000818,1447.8,1491.72,True,True,
20000621,20000915,1479.13,1465.81,True,True,
20000719,20001020,1481.96,1396.93,True,True,
20000816,20001117,1479.85,1367.72,True,True,
20000920,20001215,1451.34,1312.15,True,True,
20001018,20010119,1342.13,1342.54,True,True,
20001115,20010216,1389.81,1301.53,True,True,
20001220,20010316,1264.74,1150.53,True,True,
20010117,20010420,1329.47,1242.98,True,True,
20010214,20010518,1315.92,1291.96,True,True,
20010321,20010615,1122.14,1214.36,True,True,
20010418,20010720,1238.16,1210.85,True,True,
20010516,20010817,1284.99,1161.97,True,True,
20010620,20010921,1223.14,965.8,True,True,
20010718,20011019,1207.71,1073.48,True,True,
20010822,20011116,1165.31,1138.65,True,True,
20010919,20011221,1016.1,1144.89,True,True,
20011017,20020118,1077.09,1127.58,True,True,
20011121,20020215,1137.03,1104.18,True,True,
20011219,20020315,1149.56,1166.16,True,True,
20020116,20020419,1127.57,1125.17,True,True,
20020213,20020517,1118.51,1106.59,True,True,
20020320,20020621,1151.85,989.14,True,True,
20020417,20020719,1126.07,847.76,True,True,
20020522,20020816,1086.02,928.77,True,True,
20020619,20020920,1019.99,845.39,True,True,
20020717,20021018,906.04,884.39,True,True,
20020821,20021115,949.36,909.83,True,True,
20020918,20021220,869.46,895.75,True,True,
20021016,20030117,860.02,901.78,True,True,
20021120,20030221,914.15,848.17,True,True,
20021218,20030321,891.12,895.79,True,True,
20030122,20030417,878.36,893.58,True,True,
20030219,20030516,845.13,944.3,True,True,
20030318,20030620,866.75,995.69,True,True,
20030416,20030718,879.91,993.32,True,True,
20030521,20030815,923.42,990.67,True,True,
20030618,20030919,1010.09,1036.3,True,True,
20030716,20031017,994,1039.32,True,True,
20030820,20031121,1000.3,1035.28,True,True,
20030917,20031219,1025.97,1088.67,True,True,
20031022,20040116,1030.36,1139.83,True,True,
20031119,20040220,1042.44,1144.11,True,True,
20031217,20040319,1076.48,1109.78,True,True,
20040121,20040416,1147.62,1134.61,True,True,
20040218,20040521,1151.82,1093.56,True,True,
20040317,20040618,1123.75,1135.02,True,True,
20040421,20040716,1124.09,1101.39,True,True,
20040519,20040820,1088.68,1098.35,True,True,
20040616,20040917,1133.56,1128.55,True,True,
20040721,20041015,1093.88,1108.2,True,True,
20040818,20041119,1095.17,1170.34,True,True,
20040915,20041217,1120.37,1194.22,True,True,
20041020,20050121,1103.66,1167.87,True,True,
20041117,20050218,1181.94,1201.59,True,True,
20041222,20050318,1209.57,1189.65,True,True,
20050119,20050415,1184.63,1142.62,True,True,
20050216,20050520,1210.34,1189.28,True,True,
20050316,20050617,1188.07,1216.96,True,True,
20050420,20050715,1137.5,1227.92,True,True,
20050518,20050819,1185.56,1219.71,True,True,
20050615,20050916,1206.58,1237.91,True,True,
20050720,20051021,1235.2,1179.59,True,True,
20050817,20051118,1220.24,1248.27,True,True,
20050921,20051216,1210.2,1267.32,True,True,
20051019,20060120,1195.76,1261.49,True,True,
20051116,20060217,1231.21,1287.24,True,True,
20051221,20060317,1262.79,1307.25,True,True,
20060118,20060421,1277.93,1311.28,True,True,
20060215,20060519,1280,1267.03,True,True,
20060322,20060616,1305.04,1251.54,True,True,
20060419,20060721,1309.93,1240.29,True,True,
20060517,20060818,1270.32,1302.3,True,True,
20060621,20060915,1252.2,1319.87,True,True,
20060719,20061020,1259.81,1368.6,True,True,
20060816,20061117,1295.43,1401.2,True,True,
20060920,20061215,1325.18,1427.09,True,True,
20061018,20070119,1365.96,1430.5,True,True,
20061115,20070216,1396.57,1455.54,True,True,
20061220,20070316,1423.53,1386.95,True,True,
20070117,20070420,1430.62,1484.35,True,True,
20070214,20070518,1455.3,1522.75,True,True,
20070321,20070615,1435.04,1532.91,True,True,
20070418,20070720,1472.5,1534.1,True,True,
20070516,20070817,1514.14,1445.94,True,True,
20070620,20070921,1512.84,1525.75,True,True,
20070718,20071019,1546.17,1500.63,True,True,
20070822,20071116,1464.07,1458.74,True,True,
20070919,20071221,1529.03,1484.46,True,True,
20071017,20080118,1541.24,1325.19,True,True,
20071121,20080215,1416.77,1349.99,True,True,
20071219,20080320,1453,1329.51,True,True,
20080116,20080418,1373.2,1390.33,True,True,
20080219,20080516,1348.78,1425.35,True,True,
20080319,20080620,1298.42,1317.93,True,True,
20080416,20080718,1364.71,1260.68,True,True,
20080521,20080815,1390.71,1298.2,True,True,
20080618,20080919,1337.81,1255.08,True,True,
20080716,20081017,1245.36,940.55,True,True,
20080820,20081121,1274.54,800.03,True,True,
20080917,20081219,1156.39,887.88,True,True,
20081022,20090116,896.78,850.12,True,True,
20081119,20090220,806.58,770.05,True,True,
20081217,20090320,904.42,768.54,True,True,
20090121,20090417,840.24,869.6,True,True,
20090218,20090515,788.42,882.88,True,True,
20090318,20090619,794.35,921.23,True,True,
20090415,20090717,852.06,940.38,True,True,
20090520,20090821,903.47,1026.13,True,True,
20090617,20090918,910.71,1068.3,True,True,
20090722,20091016,954.07,1087.68,True,True,
20090819,20091120,996.46,1091.38,True,True,
20090916,20091218,1068.76,1102.47,True,True,
20091021,20100115,1081.4,1136.03,True,True,
20091118,20100219,1109.8,1109.17,True,True,
20091216,20100319,1109.18,1159.9,True,True,
20100120,20100416,1138.04,1192.13,True,True,
20100217,20100521,1099.51,1087.69,True,True,
20100317,20100618,1166.21,1117.51,True,True,
20100421,20100716,1205.94,1064.88,True,True,
20100519,20100820,1115.05,1071.69,True,True,
20100616,20100917,1114.61,1125.59,True,True,
20100721,20101015,1069.59,1176.19,True,True,
20100818,20101119,1094.16,1199.73,True,True,
20100915,20101217,1125.07,1243.91,True,True,
20101020,20110121,1178.17,1283.35,True,True,
20101117,20110218,1178.59,1343.01,True,True,
20101222,20110318,1258.84,1279.2,True,True,
20110119,20110415,1281.92,1319.68,True,True,
20110216,20110520,1336.32,1333.27,True,True,
20110316,20110617,1256.88,1271.5,True,True,
20110420,20110715,1330.36,1316.14,True,True,
20110518,20110819,1340.68,1123.53,True,True,
20110615,20110916,1265.42,1216.01,True,True,
20110720,20111021,1325.84,1238.25,True,True,
20110817,20111118,1193.89,1215.65,True,True,
20110921,20111216,1166.76,1219.66,True,True,
20111019,20120120,1209.88,1315.38,True,True,
20111116,20120217,1236.91,1361.23,True,True,
20111221,20120316,1243.72,1404.17,True,True,
20120118,20120420,1308.04,1378.53,True,True,
20120215,20120518,1343.23,1295.22,True,True,
20120321,20120615,1402.89,1342.84,True,True,
20120418,20120720,1385.14,1362.66,True,True,
20120516,20120817,1324.8,1418.16,True,True,
20120620,20120921,1355.69,1460.15,True,True,
20120718,20121019,1372.78,1433.19,True,True,
20120822,20121116,1413.49,1359.88,True,True,
20120919,20121221,1461.05,1430.15,True,True,
20121017,20130118,1460.91,1485.98,True,True,
20121121,20130215,1391.03,1519.79,True,True,
20121219,20130315,1435.81,1560.7,True,True,
20130116,20130419,1472.63,1555.25,True,True,
