date,exdate
19960117,19960621
19960214,19960920
19960320,19960920
19960417,19960920
19960522,19961220
19960619,19961220
19960717,19961220
19960821,19970321
19960918,19970321
19961016,19970321
19961120,19970620
19961218,19970620
19970122,19970620
19970219,19970919
19970319,19970919
19970416,19970919
19970521,19971219
19970618,19971219
19970716,19971219
19970820,19980320
19970917,19980320
19971022,19980320
19971119,19980619
19971217,19980619
19980121,19980619
19980218,19980918
19980318,19980918
19980415,19980918
19980520,19981218
19980617,19981218
19980722,19981218
19980819,19990319
19980916,19990319
19981021,19990319
19981118,19990618
19981216,19990618
19990120,19990618
19990217,19990917
19990317,19990917
19990421,19990917
19990519,19991217
19990616,19991217
19990721,20000121
19990818,20000121
19990915,20000317
19991020,20000317
19991117,20000616
19991222,20000616
20000119,20000616
20000216,20000915
20000321,20000915
20000419,20000915
20000517,20001215
20000621,20001215
20000719,20001215
20000816,20010316
20000920,20010316
20001018,20010316
20001115,20010615
20001220,20010615
20010117,20010615
20010214,20010921
20010321,20010921
20010418,20010921
20010516,20011221
20010620,20011221
20010718,20011221
20010822,20020315
20010919,20020315
20011017,20020315
20011121,20020621
20011219,20020621
20020116,20020621
20020213,20020920
20020320,20020920
20020417,20020920
20020522,20021220
20020619,20021220
20020717,20021220
20020821,20030321
20020918,20030321
20021016,20030321
20021120,20030620
20021218,20030620
20030122,20030620
20030219,20030919
20030318,20030919
20030416,20030919
20030521,20031219
20030618,20031219
20030716,20031219
20030820,20040319
20030917,20040319
20031022,20040319
20031119,20040618
20031217,20040618
20040121,20040618
20040218,20040917
20040317,20040917
20040421,20040917
20040519,20041217
20040616,20041217
20040721,20041217
20040818,20050318
20040915,20050318
20041020,20050318
20041117,20050617
20041222,20050617
20050119,20050617
20050216,20050916
20050316,20050916
20050420,20050916
20050518,20051216
20050615,20051216
20050720,20051216
20050817,20060317
20050921,20060317
20051019,20060317
20051116,20060616
20051221,20060616
20060118,20060616
20060215,20060915
20060322,20060915
20060419,20060915
20060517,20061215
20060621,20061215
20060719,20061215
20060816,20070316
20060920,20070316
20061018,20070316
20061115,20070615
20061220,20070615
20070117,20070615
20070214,20070921
20070321,20070921
20070418,20070921
20070516,20071221
20070620,20071221
20070718,20071221
20070822,20080320
20070919,20080320
20071017,20080320
20071121,20080620
20071219,20080620
20080116,20080620
20080219,20080919
20080319,20080919
20080416,20080919
20080521,20081219
20080618,20081219
20080716,20081219
20080820,20090320
20080917,20090320
20081022,20090320
20081119,20090619
20081217,20090619
20090121,20090619
20090218,20090918
20090318,20090918
20090415,20090918
20090520,20091218
20090617,20091218
20090722,20091218
20090819,20100319
20090916,20100319
20091021,20100319
20091118,20100618
20091216,20100618
20100120,20100618
20100217,20100917
20100317,20100917
20100421,20100917
20100519,20101217
20100616,20101217
20100721,20101217
20100818,20110318
20100915,20110318
20101020,20110318
20101117,20110617
20101222,20110617
20110119,20110617
20110216,20110916
20110316,20110916
20110420,20110916
20110518,20111216
20110615,20111216
20110720,20111216
20110817,20120316
20110921,20120316
20111019,20120316
20111116,20120615
20111221,20120615
20120118,20120615
20120215,20120921
20120321,20120921
20120418,20120921
20120521,20121116
20120620,20121221
20120718,20121221
20120822,20130315
20120919,20130315
20121017,20130315
20121121,20130621
20121219,20130621
20130116,20130621
20130213,20130920
20130320,20130920
20130417,20130920
20130522,20131220
20130619,20131220
20130717,20140117
20130821,20140321
20130918,20140321
20131016,20140321
20131120,20140620
20131218,20140620
20140122,20140620
20140219,20140919
20140318,20140919
20140416,20140919
20140521,20141219
20140618,20141219
20140716,20150116
20140820,20150320
20140917,20150320
20141022,20150320
20141119,20150619
20141217,20150619
20150121,20150619
20150218,20150918
20150318,20150918
20150415,20150918
20150520,20151218
20150617,20151218
20150722,20160115
20150819,20160318
20150916,20160318
20151021,20160318
20151118,20160617
20151216,20160617
20160120,20160617
20160217,20160916
20160316,20160916
20160420,20160916
20160518,20161216
20160615,20161216
20160720,20170120
20160817,20170120
20160921,20170317
20161019,20170317
20161116,20170616
20161221,20170616
20170118,20170616
20170215,20170915
20170322,20170915
20170419,20170915
20170517,20171215
20170621,20171215
20170719,20180119
20170816,20180119
20170920,20180316
20171018,20180316
20171115,20180615
20171220,20180615
20180117,20180615
20180214,20180921
20180321,20180921
20180418,20180921
20180516,20181221
20180620,20181221
20180718,20190118
20180822,20190315
20180919,20190315
20181017,20190315
20181121,20190621
20181219,20190621
20190116,20190621
20190219,20190816
20190319,20190920
20190422,20191018
20190522,20191115
20190619,20191220
20190717,20200117
20190821,20200221
20190918,20200320
20191021,20200417
20191120,20200515
20191218,20200619
20200122,20200717
20200224,20200821
20200318,20200918
20200415,20201016
20200520,20201120
20200617,20201218
20200722,20210115
20200820,20210219
20200916,20210319
20201021,20210416
20201119,20210521
20201216,20210618
20210120,20210716
20210218,20210820
20210317,20210917
20210421,20211015
20210519,20211119
20210616,20211217
20210721,20220121
20210818,20220218
20210915,20220318
20211020,20220414
20211117,20220520
20211222,20220617
20220119,20220715
20220216,20220819
20220315,20220916
20220420,20221021
20220518,20221118
20220615,20221216
20220720,20230120
20220817,20230217
20220921,20230317
20221019,20230421
20221116,20230519
20221221,20230616
20230118,20230721
20230215,20230818
20230322,20230915
20230419,20231020
20230517,20231117
20230621,20231215
20230719,20240119
20230816,20240216
20230920,20240315
20231018,20240419
20231115,20240517
20231220,20240621
20240117,20240719
20240214,20240816
20240320,20240920
20240417,20241018
20240522,20241115
20240618,20241220
20240717,20250117
20240821,20250221
20240918,20250321
20241016,20250417
20241120,20250516
20241218,20250620
20250122,20250718
20250219,20250815
20250318,20250919
20250416,20251017
20250521,20251121
20250618,20251219
20250716,20260116
20250820,20260220
