date,exdate,ttm_label,months_ahead,quote_month,exp_month,third_friday,raw_quote_date,base_exp_month,base_exdate,base_third_friday,base_exdate_shifted_by_holiday,exdate_shifted_by_holiday,quote_date_shifted_by_holiday,calendar_days_to_exdate,ttm_after_am_settlement,original_date,original_exdate,date_shift_days,selected_months_ahead,ttm_error_days,selection_score,selection_mode,raw_chain_obs,preliminary_obs,preliminary_unique_k,contract_available
19960117,19960621,180,6,199601,199606,19960621,19960117,199602,19960216,19960216,0,0,0,156,155,19960117,19960719,0,5,25,25,same_date_nearest_expiration,41,25,20,1
19960214,19960920,180,6,199602,199609,19960920,19960214,199603,19960315,19960315,0,0,0,219,218,19960214,19960816,0,7,38,38,same_date_nearest_expiration,27,17,15,1
19960320,19960920,180,6,199603,199609,19960920,19960320,199604,19960419,19960419,0,0,0,184,183,19960320,19960920,0,6,3,3,original_pair,35,21,19,1
19960417,19960920,180,6,199604,199609,19960920,19960417,199605,19960517,19960517,0,0,0,156,155,19960417,19961018,0,5,25,25,same_date_nearest_expiration,39,25,20,1
19960522,19961220,180,6,199605,199612,19961220,19960522,199606,19960621,19960621,0,0,0,212,211,19960522,19961115,0,7,31,31,same_date_nearest_expiration,31,16,14,1
19960619,19961220,180,6,199606,199612,19961220,19960619,199607,19960719,19960719,0,0,0,184,183,19960619,19961220,0,6,3,3,original_pair,36,22,19,1
19960717,19961220,180,6,199607,199612,19961220,19960717,199608,19960816,19960816,0,0,0,156,155,19960717,19970117,0,5,25,25,same_date_nearest_expiration,45,25,21,1
19960821,19970321,180,6,199608,199703,19970321,19960821,199609,19960920,19960920,0,0,0,212,211,19960821,19970221,0,7,31,31,same_date_nearest_expiration,32,21,17,1
19960918,19970321,180,6,199609,199703,19970321,19960918,199610,19961018,19961018,0,0,0,184,183,19960918,19970321,0,6,3,3,original_pair,44,29,23,1
19961016,19970321,180,6,199610,199703,19970321,19961016,199611,19961115,19961115,0,0,0,156,155,19961016,19970418,0,5,25,25,same_date_nearest_expiration,48,27,23,1
19961120,19970620,180,6,199611,199706,19970620,19961120,199612,19961220,19961220,0,0,0,212,211,19961120,19970516,0,7,31,31,same_date_nearest_expiration,34,21,17,1
19961218,19970620,180,6,199612,199706,19970620,19961218,199701,19970117,19970117,0,0,0,184,183,19961218,19970620,0,6,3,3,original_pair,43,27,22,1
19970122,19970620,180,6,199701,199706,19970620,19970122,199702,19970221,19970221,0,0,0,149,148,19970122,19970718,0,5,32,32,same_date_nearest_expiration,48,27,22,1
19970219,19970919,180,6,199702,199709,19970919,19970219,199703,19970321,19970321,0,0,0,212,211,19970219,19970815,0,7,31,31,same_date_nearest_expiration,50,30,25,1
19970319,19970919,180,6,199703,199709,19970919,19970319,199704,19970418,19970418,0,0,0,184,183,19970319,19970919,0,6,3,3,original_pair,53,33,27,1
19970416,19970919,180,6,199704,199709,19970919,19970416,199705,19970516,19970516,0,0,0,156,155,19970416,19971017,0,5,25,25,same_date_nearest_expiration,56,31,26,1
19970521,19971219,180,6,199705,199712,19971219,19970521,199706,19970620,19970620,0,0,0,212,211,19970521,19971121,0,7,31,31,same_date_nearest_expiration,65,32,30,1
19970618,19971219,180,6,199706,199712,19971219,19970618,199707,19970718,19970718,0,0,0,184,183,19970618,19971219,0,6,3,3,original_pair,79,39,37,1
19970716,19971219,180,6,199707,199712,19971219,19970716,199708,19970815,19970815,0,0,0,156,155,19970716,19980116,0,5,25,25,same_date_nearest_expiration,84,44,39,1
19970820,19980320,180,6,199708,199803,19980320,19970820,199709,19970919,19970919,0,0,0,212,211,19970820,19980220,0,7,31,31,same_date_nearest_expiration,50,27,25,1
19970917,19980320,180,6,199709,199803,19980320,19970917,199710,19971017,19971017,0,0,0,184,183,19970917,19980320,0,6,3,3,original_pair,50,27,25,1
19971022,19980320,180,6,199710,199803,19980320,19971022,199711,19971121,19971121,0,0,0,149,148,19971022,19980417,0,5,32,32,same_date_nearest_expiration,54,28,25,1
