date,exdate,ttm_label,months_ahead,quote_month,exp_month,third_friday,raw_quote_date,base_exp_month,base_exdate,base_third_friday,base_exdate_shifted_by_holiday,exdate_shifted_by_holiday,quote_date_shifted_by_holiday,calendar_days_to_exdate,ttm_after_am_settlement,original_date,original_exdate,date_shift_days,selected_months_ahead,ttm_error_days,selection_score,selection_mode,raw_chain_obs,preliminary_obs,preliminary_unique_k,contract_available
19960117,19960216,30,1,199601,199602,19960216,19960117,199602,19960216,19960216,0,0,0,30,29,,,,,,,,,,,
19960214,19960315,30,1,199602,199603,19960315,19960214,199603,19960315,19960315,0,0,0,30,29,,,,,,,,,,,
19960320,19960419,30,1,199603,199604,19960419,19960320,199604,19960419,19960419,0,0,0,30,29,,,,,,,,,,,
19960417,19960517,30,1,199604,199605,19960517,19960417,199605,19960517,19960517,0,0,0,30,29,,,,,,,,,,,
19960522,19960621,30,1,199605,199606,19960621,19960522,199606,19960621,19960621,0,0,0,30,29,,,,,,,,,,,
19960619,19960719,30,1,199606,199607,19960719,19960619,199607,19960719,19960719,0,0,0,30,29,,,,,,,,,,,
19960717,19960816,30,1,199607,199608,19960816,19960717,199608,19960816,19960816,0,0,0,30,29,,,,,,,,,,,
19960821,19960920,30,1,199608,199609,19960920,19960821,199609,19960920,19960920,0,0,0,30,29,,,,,,,,,,,
19960918,19961018,30,1,199609,199610,19961018,19960918,199610,19961018,19961018,0,0,0,30,29,,,,,,,,,,,
19961016,19961115,30,1,199610,199611,19961115,19961016,199611,19961115,19961115,0,0,0,30,29,,,,,,,,,,,
19961120,19961220,30,1,199611,199612,19961220,19961120,199612,19961220,19961220,0,0,0,30,29,,,,,,,,,,,
19961218,19970117,30,1,199612,199701,19970117,19961218,199701,19970117,19970117,0,0,0,30,29,,,,,,,,,,,
19970122,19970221,30,1,199701,199702,19970221,19970122,199702,19970221,19970221,0,0,0,30,29,,,,,,,,,,,
19970219,19970321,30,1,199702,199703,19970321,19970219,199703,19970321,19970321,0,0,0,30,29,,,,,,,,,,,
19970319,19970418,30,1,199703,199704,19970418,19970319,199704,19970418,19970418,0,0,0,30,29,,,,,,,,,,,
19970416,19970516,30,1,199704,199705,19970516,19970416,199705,19970516,19970516,0,0,0,30,29,,,,,,,,,,,
19970521,19970620,30,1,199705,199706,19970620,19970521,199706,19970620,19970620,0,0,0,30,29,,,,,,,,,,,
19970618,19970718,30,1,199706,199707,19970718,19970618,199707,19970718,19970718,0,0,0,30,29,,,,,,,,,,,
19970716,19970815,30,1,199707,199708,19970815,19970716,199708,19970815,19970815,0,0,0,30,29,,,,,,,,,,,
19970820,19970919,30,1,199708,199709,19970919,19970820,199709,19970919,19970919,0,0,0,30,29,,,,,,,,,,,
19970917,19971017,30,1,199709,199710,19971017,19970917,199710,19971017,19971017,0,0,0,30,29,,,,,,,,,,,
19971022,19971121,30,1,199710,199711,19971121,19971022,199711,19971121,19971121,0,0,0,30,29,,,,,,,,,,,
19971119,19971219,30,1,199711,199712,19971219,19971119,199712,19971219,19971219,0,0,0,30,29,,,,,,,,,,,
19971217,19980116,30,1,199712,199801,19980116,19971217,199801,19980116,19980116,0,0,0,30,29,,,,,,,,,,,
19980121,19980220,30,1,199801,199802,19980220,19980121,199802,19980220,19980220,0,0,0,30,29,,,,,,,,,,,
19980218,19980320,30,1,199802,199803,19980320,19980218,199803,19980320,19980320,0,0,0,30,29,,,,,,,,,,,
19980318,19980417,30,1,199803,199804,19980417,19980318,199804,19980417,19980417,0,0,0,30,29,,,,,,,,,,,
19980415,19980515,30,1,199804,199805,19980515,19980415,199805,19980515,19980515,0,0,0,30,29,,,,,,,,,,,
19980520,19980619,30,1,199805,199806,19980619,19980520,199806,19980619,19980619,0,0,0,30,29,,,,,,,,,,,
19980617,19980717,30,1,199806,199807,19980717,19980617,199807,19980717,19980717,0,0,0,30,29,,,,,,,,,,,
19980722,19980821,30,1,199807,199808,19980821,19980722,199808,19980821,19980821,0,0,0,30,29,,,,,,,,,,,
19980819,19980918,30,1,199808,199809,19980918,19980819,199809,19980918,19980918,0,0,0,30,29,,,,,,,,,,,
19980916,19981016,30,1,199809,199810,19981016,19980916,199810,19981016,19981016,0,0,0,30,29,,,,,,,,,,,
19981021,19981120,30,1,199810,199811,19981120,19981021,199811,19981120,19981120,0,0,0,30,29,,,,,,,,,,,
19981118,19981218,30,1,199811,199812,19981218,19981118,199812,19981218,19981218,0,0,0,30,29,,,,,,,,,,,
19981216,19990115,30,1,199812,199901,19990115,19981216,199901,19990115,19990115,0,0,0,30,29,,,,,,,,,,,
19990120,19990219,30,1,199901,199902,19990219,19990120,199902,19990219,19990219,0,0,0,30,29,,,,,,,,,,,
19990217,19990319,30,1,199902,199903,19990319,19990217,199903,19990319,19990319,0,0,0,30,29,,,,,,,,,,,
19990317,19990416,30,1,199903,199904,19990416,19990317,199904,19990416,19990416,0,0,0,30,29,,,,,,,,,,,
19990421,19990521,30,1,199904,199905,19990521,19990421,199905,19990521,19990521,0,0,0,30,29,,,,,,,,,,,
19990519,19990618,30,1,199905,199906,19990618,19990519,199906,19990618,19990618,0,0,0,30,29,,,,,,,,,,,
19990616,19990716,30,1,199906,199907,19990716,19990616,199907,19990716,19990716,0,0,0,30,29,,,,,,,,,,,
19990721,19990820,30,1,199907,199908,19990820,19990721,199908,19990820,19990820,0,0,0,30,29,,,,,,,,,,,
19990818,19990917,30,1,199908,199909,19990917,19990818,199909,19990917,19990917,0,0,0,30,29,,,,,,,,,,,
19990915,19991015,30,1,199909,199910,19991015,19990915,199910,19991015,19991015,0,0,0,30,29,,,,,,,,,,,
19991020,19991119,30,1,199910,199911,19991119,19991020,199911,19991119,19991119,0,0,0,30,29,,,,,,,,,,,
19991117,19991217,30,1,199911,199912,19991217,19991117,199912,19991217,19991217,0,0,0,30,29,,,,,,,,,,,
19991222,20000121,30,1,199912,200001,20000121,19991222,200001,20000121,20000121,0,0,0,30,29,,,,,,,,,,,
20000119,20000218,30,1,200001,200002,20000218,20000119,200002,20000218,20000218,0,0,0,30,29,,,,,,,,,,,
20000216,20000317,30,1,200002,200003,20000317,20000216,200003,20000317,20000317,0,0,0,30,29,,,,,,,,,,,
20000321,20000420,30,1,200003,200004,20000421,20000321,200004,20000420,20000421,1,1,0,30,29,,,,,,,,,,,
20000419,20000519,30,1,200004,200005,20000519,20000419,200005,20000519,20000519,0,0,0,30,29,,,,,,,,,,,
20000517,20000616,30,1,200005,200006,20000616,20000517,200006,20000616,20000616,0,0,0,30,29,,,,,,,,,,,
20000621,20000721,30,1,200006,200007,20000721,20000621,200007,20000721,20000721,0,0,0,30,29,,,,,,,,,,,
20000719,20000818,30,1,200007,200008,20000818,20000719,200008,20000818,20000818,0,0,0,30,29,,,,,,,,,,,
20000816,20000915,30,1,200008,200009,20000915,20000816,200009,20000915,20000915,0,0,0,30,29,,,,,,,,,,,
20000920,20001020,30,1,200009,200010,20001020,20000920,200010,20001020,20001020,0,0,0,30,29,,,,,,,,,,,
20001018,20001117,30,1,200010,200011,20001117,20001018,200011,20001117,20001117,0,0,0,30,29,,,,,,,,,,,
20001115,20001215,30,1,200011,200012,20001215,20001115,200012,20001215,20001215,0,0,0,30,29,,,,,,,,,,,
20001220,20010119,30,1,200012,200101,20010119,20001220,200101,20010119,20010119,0,0,0,30,29,,,,,,,,,,,
20010117,20010216,30,1,200101,200102,20010216,20010117,200102,20010216,20010216,0,0,0,30,29,,,,,,,,,,,
20010214,20010316,30,1,200102,200103,20010316,20010214,200103,20010316,20010316,0,0,0,30,29,,,,,,,,,,,
20010321,20010420,30,1,200103,200104,20010420,20010321,200104,20010420,20010420,0,0,0,30,29,,,,,,,,,,,
20010418,20010518,30,1,200104,200105,20010518,20010418,200105,20010518,20010518,0,0,0,30,29,,,,,,,,,,,
20010516,20010615,30,1,200105,200106,20010615,20010516,200106,20010615,20010615,0,0,0,30,29,,,,,,,,,,,
20010620,20010720,30,1,200106,200107,20010720,20010620,200107,20010720,20010720,0,0,0,30,29,,,,,,,,,,,
20010718,20010817,30,1,200107,200108,20010817,20010718,200108,20010817,20010817,0,0,0,30,29,,,,,,,,,,,
20010822,20010921,30,1,200108,200109,20010921,20010822,200109,20010921,20010921,0,0,0,30,29,,,,,,,,,,,
20010919,20011019,30,1,200109,200110,20011019,20010919,200110,20011019,20011019,0,0,0,30,29,,,,,,,,,,,
20011017,20011116,30,1,200110,200111,20011116,20011017,200111,20011116,20011116,0,0,0,30,29,,,,,,,,,,,
20011121,20011221,30,1,200111,200112,20011221,20011121,200112,20011221,20011221,0,0,0,30,29,,,,,,,,,,,
20011219,20020118,30,1,200112,200201,20020118,20011219,200201,20020118,20020118,0,0,0,30,29,,,,,,,,,,,
20020116,20020215,30,1,200201,200202,20020215,20020116,200202,20020215,20020215,0,0,0,30,29,,,,,,,,,,,
20020213,20020315,30,1,200202,200203,20020315,20020213,200203,20020315,20020315,0,0,0,30,29,,,,,,,,,,,
20020320,20020419,30,1,200203,200204,20020419,20020320,200204,20020419,20020419,0,0,0,30,29,,,,,,,,,,,
20020417,20020517,30,1,200204,200205,20020517,20020417,200205,20020517,20020517,0,0,0,30,29,,,,,,,,,,,
20020522,20020621,30,1,200205,200206,20020621,20020522,200206,20020621,20020621,0,0,0,30,29,,,,,,,,,,,
20020619,20020719,30,1,200206,200207,20020719,20020619,200207,20020719,20020719,0,0,0,30,29,,,,,,,,,,,
20020717,20020816,30,1,200207,200208,20020816,20020717,200208,20020816,20020816,0,0,0,30,29,,,,,,,,,,,
20020821,20020920,30,1,200208,200209,20020920,20020821,200209,20020920,20020920,0,0,0,30,29,,,,,,,,,,,
20020918,20021018,30,1,200209,200210,20021018,20020918,200210,20021018,20021018,0,0,0,30,29,,,,,,,,,,,
20021016,20021115,30,1,200210,200211,20021115,20021016,200211,20021115,20021115,0,0,0,30,29,,,,,,,,,,,
20021120,20021220,30,1,200211,200212,20021220,20021120,200212,20021220,20021220,0,0,0,30,29,,,,,,,,,,,
20021218,20030117,30,1,200212,200301,20030117,20021218,200301,20030117,20030117,0,0,0,30,29,,,,,,,,,,,
20030122,20030221,30,1,200301,200302,20030221,20030122,200302,20030221,20030221,0,0,0,30,29,,,,,,,,,,,
20030219,20030321,30,1,200302,200303,20030321,20030219,200303,20030321,20030321,0,0,0,30,29,,,,,,,,,,,
