Target_Date,Target_ExDate,Target_TTM_Calendar,Final_TTM_AfterAM,Option_File,N_Loaded,N_SecID,N_TargetDate,N_TargetDateExDate,N_AfterBidFilter,N_AfterAskBidFilter,N_AfterNoArb,N_AfterOTM,N_AfterDropNaNIV,N_FinalObs,N_UniqueK,S0,S0_ADJ,RF,DY,DY_Date_Used,Mass_K,Mass_R,Neg_Ratio,Min_RND,Max_RND,EQ_R,GEV_R_Success,GEV_L_Success,Status,ElapsedSeconds
20210120,20210716,177,176,OP2021_1.txt,104282,104282,5405,450,449,449,444,234,234,230,230,3851.85,3822.84731141848,0.00179644771428571,0.01567434,20210120,1,1,0,0,0.000895672183212245,0.995746864749092,1,1,Success,13.3114378
20210218,20210820,183,182,OP2021_2.txt,104305,104305,5174,212,209,209,205,110,110,108,108,3913.97,3881.93893590443,0.00144238285714286,0.01648005,20210218,1,1,0,0,0.000809241279321702,0.995529184519579,1,1,Success,12.813485
20210317,20210917,184,183,OP2021_3.txt,133007,133007,5950,255,246,246,241,131,131,130,130,3974.12,3941.24330405324,0.00157623978021978,0.01656882,20210317,1,0.999999999999999,0,0,0.000857589738478046,0.995065945231743,1,1,Success,14.2818373
20210421,20211015,177,176,OP2021_4.txt,131451,131451,6322,505,493,493,488,257,257,252,252,4173.42,4142.10272848676,0.00176575142857143,0.01562092,20210421,1,1,0,0,0.000944929749134969,0.995375684364412,1,1,Success,15.030529
20210519,20211119,184,183,OP2021_5.txt,120915,120915,6124,236,223,223,219,118,118,116,116,4115.68,4084.68801603901,0.00149637892857143,0.01507613,20210519,1,1,0,0,0.000841472571640783,0.995887889508031,1,1,Success,13.4029566
20210616,20211217,184,183,OP2021_6.txt,126995,126995,5854,301,285,285,280,158,158,157,157,4223.7,4193.53287331917,0.00139761835164835,0.01429678,20210616,1,1,0,0,0.000907776705328567,0.994769069726652,1,1,Success,13.7439249
20210721,20220121,184,183,OP2021_7.txt,127845,127845,5819,249,231,231,228,126,126,124,124,4358.69,4328.30382634331,0.00149932454545455,0.0139534,20210721,1,1,0,0,0.000880215259517364,0.995587078254678,1,1,Success,16.4382258
20210818,20220218,184,183,OP2021_8.txt,141664,141664,6741,260,250,250,243,133,133,132,132,4400.27,4370.04753679768,0.00143077428571429,0.01374637,20210818,1,1,0,0,0.000826269462736282,0.995912091539999,1,1,Success,15.5645985
20210915,20220318,184,183,OP2021_9.txt,135057,135057,6559,280,266,266,260,143,143,141,141,4480.7,4451.15522564176,0.00140756461538462,0.01319509,20210915,1,1,0,0,0.000854413888182341,0.995882735672422,1,1,Success,14.0847041
20211020,20220414,176,175,OP2021_10.txt,137432,137432,6606,503,487,487,481,258,258,253,253,4536.19,4508.01645572451,0.00164295548387097,0.01299443,20211020,1,1,0,0,0.000913786884592553,0.996294589267045,1,1,Success,14.2168358
20211117,20220520,184,183,OP2021_11.txt,147777,147777,7248,283,266,266,260,143,143,141,141,4688.67,4659.41700963703,0.00216715214285714,0.01248305,20211117,1,1,0,0,0.000812584087384454,0.997409430416274,1,1,Success,14.6547181
20211222,20220617,177,176,OP2021_12.txt,156356,156356,7025,590,580,580,570,289,289,285,285,4696.56,4668.48137884272,0.005893544,0.01243591,20211222,1,1,0,0,0.000779786329080549,1.0000851851299,1,1,Success,15.0177826
