Target_Date,Target_ExDate,Target_TTM_Calendar,Final_TTM_AfterAM,Option_File,N_Loaded,N_SecID,N_TargetDate,N_TargetDateExDate,N_AfterBidFilter,N_AfterAskBidFilter,N_AfterNoArb,N_AfterOTM,N_AfterDropNaNIV,N_FinalObs,N_UniqueK,S0,S0_ADJ,RF,DY,DY_Date_Used,Mass_K,Mass_R,Neg_Ratio,Min_RND,Max_RND,EQ_R,GEV_R_Success,GEV_L_Success,Status,ElapsedSeconds
19960117,19960216,30,29,OP1996_1.txt,4904,4904,243,42,33,33,33,27,27,19,19,606.37,605.070344462249,0.056800655,0.02700544,19960117,1,1,0,0,0.0224049202216432,1.00254309411667,1,1,Success,8.6699835
19960214,19960315,30,29,OP1996_2.txt,5473,5473,265,49,37,37,37,33,33,25,25,655.58,654.275586899512,0.0537951133333333,0.02506783,19960214,1,1,0,0,0.0183967264913503,1.00185053807405,1,1,Success,8.4297647
19960320,19960419,30,29,OP1996_3.txt,6135,6135,282,53,47,47,45,31,31,23,23,649.98,648.709987395933,0.0546638375,0.02461657,19960320,1,1,0,0,0.0162196298291661,1.00126712110271,1,1,Success,8.4796099
19960417,19960517,30,29,OP1996_4.txt,5588,5588,264,47,40,40,40,28,28,20,20,641.61,640.368541816185,0.0551695008571429,0.02437678,19960417,1,1,0,0,0.0195590371084026,1.00175237966582,1,1,Success,8.501803
19960522,19960621,30,29,OP1996_5.txt,6102,6102,270,64,49,49,47,34,34,26,26,678.42,677.221011234121,0.0548978975,0.0222636,19960522,1,1,0,0,0.0181298725659681,1.00215387319088,1,1,Success,8.4731599
19960619,19960719,30,29,OP1996_6.txt,5516,5516,292,55,50,50,46,33,33,25,25,661.96,660.850989774124,0.0549249354285714,0.0211039,19960619,1,1,0,0,0.0161301779948419,1.00240598121824,1,1,Success,8.4492198
19960717,19960816,30,29,OP1996_7.txt,6470,6470,302,51,41,41,37,24,24,17,17,634.07,633.057119583722,0.0551686966666667,0.02012162,19960717,1,1,0,0,0.0161437107137982,1.00249155576407,1,1,Success,8.4769312
19960821,19960920,30,29,OP1996_8.txt,6240,6240,261,57,42,42,42,30,30,22,22,665.07,663.964385579833,0.0545920025,0.02094076,19960821,1,1,0,0,0.0201958432766792,1.00230782919075,1,1,Success,8.6856139
19960918,19961018,30,29,OP1996_9.txt,6095,6095,289,52,43,43,43,34,34,26,26,681.47,680.298829102025,0.0552694551428571,0.0216492,19960918,1,1,0,0,0.0180023187561511,1.00199818109083,1,1,Success,8.4407972
19961016,19961115,30,29,OP1996_10.txt,6992,6992,306,49,42,42,42,32,32,24,24,704.41,703.072393552285,0.054324555,0.02392271,19961016,1,1,0,0,0.0172994376153823,1.00192669545356,1,1,Success,8.6229573
19961120,19961220,30,29,OP1996_11.txt,6360,6360,305,67,50,50,50,35,35,27,27,743.95,742.516520387392,0.0544037025,0.02427512,19961120,1,1,0,0,0.0161660232549271,1.00177446987507,1,1,Success,8.5262998
19961218,19970117,30,29,OP1996_12.txt,6958,6958,323,53,48,48,45,32,32,24,24,731.54,730.128383085217,0.0565294065714286,0.02431045,19961218,1,1,0,0,0.0140171375687606,1.00199763636824,1,1,Success,8.5157728
19970122,19970221,30,29,OP1997_1.txt,7820,7820,353,57,50,50,50,30,30,23,23,786.23,784.853939559771,0.0549141221428571,0.02204769,19970122,1,1,0,0,0.0132859914350994,1.00241589010225,1,1,Success,8.6283487
19970219,19970321,30,29,OP1997_2.txt,7762,7762,402,81,60,60,60,42,42,34,34,812.49,811.11123324887,0.0543733739285714,0.02137649,19970219,1,1,0,0,0.0112861740291743,1.00230837306736,1,1,Success,8.628133
19970319,19970418,30,29,OP1997_3.txt,8391,8391,431,63,58,58,58,37,37,29,29,785.77,784.429971579618,0.055678142,0.02148246,19970319,1,1,0,0,0.0104286884357564,1.00252107765051,1,1,Success,8.5389961
19970416,19970516,30,29,OP1997_4.txt,9046,9046,424,59,51,51,51,32,32,24,24,763.53,762.367310077778,0.057431305,0.01918066,19970416,1,1,0,0,0.0134290612351274,1.00266258522274,1,1,Success,8.5753912
19970521,19970620,30,29,OP1997_5.txt,8782,8782,417,87,70,70,69,40,40,32,32,839.35,838.372257753845,0.0574379367857143,0.01466997,19970521,1,1,0,0,0.0101900781032669,1.003436714578,1,1,Success,8.5621737
19970618,19970718,30,29,OP1997_6.txt,9370,9370,520,76,67,67,67,38,38,30,30,889.06,888.060306589609,0.0574270997142857,0.01416038,19970618,1,1,0,0,0.00907441816431476,1.00291192351884,1,1,Success,8.6526785
19970716,19970815,30,29,OP1997_7.txt,9998,9998,439,62,52,52,52,39,39,31,31,936.59,935.30701183568,0.0573307966666667,0.01725304,19970716,1,1,0,0,0.00852828701582986,1.00255195956263,1,1,Success,8.6104753
19970820,19970919,30,29,OP1997_8.txt,9636,9636,458,124,105,105,103,51,51,43,43,939.35,937.872531437381,0.0568911710714286,0.01981196,19970820,1,1,0,0,0.00862399338366775,1.00296987056142,1,1,Success,8.5708728
19970917,19971017,30,29,OP1997_9.txt,9458,9458,496,72,69,69,67,41,41,34,34,943,941.576350970513,0.057168434,0.01901578,19970917,1,1,0,0,0.00745919338933235,1.00306597819341,1,1,Success,8.5336081
