date,exdate,ttm_label,months_ahead,quote_month,exp_month,third_friday,raw_quote_date,base_exp_month,base_exdate,base_third_friday,base_exdate_shifted_by_holiday,exdate_shifted_by_holiday,quote_date_shifted_by_holiday,calendar_days_to_exdate,ttm_after_am_settlement
19960117,19960315,60,2,199601,199603,19960315,19960117,199602,19960216,19960216,0,0,0,58,57
19960214,19960419,60,2,199602,199604,19960419,19960214,199603,19960315,19960315,0,0,0,65,64
19960320,19960517,60,2,199603,199605,19960517,19960320,199604,19960419,19960419,0,0,0,58,57
19960417,19960621,60,2,199604,199606,19960621,19960417,199605,19960517,19960517,0,0,0,65,64
19960522,19960719,60,2,199605,199607,19960719,19960522,199606,19960621,19960621,0,0,0,58,57
19960619,19960816,60,2,199606,199608,19960816,19960619,199607,19960719,19960719,0,0,0,58,57
19960717,19960920,60,2,199607,199609,19960920,19960717,199608,19960816,19960816,0,0,0,65,64
19960821,19961018,60,2,199608,199610,19961018,19960821,199609,19960920,19960920,0,0,0,58,57
19960918,19961115,60,2,199609,199611,19961115,19960918,199610,19961018,19961018,0,0,0,58,57
19961016,19961220,60,2,199610,199612,19961220,19961016,199611,19961115,19961115,0,0,0,65,64
19961120,19970117,60,2,199611,199701,19970117,19961120,199612,19961220,19961220,0,0,0,58,57
19961218,19970221,60,2,199612,199702,19970221,19961218,199701,19970117,19970117,0,0,0,65,64
19970122,19970321,60,2,199701,199703,19970321,19970122,199702,19970221,19970221,0,0,0,58,57
19970219,19970418,60,2,199702,199704,19970418,19970219,199703,19970321,19970321,0,0,0,58,57
19970319,19970516,60,2,199703,199705,19970516,19970319,199704,19970418,19970418,0,0,0,58,57
19970416,19970620,60,2,199704,199706,19970620,19970416,199705,19970516,19970516,0,0,0,65,64
19970521,19970718,60,2,199705,199707,19970718,19970521,199706,19970620,19970620,0,0,0,58,57
19970618,19970815,60,2,199706,199708,19970815,19970618,199707,19970718,19970718,0,0,0,58,57
19970716,19970919,60,2,199707,199709,19970919,19970716,199708,19970815,19970815,0,0,0,65,64
19970820,19971017,60,2,199708,199710,19971017,19970820,199709,19970919,19970919,0,0,0,58,57
19970917,19971121,60,2,199709,199711,19971121,19970917,199710,19971017,19971017,0,0,0,65,64
19971022,19971219,60,2,199710,199712,19971219,19971022,199711,19971121,19971121,0,0,0,58,57
19971119,19980116,60,2,199711,199801,19980116,19971119,199712,19971219,19971219,0,0,0,58,57
19971217,19980220,60,2,199712,199802,19980220,19971217,199801,19980116,19980116,0,0,0,65,64
19980121,19980320,60,2,199801,199803,19980320,19980121,199802,19980220,19980220,0,0,0,58,57
19980218,19980417,60,2,199802,199804,19980417,19980218,199803,19980320,19980320,0,0,0,58,57
19980318,19980515,60,2,199803,199805,19980515,19980318,199804,19980417,19980417,0,0,0,58,57
19980415,19980619,60,2,199804,199806,19980619,19980415,199805,19980515,19980515,0,0,0,65,64
19980520,19980717,60,2,199805,199807,19980717,19980520,199806,19980619,19980619,0,0,0,58,57
19980617,19980821,60,2,199806,199808,19980821,19980617,199807,19980717,19980717,0,0,0,65,64
19980722,19980918,60,2,199807,199809,19980918,19980722,199808,19980821,19980821,0,0,0,58,57
19980819,19981016,60,2,199808,199810,19981016,19980819,199809,19980918,19980918,0,0,0,58,57
19980916,19981120,60,2,199809,199811,19981120,19980916,199810,19981016,19981016,0,0,0,65,64
19981021,19981218,60,2,199810,199812,19981218,19981021,199811,19981120,19981120,0,0,0,58,57
19981118,19990115,60,2,199811,199901,19990115,19981118,199812,19981218,19981218,0,0,0,58,57
19981216,19990219,60,2,199812,199902,19990219,19981216,199901,19990115,19990115,0,0,0,65,64
19990120,19990319,60,2,199901,199903,19990319,19990120,199902,19990219,19990219,0,0,0,58,57
19990217,19990416,60,2,199902,199904,19990416,19990217,199903,19990319,19990319,0,0,0,58,57
19990317,19990521,60,2,199903,199905,19990521,19990317,199904,19990416,19990416,0,0,0,65,64
19990421,19990618,60,2,199904,199906,19990618,19990421,199905,19990521,19990521,0,0,0,58,57
19990519,19990716,60,2,199905,199907,19990716,19990519,199906,19990618,19990618,0,0,0,58,57
19990616,19990820,60,2,199906,199908,19990820,19990616,199907,19990716,19990716,0,0,0,65,64
19990721,19990917,60,2,199907,199909,19990917,19990721,199908,19990820,19990820,0,0,0,58,57
19990818,19991015,60,2,199908,199910,19991015,19990818,199909,19990917,19990917,0,0,0,58,57
19990915,19991119,60,2,199909,199911,19991119,19990915,199910,19991015,19991015,0,0,0,65,64
19991020,19991217,60,2,199910,199912,19991217,19991020,199911,19991119,19991119,0,0,0,58,57
19991117,20000121,60,2,199911,200001,20000121,19991117,199912,19991217,19991217,0,0,0,65,64
19991222,20000218,60,2,199912,200002,20000218,19991222,200001,20000121,20000121,0,0,0,58,57
20000119,20000317,60,2,200001,200003,20000317,20000119,200002,20000218,20000218,0,0,0,58,57
20000216,20000420,60,2,200002,200004,20000421,20000216,200003,20000317,20000317,0,1,0,64,63
20000321,20000519,60,2,200003,200005,20000519,20000321,200004,20000420,20000421,1,0,0,59,58
20000419,20000616,60,2,200004,200006,20000616,20000419,200005,20000519,20000519,0,0,0,58,57
20000517,20000721,60,2,200005,200007,20000721,20000517,200006,20000616,20000616,0,0,0,65,64
20000621,20000818,60,2,200006,200008,20000818,20000621,200007,20000721,20000721,0,0,0,58,57
20000719,20000915,60,2,200007,200009,20000915,20000719,200008,20000818,20000818,0,0,0,58,57
20000816,20001020,60,2,200008,200010,20001020,20000816,200009,20000915,20000915,0,0,0,65,64
20000920,20001117,60,2,200009,200011,20001117,20000920,200010,20001020,20001020,0,0,0,58,57
20001018,20001215,60,2,200010,200012,20001215,20001018,200011,20001117,20001117,0,0,0,58,57
20001115,20010119,60,2,200011,200101,20010119,20001115,200012,20001215,20001215,0,0,0,65,64
20001220,20010216,60,2,200012,200102,20010216,20001220,200101,20010119,20010119,0,0,0,58,57
20010117,20010316,60,2,200101,200103,20010316,20010117,200102,20010216,20010216,0,0,0,58,57
20010214,20010420,60,2,200102,200104,20010420,20010214,200103,20010316,20010316,0,0,0,65,64
20010321,20010518,60,2,200103,200105,20010518,20010321,200104,20010420,20010420,0,0,0,58,57
20010418,20010615,60,2,200104,200106,20010615,20010418,200105,20010518,20010518,0,0,0,58,57
20010516,20010720,60,2,200105,200107,20010720,20010516,200106,20010615,20010615,0,0,0,65,64
20010620,20010817,60,2,200106,200108,20010817,20010620,200107,20010720,20010720,0,0,0,58,57
20010718,20010921,60,2,200107,200109,20010921,20010718,200108,20010817,20010817,0,0,0,65,64
20010822,20011019,60,2,200108,200110,20011019,20010822,200109,20010921,20010921,0,0,0,58,57
20010919,20011116,60,2,200109,200111,20011116,20010919,200110,20011019,20011019,0,0,0,58,57
20011017,20011221,60,2,200110,200112,20011221,20011017,200111,20011116,20011116,0,0,0,65,64
20011121,20020118,60,2,200111,200201,20020118,20011121,200112,20011221,20011221,0,0,0,58,57
20011219,20020215,60,2,200112,200202,20020215,20011219,200201,20020118,20020118,0,0,0,58,57
20020116,20020315,60,2,200201,200203,20020315,20020116,200202,20020215,20020215,0,0,0,58,57
20020213,20020419,60,2,200202,200204,20020419,20020213,200203,20020315,20020315,0,0,0,65,64
20020320,20020517,60,2,200203,200205,20020517,20020320,200204,20020419,20020419,0,0,0,58,57
20020417,20020621,60,2,200204,200206,20020621,20020417,200205,20020517,20020517,0,0,0,65,64
20020522,20020719,60,2,200205,200207,20020719,20020522,200206,20020621,20020621,0,0,0,58,57
20020619,20020816,60,2,200206,200208,20020816,20020619,200207,20020719,20020719,0,0,0,58,57
20020717,20020920,60,2,200207,200209,20020920,20020717,200208,20020816,20020816,0,0,0,65,64
