alpha,beta,L1_gamma1,L1_loglik,L2_gamma1,L2_gamma2,L2_loglik,L3_gamma1,L3_gamma2,L3_gamma3,L3_loglik
0.5,1,-1.93,398.46,0.26,0.43,405.33,3.01,30,22.5,452.04
0.6,1,-1.71,481.81,1.07,0.56,490.06,2.82,26.92,20.54,511.03
0.7,1,-0.2,526.46,1.38,0.6,531.97,2.44,22.09,17.31,540.02
0.8,1,0.79,550.35,1.49,0.58,552.02,2.1,14.43,10.88,554.02
0.9,1,1.42,559.77,1.61,0.55,559.95,1.74,2.6,0.58,560
1,1,1.81,560.61,1.28,-8.23,561.18,1.28,-9.15,-1.64,561.25
1.1,1,2,556.28,0.78,-30.88,560.29,0.83,-32.55,-5.62,560.49
1.2,1,2.06,548.81,0.39,-62.91,558.82,0.48,-65.1,-11.19,559.11
1.3,1,1.99,539.45,0.14,-103.51,557.28,0.28,-105.96,-18.18,557.62
1.4,1,1.84,528.96,-0.66,-123.11,555.36,-0.38,-131.3,-22.51,555.89
1.5,1,1.64,517.87,-2.01,-126.61,551.57,-1.75,-135.1,-23.13,552.39
1.6,1,1.51,506.51,-3.52,-130.6,546.56,-3.27,-139.39,-23.83,547.62
1.7,1,1.47,495.1,-4.93,-143.97,540.95,-4.72,-151.7,-25.92,542.2
1.8,1,1.48,483.8,-6.34,-162.81,535.32,-6.11,-171.19,-29.23,536.72
1.9,1,1.49,472.74,3.65,-509.61,512.5,-7.56,-189.79,-32.39,531.37
2,1,1.51,461.99,-1.29,-510.54,511,-9.11,-207.58,-35.41,526.24
