alpha,beta,L1_gamma1,L1_loglik,L2_gamma1,L2_gamma2,L2_loglik,L3_gamma1,L3_gamma2,L3_gamma3,L3_loglik
0.5,1,-1.78,200.06,-2.1,-0.08,200.19,0.88,26.81,24.59,222.28
0.6,1,-1.45,236.81,-1.16,0.09,236.89,0.72,23.1,22.67,246.2
0.7,1,-0.73,254.64,-0.58,0.15,254.69,0.37,17.42,20.24,257.63
0.8,1,-0.14,262.51,-0.12,0.07,262.51,0,8.25,14.48,262.86
0.9,1,0.26,264.62,-0.41,-6.99,264.96,-0.4,-7.32,-1.26,264.97
1,1,0.5,263.34,-1.11,-25.29,265.46,-1.07,-26.08,-4.48,265.49
1.1,1,0.61,260.02,-1.77,-51.16,265.25,-1.7,-52.33,-8.94,265.3
1.2,1,0.64,255.48,-2.36,-83.61,264.77,-2.25,-85.06,-14.54,264.83
1.3,1,0.73,250.19,-2.83,-121.93,264.21,-2.69,-123.54,-21.14,264.28
1.4,1,0.91,244.46,-3.19,-165.41,263.64,-3.01,-167.03,-28.61,263.71
1.5,1,1.06,238.5,-3.43,-213.34,263.08,-3.23,-214.82,-36.83,263.13
1.6,1,1.18,232.45,-3.57,-265.03,262.53,-3.34,-266.25,-43.95,262.57
1.7,1,1.26,226.44,-3.62,-318.8,262.02,-3.37,-320.47,-53.44,262.03
1.8,1,1.33,220.52,-2.95,-398.39,261.49,-3.43,-377.14,-63.05,261.52
1.9,1,1.37,214.77,-2.76,-462.67,261.05,-3.49,-435.38,-74.31,261.06
2,1,1.42,209.2,-2.83,-513.37,260.7,-2.86,-506.02,-85.24,260.64
