alpha,beta,L1_gamma1,L1_loglik,L2_gamma1,L2_gamma2,L2_loglik,L3_gamma1,L3_gamma2,L3_gamma3,L3_loglik
0.5,1,-1.84,254.98,-0.7,0.24,256.45,2.01,27.85,22.65,287.28
0.6,1,-1.42,307.04,0.05,0.36,309.1,1.71,24.26,20.81,322.11
0.7,1,-0.22,334.36,0.35,0.38,334.95,1.23,18.55,18.07,339.23
0.8,1,0.46,347.03,0.53,0.29,347.06,0.84,8.94,11.24,347.59
0.9,1,0.91,351.16,0.43,-5.89,351.45,0.44,-6.24,-1.1,351.45
1,1,1.18,350.27,-0.16,-25.95,352.91,-0.12,-26.8,-4.63,352.96
1.1,1,1.29,346.39,-0.65,-54.24,353.35,-0.58,-55.48,-9.52,353.45
1.2,1,1.3,340.69,-1.02,-89.67,353.37,-0.9,-91.19,-15.64,353.49
1.3,1,1.22,333.91,-1.24,-131.54,353.22,-1.08,-133.2,-22.85,353.35
1.4,1,1.17,326.51,-1.29,-179.15,353,-1.11,-180.8,-31.04,353.13
1.5,1,1.21,318.76,-1.21,-231.77,352.74,-0.99,-233.27,-40.07,352.86
1.6,1,1.28,310.87,-0.98,-288.74,352.46,-0.7,-290.11,-49.86,352.56
1.7,1,1.35,302.98,-0.63,-349.25,352.19,-0.35,-350.07,-60.19,352.25
1.8,1,1.39,295.2,-0.23,-412.77,351.93,0.4,-415.25,-69.73,351.96
1.9,1,1.43,287.61,-0.11,-475.76,351.7,1.14,-483.28,-81.24,351.7
2,1,1.46,280.26,-0.09,-531.51,351.5,-1.21,-529.22,-89.61,351.39
