R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT
1.1001,0.9842,-0.0218,0.7263,-13.2161,0.0221,0.0243,33.3581,36.6972,18.1967,20.0182
1.1002,0.9842,-0.0217,0.725,-13.209,0.022,0.0243,33.4088,36.7563,18.2202,20.0458
1.1003,0.9842,-0.0216,0.7236,-13.2021,0.022,0.0242,33.4597,36.8156,18.2439,20.0738
1.1004,0.9842,-0.0216,0.7223,-13.195,0.0219,0.0241,33.5107,36.8752,18.2675,20.1016
1.1005,0.9842,-0.0215,0.721,-13.188,0.0218,0.024,33.562,36.9349,18.2913,20.1295
1.1006,0.9842,-0.0214,0.7197,-13.1809,0.0218,0.0239,33.6134,36.9948,18.315,20.1575
1.1007,0.9842,-0.0213,0.7184,-13.1738,0.0217,0.0239,33.6649,37.055,18.3386,20.1853
1.1008,0.9842,-0.0213,0.717,-13.1668,0.0216,0.0238,33.7167,37.1153,18.3627,20.2136
1.1009,0.9842,-0.0212,0.7157,-13.1599,0.0215,0.0237,33.7686,37.1758,18.3868,20.242
1.101,0.9842,-0.0211,0.7144,-13.1529,0.0215,0.0236,33.8207,37.2366,18.4109,20.2704
1.1011,0.9842,-0.0211,0.7131,-13.1459,0.0214,0.0236,33.8729,37.2975,18.4351,20.2989
1.1012,0.9842,-0.021,0.7118,-13.1388,0.0213,0.0235,33.9254,37.3586,18.4593,20.3273
1.1013,0.9842,-0.0209,0.7105,-13.1318,0.0212,0.0234,33.978,37.42,18.4835,20.3559
1.1014,0.9842,-0.0208,0.7091,-13.1248,0.0212,0.0233,34.0308,37.4815,18.5079,20.3846
1.1015,0.9842,-0.0208,0.7078,-13.1179,0.0211,0.0232,34.0838,37.5433,18.5325,20.4135
1.1016,0.9842,-0.0207,0.7065,-13.111,0.021,0.0232,34.1369,37.6053,18.5571,20.4425
1.1017,0.9842,-0.0206,0.7052,-13.1038,0.021,0.0231,34.1903,37.6675,18.5816,20.4713
1.1018,0.9842,-0.0206,0.7039,-13.0968,0.0209,0.023,34.2438,37.7298,18.6062,20.5003
1.1019,0.9842,-0.0205,0.7026,-13.09,0.0208,0.0229,34.2975,37.7924,18.6312,20.5297
1.102,0.9842,-0.0204,0.7013,-13.083,0.0207,0.0229,34.3514,37.8553,18.6561,20.5591
1.1021,0.9842,-0.0203,0.7,-13.076,0.0207,0.0228,34.4055,37.9183,18.6809,20.5883
1.1022,0.9842,-0.0203,0.6987,-13.0691,0.0206,0.0227,34.4597,37.9815,18.7061,20.6179
1.1023,0.9842,-0.0202,0.6973,-13.0622,0.0205,0.0226,34.5142,38.045,18.7312,20.6474
1.1024,0.9842,-0.0201,0.696,-13.055,0.0205,0.0226,34.5688,38.1087,18.7562,20.6768
1.1025,0.9842,-0.0201,0.6947,-13.0482,0.0204,0.0225,34.6236,38.1726,18.7816,20.7067
1.1026,0.9842,-0.02,0.6934,-13.0414,0.0203,0.0224,34.6786,38.2367,18.8072,20.7368
1.1027,0.9842,-0.0199,0.6921,-13.0344,0.0202,0.0223,34.7338,38.3011,18.8326,20.7667
1.1028,0.9842,-0.0199,0.6908,-13.0273,0.0202,0.0223,34.7892,38.3656,18.8578,20.7964
1.1029,0.9842,-0.0198,0.6895,-13.0204,0.0201,0.0222,34.8448,38.4304,18.8835,20.8267
1.103,0.9842,-0.0197,0.6882,-13.0136,0.02,0.0221,34.9006,38.4954,18.9094,20.8571
1.1031,0.9842,-0.0197,0.6869,-13.0066,0.02,0.022,34.9566,38.5607,18.935,20.8873
1.1032,0.9842,-0.0196,0.6856,-12.9997,0.0199,0.022,35.0127,38.6261,18.9609,20.9177
1.1033,0.9842,-0.0195,0.6843,-12.9929,0.0198,0.0219,35.0691,38.6918,18.987,20.9484
1.1034,0.9842,-0.0194,0.683,-12.986,0.0198,0.0218,35.1257,38.7577,19.013,20.979
1.1035,0.9841,-0.0194,0.6817,-12.9791,0.0197,0.0217,35.1824,38.8239,19.0391,21.0097
1.1036,0.9841,-0.0193,0.6804,-12.9721,0.0196,0.0217,35.2394,38.8903,19.0652,21.0405
1.1037,0.9841,-0.0192,0.6791,-12.9652,0.0196,0.0216,35.2966,38.9569,19.0915,21.0714
1.1038,0.9841,-0.0192,0.6778,-12.9584,0.0195,0.0215,35.3539,39.0238,19.118,21.1025
1.1039,0.9841,-0.0191,0.6765,-12.9514,0.0194,0.0214,35.4115,39.0909,19.1444,21.1336
1.104,0.9841,-0.019,0.6752,-12.9447,0.0193,0.0214,35.4693,39.1582,19.1711,21.165
1.1041,0.9841,-0.019,0.6739,-12.9379,0.0193,0.0213,35.5272,39.2257,19.1979,21.1965
1.1042,0.9841,-0.0189,0.6726,-12.9308,0.0192,0.0212,35.5854,39.2936,19.2243,21.2275
1.1043,0.9841,-0.0188,0.6713,-12.9239,0.0191,0.0211,35.6438,39.3616,19.2512,21.2591
1.1044,0.9841,-0.0188,0.67,-12.9173,0.0191,0.0211,35.7024,39.4299,19.2784,21.2912
1.1045,0.9841,-0.0187,0.6687,-12.9104,0.019,0.021,35.7612,39.4984,19.3054,21.3229
1.1046,0.9841,-0.0186,0.6675,-12.9034,0.0189,0.0209,35.8203,39.5672,19.3323,21.3545
