alpha,beta,L1_gamma1,L1_loglik,L1_validation_loss,L2_gamma1,L2_gamma2,L2_loglik,L2_validation_loss,L3_gamma1,L3_gamma2,L3_gamma3,L3_loglik,L3_validation_loss
0.7,0.9,0,522.84,0.02427584,0.23,0.39,529.7,0.02591229,1.6,3.86,0.83,530.9,0.01537083
0.7,0.95,0,525.16,0.02987446,0.81,0.5,530.94,0.02562594,2.2,5.38,1.35,533.11,0.01485337
0.7,1,0,526.42,0.03583211,1.38,0.6,531.97,0.02536643,2.75,6.81,1.91,534.96,0.01450847
0.7,1.05,0.4,527,0.03720508,1.94,0.69,532.82,0.02512981,3.27,8.16,2.48,536.49,0.01431442
0.7,1.1,0.97,527.47,0.03661282,2.48,0.79,533.51,0.02491572,3.75,9.44,3.07,537.74,0.01425527
0.75,0.9,0,538.77,0.01485893,0.24,0.38,542.36,0.01508423,1.23,2.95,0.58,543.01,0.00930183
0.75,0.95,0,540.17,0.01938889,0.85,0.49,543.26,0.01498099,1.86,4.54,1.1,544.6,0.00896912
0.75,1,0.35,540.72,0.02126121,1.44,0.59,543.96,0.01488377,2.46,6.07,1.69,545.86,0.00875383
0.75,1.05,0.97,541.11,0.02091178,2.03,0.7,544.48,0.01479357,3.01,7.52,2.32,546.85,0.00864776
0.75,1.1,1.57,541.41,0.02061511,2.61,0.8,544.87,0.01470964,3.52,8.9,2.99,547.58,0.0086427
0.8,0.9,0,549.33,0.00823659,0.22,0.36,551.01,0.0079604,0.89,2.11,0.37,551.3,0.00517463
0.8,0.95,0.13,550.04,0.01100581,0.86,0.47,551.61,0.00795117,1.56,3.79,0.89,552.36,0.00495691
0.8,1,0.79,550.35,0.01082802,1.49,0.58,552.02,0.00793682,2.19,5.42,1.54,553.12,0.00481738
0.8,1.05,1.44,550.55,0.01067853,2.12,0.69,552.28,0.00791877,2.78,6.99,2.27,553.63,0.00475727
0.8,1.1,2.08,550.66,0.01052762,2.73,0.8,552.41,0.00789852,3.33,8.5,3.09,553.92,0.00477438
0.85,0.9,0,555.99,0.00386687,0.2,0.33,556.62,0.00350961,0.57,1.35,0.2,556.72,0.00248116
0.85,0.95,0.45,556.31,0.00468569,0.88,0.45,556.96,0.00353392,1.29,3.14,0.74,557.3,0.00233907
0.85,1,1.14,556.43,0.00464423,1.55,0.57,557.13,0.00354931,1.96,4.9,1.52,557.62,0.00224982
0.85,1.05,1.82,556.43,0.00459139,2.21,0.68,557.15,0.00355636,2.58,6.64,2.53,557.7,0.00222344
0.85,1.1,2.5,556.34,0.00452674,2.86,0.79,557.05,0.00355672,3.18,7.39,2.87,557.58,0.00229787
0.9,0.9,0,559.76,0.00129695,0.18,0.3,559.89,0.00104836,0.29,0.67,0.07,559.91,0.00088412
0.9,0.95,0.69,559.84,0.00136939,0.9,0.42,560,0.00107318,1.05,2.43,0.64,560.06,0.00081367
0.9,1.05,2.14,559.58,0.00137102,2.32,0.66,559.76,0.00110193,2.43,2.68,0.51,559.81,0.00087495
0.9,1.1,2.86,559.3,0.0013551,3.01,0.78,559.46,0.00110775,3.1,2.65,0.42,559.5,0.00091518
0.9,1,1.42,559.77,0.00137699,1.61,0.55,559.95,0.00109087,1.74,2.59,0.58,560,0.00084044
0.95,0.9,0.14,561.36,8.991e-05,0.13,-0.35,561.37,9.441e-05,0.18,-0.46,-0.13,561.38,7.776e-05
0.95,0.95,0.89,561.26,0.00010761,0.79,-0.85,561.28,0.000155,0.78,-2.01,-0.42,561.31,0.00018099
0.95,1,1.64,561.01,0.00011898,1.55,-1,561.02,0.0001683,1.51,-2.53,-0.53,561.05,0.00021531
0.95,1.05,2.39,560.63,0.00012564,2.29,-1.43,560.65,0.00018881,2.27,-2.92,-0.62,560.69,0.00023437
0.95,1.1,3.14,560.16,0.00012884,3.03,-2.16,560.2,0.00021543,3.01,-3.42,-0.72,560.24,0.00025394
1,0.9,0.26,561.32,0.00028495,0.37,-1.03,561.46,0.00036224,0.18,-1.16,2.53,561.5,0.00025186
1,0.95,1.03,561.04,0.00025198,0.96,-2.64,561.37,0.00018827,1,-2.6,-0.47,561.37,0.00020279
1,1,1.81,560.61,0.00023496,1.63,-4.47,561.07,0.0001054,1.68,-4.39,-0.82,561.09,0.00012057
1,1.05,2.59,560.05,0.00022679,2.35,-6.46,560.65,6.711e-05,2.42,-6.32,-1.17,560.69,7.943e-05
1,1.1,3.37,559.4,0.00022427,3.12,-8.55,560.15,5.152e-05,3.19,-8.34,-1.54,560.21,6.004e-05
1.05,0.9,0.34,559.98,0.00146431,0.61,-1.66,560.34,0.00186259,0.3,-2.32,6,560.54,0.00148781
1.05,0.95,1.12,559.55,0.00134843,1.25,-3.44,560.25,0.00142813,0.86,-4.31,7.15,560.34,0.0010022
1.05,1,1.93,558.94,0.00127687,1.98,-5.44,559.97,0.00115103,1.82,-5.91,3.37,559.99,0.00098681
1.05,1.05,2.74,558.21,0.00123057,2.77,-7.59,559.56,0.00096581,2.77,-7.57,-0.13,559.56,0.00097126
1.05,1.1,3.55,557.38,0.00120077,3.59,-9.85,559.07,0.00083801,3.66,-9.56,-1.74,559.08,0.00089885
1.1,0.9,0.38,557.64,0.00330106,0.82,-2.26,558.25,0.0042309,0.4,-3.76,11.66,558.73,0.00352605
1.1,0.95,1.18,557.05,0.00307698,1.53,-4.19,558.17,0.00357962,0.96,-6.44,14.28,558.58,0.00265611
1.1,1,2,556.28,0.00292848,2.31,-6.34,557.88,0.00313758,1.61,-9.39,18.24,558.19,0.00206031
1.1,1.05,2.84,555.38,0.00282376,3.15,-8.64,557.47,0.0028258,2.54,-11.76,17.58,557.67,0.0019211
1.1,1.1,3.68,554.39,0.00274783,4.03,-11.06,556.98,0.00260047,3.55,-13.96,15.45,557.11,0.0018987
1.15,0.9,0.39,554.51,0.00557229,1.03,-2.82,555.37,0.00719104,0.6,-5.6,17.34,556.25,0.00633689
1.15,0.95,1.21,553.77,0.00521235,1.78,-4.88,555.29,0.00635117,1.13,-8.84,22.84,556.2,0.00501463
1.15,1.05,2.9,551.8,0.00478612,3.51,-9.62,554.59,0.00533649,2.49,-16.64,36.9,555.41,0.00336266
1.15,1.1,3.76,550.65,0.00464761,4.45,-12.2,554.08,0.00502163,3.46,-20.21,39.25,554.84,0.00311308
1.15,1,2.05,552.85,0.00496716,2.61,-7.17,555.01,0.00576259,1.77,-12.5,29.48,555.88,0.00406422
1.2,0.9,0.4,550.76,0.00814949,1.21,-3.33,551.87,0.01053504,0.64,-7.48,28.89,553.26,0.00929463
1.2,0.95,1.2,549.88,0.00759731,2.01,-5.52,551.79,0.00952477,1.24,-11.62,35.98,553.33,0.00771035
1.2,1,2.06,548.81,0.00723686,2.89,-7.94,551.5,0.00880099,2.04,-15.9,41.09,553.1,0.00671527
1.2,1.05,2.93,547.61,0.00696385,3.84,-10.53,551.07,0.00826719,2.69,-21.01,54.31,552.72,0.00556932
1.2,1.1,3.8,546.31,0.00674811,4.83,-13.24,550.54,0.00786653,3.74,-25.37,57.12,552.21,0.0052306
1.25,0.9,0.42,546.51,0.01104556,1.38,-3.8,547.87,0.01410702,0.84,-9.91,38.27,549.88,0.01288532
1.25,0.95,1.17,545.51,0.01012506,2.22,-6.1,547.78,0.01293896,1.56,-14.62,45.27,550.05,0.01116654
