date_TTM_30,exdate_TTM_30,kappa_TTM_30,date_TTM_60,exdate_TTM_60,kappa_TTM_60,date_TTM_90,exdate_TTM_90,kappa_TTM_90,date_TTM_180,exdate_TTM_180,kappa_TTM_180
19960117,19960216,0.00379489406200519,19960117,19960315,0.0105345386357942,19960117,19960419,0.0127228803789615,19960117,19960719,0.0225009822551133
19960214,19960315,0.00359409158492202,19960221,19960419,0.0100754671605322,19960214,19960517,0.0100263738014122,19960214,19960816,0.0204152537891375
19960320,19960419,0.003994632057724,19960320,19960517,0.011659772975501,19960320,19960621,0.00971588970661185,19960320,19960920,0.0218877205541625
19960417,19960517,0.00368591543894276,19960424,19960621,0.01036377559058,19960417,19960719,0.0160170703493505,19960417,19961018,0.0285597560736505
19960522,19960621,0.00366776941637941,19960522,19960719,0.010391321401418,19960515,19960816,0.0125389177013963,19960515,19961115,0.024398152323075
19960619,19960719,0.00384393463713697,19960619,19960816,0.0122579279504394,19960619,19960920,0.0106572713974079,19960619,19961220,0.0243345094172975
19960717,19960816,0.00420315068328875,19960724,19960920,0.013641503778311,19960717,19961018,0.0192956006727778,19960717,19970117,0.0345797960890969
19960821,19960920,0.00364733234361867,19960821,19961018,0.0104245887524939,19960814,19961115,0.0142901742375817,19960821,19970221,0.0264990320001952
19960918,19961018,0.00369259345921086,19960918,19961115,0.0108722066120929,19960918,19961220,0.0105592382892011,19960918,19970321,0.0235906505145589
19961016,19961115,0.00362946397696605,19961023,19961220,0.0104096985995491,19961016,19970117,0.0155238969647029,19961016,19970418,0.0287613518650472
19961120,19961220,0.00363475188038496,19961120,19970117,0.0103405508640725,19961120,19970221,0.00981898531441755,19961113,19970516,0.0244288841694531
19961218,19970117,0.00386388466340432,19961224,19970222,0.0122368683073736,19961218,19970321,0.0113855925861497,19961218,19970620,0.0252769663323891
19970122,19970221,0.00402212787246065,19970122,19970321,0.0111612027765303,19970115,19970418,0.0183895624589302,19970115,19970718,0.0329685993782154
19970219,19970321,0.0041970635736458,19970219,19970418,0.0118299726632412,19970212,19970516,0.0158335718510088,19970212,19970815,0.0306014425798556
19970319,19970418,0.00495475284736482,19970319,19970516,0.0136532650330175,19970319,19970620,0.0129460194813103,19970319,19970919,0.0288294582014648
19970416,19970516,0.00424693036645832,19970423,19970620,0.0141450629110579,19970416,19970718,0.0202976009841304,19970416,19971017,0.0379015780231829
19970521,19970620,0.00519009840084813,19970521,19970718,0.0142203093050824,19970514,19970815,0.0183260051259378,19970521,19971121,0.035477538867448
19970618,19970718,0.00493901313216337,19970618,19970815,0.01657670078417,19970618,19970919,0.0128151915751147,19970618,19971219,0.0303771443312334
19970716,19970815,0.00412517709636984,19970723,19970919,0.0151381159764689,19970716,19971017,0.0210677908844506,19970716,19980116,0.0373153666077821
19970820,19970919,0.00516925707786357,19970820,19971017,0.0166010737308508,19970820,19971121,0.0102613667002749,19970820,19980220,0.029911687285324
19970917,19971017,0.00605853270015365,19970924,19971121,0.0166634314448055,19970917,19971219,0.0156105436844388,19970917,19980320,0.0316623340330085
19971022,19971121,0.00474083410669141,19971022,19971219,0.0150002488046047,19971015,19980116,0.0226501948039591,19971015,19980417,0.0417515613880852
19971119,19971219,0.00740027125066215,19971119,19980116,0.0235192900672077,19971119,19980220,0.0253671619382275,19971112,19980515,0.0530813825303963
19971217,19980116,0.00665612712636559,19971224,19980220,0.0217420219062942,19971217,19980320,0.0163363210421117,19971217,19980619,0.0345309956925309
19980121,19980220,0.00525987994616705,19980121,19980320,0.0163533353491072,19980114,19980417,0.0257708604180904,19980114,19980717,0.0459188223864436
19980218,19980320,0.00440122618467858,19980218,19980417,0.0127964917186387,19980211,19980515,0.0171109590425081,19980218,19980821,0.0333702001963873
19980318,19980417,0.00431654254385961,19980318,19980515,0.0126339335915158,19980318,19980619,0.0108301977250573,19980318,19980918,0.0292963249207305
19980415,19980515,0.00487838479060821,19980422,19980619,0.0147082258926966,19980415,19980717,0.0242231725489367,19980415,19981016,0.0447221954158752
19980520,19980619,0.0046909411907477,19980520,19980717,0.0152955973762324,19980520,19980821,0.0160623344387667,19980520,19981120,0.0401917047128072
19980617,19980717,0.00566621756802964,19980624,19980821,0.0149740478735529,19980617,19980918,0.0155361931770555,19980617,19981218,0.0362672138337865
19980722,19980821,0.00509952097808054,19980722,19980918,0.0156137097295036,19980715,19981016,0.0237264752885401,19980715,19990115,0.0443398571919458
19980819,19980918,0.00739673037966096,19980819,19981016,0.0210557832291066,19980819,19981120,0.0243255223738791,19980819,19990219,0.0475510826025154
19980916,19981016,0.0100828473219028,19980923,19981120,0.0266803007909362,19980916,19981218,0.0239860587532311,19980916,19990319,0.0510235987107426
19981021,19981120,0.00904833994898175,19981021,19981218,0.0268211391595351,19981014,19990115,0.0478897159388638,19981014,19990416,0.0800099512154595
19981118,19981218,0.00646324502800952,19981118,19990115,0.020954388693191,19981118,19990219,0.0232658691646608,19981118,19990521,0.0447480762309109
19981216,19990115,0.00749685148396479,19981223,19990219,0.0169474650071721,19981216,19990319,0.0198259869455215,19981216,19990618,0.042429138523105
19990120,19990219,0.00701827432389028,19990120,19990319,0.0232235035927528,19990113,19990416,0.0334942498550091,19990113,19990716,0.0594324848177911
19990217,19990319,0.00788616913414005,19990217,19990416,0.0240373575296027,19990217,19990521,0.0268676172713638,19990217,19990820,0.0521175516857188
19990317,19990416,0.006106633110694,19990324,19990521,0.0201111389982919,19990317,19990618,0.0173323842345858,19990317,19990917,0.0394086937089792
19990421,19990521,0.00569186166465453,19990421,19990618,0.0175056569349173,19990414,19990716,0.0281338897407162,19990414,19991015,0.0509430400117043
19990519,19990618,0.00595640355217394,19990519,19990716,0.0189562230575494,19990519,19990820,0.0232176649396467,19990519,19991119,0.0481864890348154
19990616,19990716,0.00528047837231143,19990623,19990820,0.0167548067534112,19990616,19990917,0.0167178653930683,19990616,19991217,0.0413316691533884
19990721,19990820,0.00523410749720793,19990721,19990917,0.0178646373693339,19990714,19991015,0.0273215671905077,19990721,20000121,0.040643096766058
19990818,19990917,0.00583363422021564,19990818,19991015,0.0184379697123225,19990818,19991119,0.0235248665341837,19990818,20000218,0.0519123375399793
19990915,19991015,0.00638410026251852,19990922,19991119,0.0196884292239581,19990915,19991217,0.0180046808043987,19990915,20000317,0.043903454545491
19991020,19991119,0.00626015098346833,19991020,19991217,0.0197267573995622,19991020,20000121,0.0186426395924857,19991020,20000421,0.0592518657938702
19991117,19991217,0.00548124663397082,19991124,20000121,0.0171842836143608,19991117,20000218,0.0217801987516803,19991117,20000519,0.0452038967870844
19991222,20000121,0.00648561976340662,19991222,20000218,0.0189951898431362,19991215,20000317,0.0172910730413231,19991215,20000616,0.0396871434940514
20000119,20000218,0.00606862120105216,20000119,20000317,0.0182063079717628,20000119,20000421,0.0282669590925733,20000119,20000721,0.0532913967969927
20000216,20000317,0.00650581681871879,20000223,20000421,0.0191954636036638,20000216,20000519,0.0237649751889643,20000216,20000818,0.048988688466048
20000322,20000421,0.00618684657591004,20000322,20000519,0.0169692320594485,20000315,20000616,0.0178687670372618,20000315,20000915,0.0423645218655709
20000419,20000519,0.00757623814083077,20000419,20000616,0.0213985773248707,20000419,20000721,0.030222273474601,20000419,20001020,0.0562006907718541
20000517,20000616,0.00700032600358309,20000524,20000721,0.0205001443880258,20000517,20000818,0.024734226792331,20000517,20001117,0.0503617182767317
20000621,20000721,0.00615253645008755,20000621,20000818,0.0181666952449807,20000614,20000915,0.0172797573607785,20000614,20001215,0.0401950846792383
20000719,20000818,0.00632028307784331,20000719,20000915,0.0182648448465202,20000719,20001020,0.0281567074418635,20000719,20010119,0.053188929446284
20000816,20000915,0.006048753088943,20000823,20001020,0.0162517404008959,20000816,20001117,0.0215326196602543,20000816,20010216,0.0441367443149844
20000920,20001020,0.00607195567301402,20000920,20001117,0.0179274638361932,20000913,20001215,0.0162485914622058,20000913,20010316,0.0371782506429653
20001018,20001117,0.00855525931145877,20001018,20001215,0.0240645328992151,20001018,20010119,0.0315232531977985,20001018,20010420,0.0570173472582175
20001115,20001215,0.00781116170613395,20001122,20010119,0.0234467961703277,20001115,20010216,0.0246325968003036,20001115,20010518,0.0481552269090827
20001220,20010119,0.0099731237204079,20001220,20010216,0.0265113367269327,20001213,20010316,0.0185714953997963,20001213,20010615,0.041196661693623
20010117,20010216,0.00702034349346844,20010117,20010316,0.0203021538329413,20010117,20010420,0.0271381186849173,20010117,20010720,0.0508056525479538
20010214,20010316,0.00553909677972431,20010221,20010420,0.0184615154017583,20010214,20010518,0.018798619870742,20010214,20010817,0.0385851818894686
20010321,20010420,0.00916289496010573,20010321,20010518,0.0237300039203234,20010314,20010615,0.0184202092652438,20010321,20010921,0.0393062586205326
20010418,20010518,0.00673021600479709,20010418,20010615,0.0184278619794667,20010418,20010720,0.0256837284091302,20010418,20011019,0.0450343305327648
20010516,20010615,0.00487377273267271,20010523,20010720,0.0135276085982895,20010516,20010817,0.0166705819522451,20010516,20011116,0.0326458835542182
20010620,20010720,0.00424720261359278,20010620,20010817,0.0127423735466502,20010620,20010921,0.0113912144246468,20010620,20011221,0.0265012115246789
20010718,20010817,0.0050520965471513,20010725,20010921,0.0148937007623348,20010718,20011019,0.0204819993227998,20010718,20020118,0.0350655379941185
20010822,20010921,0.00476058947888234,20010822,20011019,0.0141952862546633,20010815,20011116,0.0160266375102902,20010815,20020215,0.0299603193300303
20010919,20011019,0.0100704546239815,20010919,20011116,0.0264835011260198,20010919,20011221,0.0198606672299379,20010917,20020316,0.0369540891629547
20011017,20011116,0.00848241610003834,20011024,20011221,0.0185268315679214,20011017,20020118,0.0247663365643708,20011017,20020419,0.0426009702364594
20011121,20011221,0.00353101238283143,20011121,20020118,0.0116950785731133,20011114,20020215,0.013446629651235,20011114,20020517,0.0267138896402862
20011219,20020118,0.00273643624498602,20011219,20020215,0.00986941766813748,20011212,20020315,0.00880319059148315,20011219,20020621,0.0192947063744786
20020116,20020215,0.00334597538342107,20020116,20020315,0.0114318273402791,20020116,20020419,0.0153114237177884,20020116,20020719,0.0272808934090078
20020213,20020315,0.00284447521333984,20020220,20020419,0.0103686610846995,20020213,20020517,0.0109069547295054,20020213,20020816,0.0220016272828219
20020320,20020419,0.00238028166517976,20020320,20020517,0.00854866559786511,20020320,20020621,0.00750749443968219,20020320,20020920,0.0185086991246593
20020417,20020517,0.00256881539009059,20020424,20020621,0.00871918713849221,20020417,20020719,0.0121550004948418,20020417,20021018,0.0238519047915721
20020522,20020621,0.00267083930864821,20020522,20020719,0.00897984512987554,20020515,20020816,0.0108000871136075,20020515,20021115,0.0227172759323505
20020619,20020719,0.00446677434649657,20020619,20020816,0.0126603537260032,20020619,20020920,0.0101238613340843,20020619,20021220,0.0229888767371157
20020717,20020816,0.00765718916850137,20020724,20020920,0.0237740821056432,20020717,20021018,0.0214270785683106,20020717,20030117,0.0366773599127082
20020821,20020920,0.00514445628643488,20020821,20021018,0.0165926848983289,20020814,20021115,0.019609789165475,20020821,20030221,0.0293384132920134
20020918,20021018,0.00860267609903777,20020918,20021115,0.0238597393566804,20020918,20021220,0.0181259063915069,20020918,20030321,0.0347175557262343
20021016,20021115,0.00793198313924748,20021023,20021220,0.0195152730094299,20021016,20030117,0.0251663865795425,20021016,20030418,0.0414081026988753
20021120,20021220,0.00353406416665004,20021120,20030117,0.0111322729374602,20021120,20030221,0.00918734292395114,20021113,20030516,0.0294349149272713
