alpha,beta,L1_loglik,L1_BIC,L2_loglik,L2_BIC,L3_loglik,L3_BIC
0.8,0.8,544.3656,-1082.9881,544.3656,-1077.2451,544.3656,-1071.5021
0.8,0.85,547.5358,-1089.3287,547.5358,-1083.5857,547.5358,-1077.8427
0.8,0.9,549.3337,-1092.9244,549.3337,-1087.1814,549.3337,-1081.4384
0.8,0.95,550.0433,-1094.3436,550.0534,-1088.6207,550.741,-1084.2529
0.8,1,550.3529,-1094.9629,550.3997,-1089.3135,551.7512,-1086.2733
0.8,1.05,550.5526,-1095.3622,550.6285,-1089.771,552.4162,-1087.6033
0.8,1.1,550.6562,-1095.5695,550.7566,-1090.0272,552.8008,-1088.3726
0.85,0.8,552.2994,-1098.8557,552.2994,-1093.1127,552.2994,-1087.3697
0.85,0.85,554.7935,-1103.844,554.7935,-1098.101,554.7935,-1092.358
0.85,0.9,555.9903,-1106.2376,555.9903,-1100.4946,556.0104,-1094.7918
0.85,0.95,556.3052,-1106.8674,556.3219,-1101.1577,556.7547,-1096.2804
0.85,1,556.4274,-1107.1118,556.4639,-1101.4418,557.1711,-1097.1132
0.85,1.05,556.4315,-1107.12,556.4841,-1101.4821,557.3225,-1097.416
0.85,1.1,556.3383,-1106.9335,556.4037,-1101.3213,557.2779,-1097.3269
0.9,0.8,557.0594,-1108.3758,557.0594,-1102.6328,557.0594,-1096.8898
0.9,0.85,559.0273,-1112.3117,559.0273,-1106.5687,559.0273,-1100.8257
0.9,0.9,559.7564,-1113.7698,559.7564,-1108.0268,559.7653,-1102.3015
0.9,0.95,559.8394,-1113.9357,559.8491,-1108.2122,559.9725,-1102.7159
0.9,1,559.7709,-1113.7988,559.7884,-1108.0909,559.9479,-1102.6668
0.9,1.05,559.5815,-1113.4199,559.6046,-1107.7232,559.7624,-1102.2958
0.9,1.1,559.295,-1112.8471,559.3215,-1107.1569,559.4577,-1101.6864
0.95,0.8,559.4289,-1113.1147,559.4289,-1107.3717,559.4289,-1101.6287
0.95,0.85,560.9834,-1116.2238,560.9834,-1110.4808,560.9834,-1104.7378
0.95,0.9,561.3591,-1116.9752,561.3618,-1111.2377,561.3674,-1105.5059
0.95,0.95,561.2617,-1116.7804,561.2707,-1111.0554,561.2708,-1105.3125
0.95,1,561.0067,-1116.2704,561.0196,-1110.5533,561.0209,-1104.8128
0.95,1.05,560.6294,-1115.5157,560.6507,-1109.8154,560.6532,-1104.0773
0.95,1.1,560.1558,-1114.5687,560.1933,-1108.9006,560.1955,-1103.1621
1,0.8,559.9726,-1114.2023,559.9726,-1108.4593,559.9726,-1102.7163
1,0.85,561.2003,-1116.6577,561.2003,-1110.9146,561.2255,-1105.222
1,0.9,561.3152,-1116.8873,561.3405,-1111.195,561.5033,-1105.7775
1,0.95,561.0431,-1116.3432,561.1165,-1110.7471,561.3104,-1105.3917
1,1,560.6086,-1115.4742,560.7242,-1109.9624,560.9303,-1104.6316
1,1.05,560.0506,-1114.3583,560.2105,-1108.9349,560.4417,-1103.6544
1,1.1,559.3971,-1113.0512,559.6066,-1107.7272,559.8801,-1102.5311
1.05,0.8,559.107,-1112.4711,559.107,-1106.7281,559.1354,-1101.0419
1.05,0.85,560.0751,-1114.4072,560.0751,-1108.6642,560.2691,-1103.3091
1.05,0.9,559.984,-1114.225,560.0395,-1108.5931,560.5384,-1103.8479
1.05,0.95,559.5452,-1113.3475,559.6848,-1107.8835,560.3432,-1103.4573
1.05,1,558.9395,-1112.136,559.1546,-1106.8232,559.9254,-1102.6218
1.05,1.05,558.2088,-1110.6747,558.4994,-1105.5127,559.3881,-1101.5473
1.05,1.1,557.3828,-1109.0226,557.7523,-1104.0187,558.7789,-1100.3289
1.1,0.8,557.1442,-1108.5454,557.1442,-1102.8024,557.3044,-1097.3798
1.1,0.85,557.9057,-1110.0683,557.9057,-1104.3253,558.4081,-1099.5872
1.1,0.9,557.644,-1109.5451,557.73,-1103.974,558.7234,-1100.2179
1.1,0.95,557.0478,-1108.3526,557.2493,-1103.0125,558.582,-1099.935
1.1,1,556.2796,-1106.8162,556.586,-1101.686,558.1923,-1099.1557
1.1,1.05,555.3844,-1105.0259,555.7938,-1100.1017,557.6642,-1098.0994
1.1,1.1,554.3935,-1103.0441,554.9076,-1098.3293,557.0551,-1096.8813
