R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT
1.160036,0.978818,-0.121691,0.120032,-0.221869,0.124325,0.144221,0.986367,1.144221,1.848409,2.144221
1.160306,0.978785,-0.121659,0.119972,-0.221706,0.124296,0.144221,0.986137,1.144221,1.847979,2.144221
1.160576,0.978752,-0.121626,0.119912,-0.221544,0.124267,0.144221,0.985908,1.144221,1.847549,2.144221
1.160846,0.978719,-0.121594,0.119853,-0.221382,0.124238,0.144221,0.985679,1.144221,1.847119,2.144221
1.161116,0.978686,-0.121562,0.119793,-0.22122,0.124209,0.144221,0.985449,1.144221,1.84669,2.144221
1.161386,0.978654,-0.121529,0.119733,-0.221059,0.12418,0.144221,0.98522,1.144221,1.84626,2.144221
1.161656,0.978621,-0.121497,0.119674,-0.220897,0.124151,0.144221,0.984991,1.144221,1.845831,2.144221
1.161926,0.978588,-0.121465,0.119614,-0.220736,0.124122,0.144221,0.984762,1.144221,1.845402,2.144221
1.162196,0.978555,-0.121432,0.119554,-0.220575,0.124094,0.144221,0.984534,1.144221,1.844973,2.144221
1.162466,0.978522,-0.1214,0.119495,-0.220414,0.124065,0.144221,0.984305,1.144221,1.844545,2.144221
1.162736,0.97849,-0.121368,0.119435,-0.220253,0.124036,0.144221,0.984076,1.144221,1.844117,2.144221
1.163006,0.978457,-0.121336,0.119376,-0.220092,0.124007,0.144221,0.983848,1.144221,1.843688,2.144221
1.163276,0.978424,-0.121303,0.119316,-0.219931,0.123978,0.144221,0.983619,1.144221,1.84326,2.144221
1.163546,0.978391,-0.121271,0.119257,-0.219771,0.12395,0.144221,0.983391,1.144221,1.842833,2.144221
1.163816,0.978359,-0.121239,0.119198,-0.219611,0.123921,0.144221,0.983163,1.144221,1.842405,2.144221
1.164086,0.978326,-0.121207,0.119138,-0.21945,0.123892,0.144221,0.982935,1.144221,1.841978,2.144221
1.164356,0.978293,-0.121175,0.119079,-0.21929,0.123863,0.144221,0.982707,1.144221,1.84155,2.144221
1.164626,0.97826,-0.121143,0.11902,-0.219131,0.123835,0.144221,0.982479,1.144221,1.841124,2.144221
1.164896,0.978228,-0.12111,0.118961,-0.218971,0.123806,0.144221,0.982251,1.144221,1.840697,2.144221
1.165167,0.978195,-0.121078,0.118902,-0.218811,0.123777,0.144221,0.982024,1.144221,1.84027,2.144221
1.165437,0.978162,-0.121046,0.118843,-0.218652,0.123749,0.144221,0.981796,1.144221,1.839844,2.144221
1.165707,0.97813,-0.121014,0.118784,-0.218493,0.12372,0.144221,0.981569,1.144221,1.839418,2.144221
1.165977,0.978097,-0.120982,0.118725,-0.218334,0.123691,0.144221,0.981341,1.144221,1.838992,2.144221
1.166247,0.978064,-0.12095,0.118666,-0.218175,0.123663,0.144221,0.981114,1.144221,1.838566,2.144221
1.166517,0.978032,-0.120918,0.118607,-0.218016,0.123634,0.144221,0.980887,1.144221,1.83814,2.144221
1.166787,0.977999,-0.120886,0.118548,-0.217858,0.123605,0.144221,0.98066,1.144221,1.837715,2.144221
1.167057,0.977966,-0.120854,0.118489,-0.217699,0.123577,0.144221,0.980433,1.144221,1.83729,2.144221
1.167327,0.977934,-0.120822,0.11843,-0.217541,0.123548,0.144221,0.980206,1.144221,1.836865,2.144221
1.167597,0.977901,-0.12079,0.118372,-0.217383,0.12352,0.144221,0.97998,1.144221,1.83644,2.144221
1.167867,0.977869,-0.120758,0.118313,-0.217225,0.123491,0.144221,0.979753,1.144221,1.836015,2.144221
1.168137,0.977836,-0.120726,0.118254,-0.217067,0.123463,0.144221,0.979527,1.144221,1.835591,2.144221
1.168407,0.977803,-0.120694,0.118196,-0.216909,0.123434,0.144221,0.9793,1.144221,1.835167,2.144221
1.168677,0.977771,-0.120662,0.118137,-0.216752,0.123406,0.144221,0.979074,1.144221,1.834743,2.144221
1.168947,0.977738,-0.12063,0.118079,-0.216594,0.123377,0.144221,0.978848,1.144221,1.834319,2.144221
1.169217,0.977706,-0.120599,0.11802,-0.216437,0.123349,0.144221,0.978622,1.144221,1.833895,2.144221
1.169487,0.977673,-0.120567,0.117962,-0.21628,0.12332,0.144221,0.978396,1.144221,1.833472,2.144221
