R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT,A5,R5,A6,R6
1.17,0.97910669,-0.1046384,0.18667918,-0.43101253,0.1068713,0.12503942,1.7840408,2.08732774,2.30884091,2.70134387,3.13162962,3.66400665,3.97897126,4.65539638
1.17006667,0.97909972,-0.10462596,0.18665045,-0.43092256,0.10685935,0.12503256,1.78397839,2.08737365,2.30871427,2.70134962,3.13145272,3.66400845,3.97874471,4.65539656
1.17013333,0.97909274,-0.10461352,0.18662172,-0.43083261,0.1068474,0.12502571,1.78391599,2.08741956,2.30858765,2.70135536,3.13127585,3.66401025,3.97851819,4.65539675
1.1702,0.97908577,-0.10460108,0.186593,-0.43074268,0.10683546,0.12501885,1.7838536,2.08746548,2.30846104,2.70136111,3.131099,3.66401205,3.97829169,4.65539694
1.17026667,0.9790788,-0.10458864,0.18656429,-0.43065278,0.10682351,0.125012,1.78379121,2.0875114,2.30833445,2.70136686,3.13092216,3.66401385,3.97806522,4.65539713
1.17033333,0.97907182,-0.1045762,0.18653558,-0.4305629,0.10681157,0.12500514,1.78372884,2.08755732,2.30820787,2.70137261,3.13074535,3.66401564,3.97783878,4.65539732
1.1704,0.97906485,-0.10456377,0.18650688,-0.43047305,0.10679963,0.12499829,1.78366648,2.08760324,2.3080813,2.70137836,3.13056856,3.66401744,3.97761236,4.6553975
1.17046667,0.97905788,-0.10455133,0.18647819,-0.43038322,0.10678769,0.12499144,1.78360412,2.08764917,2.30795475,2.70138411,3.13039179,3.66401924,3.97738597,4.65539769
1.17053333,0.97905091,-0.1045389,0.1864495,-0.43029341,0.10677576,0.12498458,1.78354178,2.0876951,2.30782822,2.70138985,3.13021504,3.66402104,3.9771596,4.65539788
1.1706,0.97904394,-0.10452647,0.18642082,-0.43020363,0.10676382,0.12497773,1.78347944,2.08774104,2.30770169,2.7013956,3.13003831,3.66402284,3.97693326,4.65539807
1.17066667,0.97903698,-0.10451405,0.18639214,-0.43011387,0.10675189,0.12497088,1.78341712,2.08778697,2.30757519,2.70140135,3.1298616,3.66402464,3.97670694,4.65539826
