R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT
1.09008781,0,-0,0,0,12.17502865,13.27185032,5.38280289,5.86772782,-12.697174,-13.84103461
1.09041832,0,-0,0,0,12.20238156,13.30570045,5.41498651,5.90460051,-12.57740044,-13.71462791
1.09074884,0,-0,0,0,12.22977641,13.33961439,5.4472057,5.94153329,-12.4585335,-13.58913092
1.09107935,0,-0,0,0,12.25721323,13.37359224,5.47946052,5.97852622,-12.34055802,-13.46452803
1.09140986,0,-0,0,0,12.28469206,13.40763407,5.511751,6.0155794,-12.22345922,-13.34080396
1.09174038,0,-0,0,0,12.31221292,13.44173996,5.54407719,6.05269292,-12.1072226,-13.21794375
1.09207089,0,-0,0,0,12.33977585,13.47590998,5.57643913,6.08986684,-11.99183395,-13.09593276
1.0924014,0,-0,0,0,12.36738088,13.51014421,5.60883687,6.12710126,-11.87727939,-12.97475665
1.09273191,0,-0,0,0,12.39502804,13.54444273,5.64127045,6.16439626,-11.76354529,-12.85440137
1.09306243,0,-0,0,0,12.42271737,13.57880561,5.67373991,6.20175192,-11.65061834,-12.73485317
1.09339294,0,-0,0,0,12.4504489,13.61323293,5.70624529,6.23916832,-11.53848547,-12.61609857
1.09372345,0,-0,0,0,12.47822265,13.64772478,5.73878664,6.27664555,-11.4271339,-12.49812436
1.09405397,0,-0,0,0,12.50603867,13.68228122,5.77136401,6.31418369,-11.31655109,-12.38091761
1.09438448,0,-0,0,0,12.53389699,13.71690234,5.80397743,6.35178282,-11.20672476,-12.26446565
1.09471499,0,-0,0,0,12.56179763,13.7515882,5.83662694,6.38944302,-11.09764288,-12.14875605
1.09504551,0,-0,0,0,12.58974063,13.7863389,5.8693126,6.42716439,-10.98929365,-12.03377663
1.09537602,0,-0,0,0,12.61772602,13.8211545,5.90203444,6.46494699,-10.88166553,-11.91951547
1.09570653,0,-0,0,0,12.64575384,13.85603509,5.93479252,6.50279093,-10.77474717,-11.80596086
1.09603705,0,-0,0,0,12.67382412,13.89098074,5.96758686,6.54069627,-10.66852747,-11.69310132
1.09636756,0,-0,0,0,12.70193688,13.92599152,6.00041751,6.5786631,-10.56299554,-11.58092563
1.09669807,0,-0,0,0,12.73009217,13.96106753,6.03328453,6.6166915,-10.45814071,-11.46942274
1.09702858,0,-0,0,0,12.75829001,13.99620882,6.06618794,6.65478156,-10.35395249,-11.35858184
1.0973591,0,-0,0,0,12.78653043,14.03141549,6.09912779,6.69293337,-10.25042062,-11.24839232
1.09768961,0,-0,0,0,12.81481348,14.06668761,6.13210414,6.731147,-10.14753504,-11.13884378
1.09802012,0,-0,0,0,12.84313918,14.10202526,6.16511701,6.76942254,-10.04528585,-11.02992601
1.09835064,0,-0,0,0,12.87150756,14.13742851,6.19816645,6.80776006,-9.94366337,-10.92162899
1.09868115,0,-0,0,0,12.89991865,14.17289745,6.23125251,6.84615967,-9.84265808,-10.81394289
1.09901166,0,-0,0,0,12.9283725,14.20843215,6.26437522,6.88462143,-9.74226066,-10.70685808
1.09934218,0,-0,0,0,12.95686912,14.24403268,6.29753464,6.92314543,-9.64246195,-10.6003651
1.09967269,0,-0,0,0,12.98540856,14.27969914,6.3307308,6.96173176,-9.54325297,-10.49445465
1.1000032,0,-0,0,0,13.01399084,14.31543159,6.36396375,7.0003805,-9.44462489,-10.38911761
1.10033371,0,-0,0,0,13.042616,14.35123011,6.39723353,7.03909173,-9.34656906,-10.28434505
1.10066423,0,-0,0,0,13.07128408,14.38709479,6.43054018,7.07786554,-9.24907699,-10.18012818
1.10099474,0,-0,0,0,13.09999509,14.42302569,6.46388375,7.11670201,-9.15214033,-10.07645836
1.10132525,0,-0,0,0,13.12874908,14.45902291,6.49726427,7.15560122,-9.05575089,-9.97332715
1.10165577,0,-0,0,0,13.15754608,14.49508651,6.53068179,7.19456326,-8.95990064,-9.8707262
1.10198628,0,-0,0,0,13.18638611,14.53121657,6.56413636,7.23358821,-8.86458167,-9.76864737
1.10231679,0,-0,0,0,13.21526922,14.56741318,6.59762802,7.27267615,-8.76978623,-9.66708263
1.10264731,0,-0,0,0,13.24419543,14.60367641,6.6311568,7.31182718,-8.67550671,-9.56602409
1.10297782,0,-0,0,0,13.27316478,14.64000634,6.66472276,7.35104137,-8.58173562,-9.46546403
1.10330833,0,-0,0,0,13.3021773,14.67640304,6.69832593,7.39031881,-8.48846562,-9.36539484
1.10363884,0,-0,0,0,13.33123302,14.71286661,6.73196636,7.42965957,-8.39568949,-9.26580904
1.10396936,0,-0,0,0,13.36033198,14.74939711,6.76564409,7.46906376,-8.30340013,-9.16669931
1.10429987,0,-0,0,0,13.3894742,14.78599462,6.79935916,7.50853144,-8.21159059,-9.06805842
1.10463038,0,-0,0,0,13.41865972,14.82265923,6.83311162,7.54806271,-8.120254,-8.96987929
1.1049609,0,-0,0,0,13.44788857,14.85939101,6.8669015,7.58765764,-8.02938365,-8.87215496
1.10529141,0,-0,0,0,13.47716078,14.89619004,6.90072886,7.62731633,-7.93897293,-8.77487857
1.10562192,0,-0,0,0,13.5064764,14.9330564,6.93459373,7.66703885,-7.84901532,-8.67804341
1.10595244,0,-0,0,0,13.53583543,14.96999017,6.96849615,7.70682529,-7.75950445,-8.58164285
1.10628295,0,-0,0,0,13.56523793,15.00699142,7.00243617,7.74667574,-7.67043404,-8.48567038
1.10661346,0,-0,0,0,13.59468393,15.04406024,7.03641384,7.78659027,-7.58179791,-8.39011963
1.10694397,0,-0,0,0,13.62417344,15.0811967,7.07042919,7.82656898,-7.49358999,-8.29498429
1.10727449,0,-0,0,0,13.65370652,15.11840089,7.10448226,7.86661195,-7.40580432,-8.20025819
1.107605,0,-0,0,0,13.68328319,15.15567288,7.1385731,7.90671926,-7.31843503,-8.10593524
1.10793551,0,-0,0,0,13.71290348,15.19301275,7.17270175,7.946891,-7.23147636,-8.01200947
1.10826603,0,-0,0,0,13.74256742,15.23042059,7.20686826,7.98712725,-7.14492262,-7.918475
1.10859654,0,-0,0,0,13.77227505,15.26789646,7.24107266,8.02742809,-7.05876824,-7.82532604
1.10892705,0,-0,0,0,13.8020264,15.30544046,7.27531499,8.06779361,-6.97300772,-7.7325569
1.10925757,0,-0,0,0,13.8318215,15.34305265,7.30959531,8.1082239,-6.88763568,-7.64016199
1.10958808,0,-0,0,0,13.86166039,15.38073312,7.34391365,8.14871904,-6.8026468,-7.54813579
1.10991859,0,-0,0,0,13.89154309,15.41848195,7.37827006,8.18927911,-6.71803585,-7.45647289
