R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT
1.09008781,0.01998842,-0.00118214,0.00432923,-0.01675671,0.05914139,0.06446931,3.66218932,3.99210794,3.87059768,4.21929135
1.09041832,0.01998802,-0.00118071,0.00432373,-0.01653615,0.05907101,0.06441211,3.66196492,3.99307365,3.82451209,4.17031807
1.09074884,0.01998763,-0.00117928,0.0043183,-0.0163206,0.05900071,0.06435495,3.66179547,3.99409915,3.7794054,4.12238205
1.09107935,0.01998724,-0.00117786,0.00431294,-0.01611006,0.05893049,0.06429784,3.66167986,3.99518328,3.73528484,4.07549216
1.09140986,0.01998686,-0.00117643,0.00430765,-0.01590452,0.05886036,0.06424078,3.66161693,3.99632484,3.69215752,4.02965714
1.09174038,0.01998647,-0.00117501,0.00430243,-0.01570399,0.05879032,0.06418376,3.66160555,3.99752262,3.65003043,3.98488559
1.09207089,0.01998608,-0.00117359,0.00429727,-0.01550845,0.05872035,0.06412678,3.66164456,3.99877544,3.60891041,3.941186
1.0924014,0.01998569,-0.00117217,0.00429217,-0.01531793,0.05865047,0.06406985,3.66173281,4.00008205,3.56880421,3.89856672
1.09273191,0.0199853,-0.00117075,0.00428714,-0.0151324,0.05858066,0.06401296,3.66186911,4.00144124,3.52971843,3.85703598
1.09306243,0.01998492,-0.00116934,0.00428217,-0.01495188,0.05851093,0.0639561,3.6620523,4.00285177,3.49165958,3.8166019
1.09339294,0.01998453,-0.00116792,0.00427726,-0.01477636,0.05844128,0.06389929,3.66228118,4.00431239,3.45463404,3.77727247
1.09372345,0.01998415,-0.00116651,0.0042724,-0.01460584,0.05837171,0.06384251,3.66255458,4.00582185,3.41864807,3.73905557
1.09405397,0.01998376,-0.0011651,0.0042676,-0.01444032,0.05830222,0.06378577,3.66287129,4.00737887,3.38370782,3.70195896
1.09438448,0.01998338,-0.00116369,0.00426286,-0.0142798,0.05823279,0.06372907,3.6632301,4.00898217,3.34981934,3.6659903
1.09471499,0.01998299,-0.00116228,0.00425816,-0.01412428,0.05816345,0.0636724,3.66362981,4.01063048,3.31698858,3.63115713
1.09504551,0.01998261,-0.00116087,0.00425352,-0.01397375,0.05809417,0.06361576,3.66406918,4.01232248,3.28522138,3.59746691
1.09537602,0.01998222,-0.00115947,0.00424892,-0.01382823,0.05802497,0.06355916,3.66454698,4.01405688,3.25452346,3.56492695
1.09570653,0.01998184,-0.00115806,0.00424438,-0.0136877,0.05795584,0.06350259,3.66506199,4.01583236,3.22490048,3.53354452
1.09603705,0.01998146,-0.00115666,0.00423988,-0.01355216,0.05788678,0.06344606,3.66561294,4.01764758,3.19635797,3.50332675
1.09636756,0.01998108,-0.00115526,0.00423542,-0.01342162,0.05781779,0.06338955,3.6661986,4.01950121,3.1689014,3.47428069
1.09669807,0.01998069,-0.00115386,0.004231,-0.01329608,0.05774887,0.06333308,3.6668177,4.0213919,3.14253614,3.44641332
1.09702858,0.01998031,-0.00115246,0.00422663,-0.01317553,0.05768002,0.06327663,3.66746896,4.02331829,3.11726746,3.4197315
1.0973591,0.01997993,-0.00115107,0.00422229,-0.01305998,0.05761124,0.06322022,3.66815112,4.025279,3.09310056,3.39424204
1.09768961,0.01997955,-0.00114967,0.004218,-0.01294942,0.05754252,0.06316383,3.66886288,4.02727267,3.07004059,3.36995165
1.09802012,0.01997917,-0.00114828,0.00421373,-0.01284385,0.05747387,0.06310747,3.66960296,4.0292979,3.04809257,3.34686698
1.09835064,0.01997879,-0.00114689,0.00420951,-0.01274327,0.05740529,0.06305114,3.67037005,4.03135328,3.0272615,3.32499459
1.09868115,0.01997841,-0.0011455,0.00420531,-0.01264769,0.05733677,0.06299483,3.67116284,4.03343741,3.00755227,3.30434099
1.09901166,0.01997804,-0.00114411,0.00420114,-0.01255709,0.05726832,0.06293856,3.67198002,4.03554886,2.98896975,3.28491262
1.09934218,0.01997766,-0.00114272,0.00419701,-0.01247149,0.05719994,0.0628823,3.67282025,4.0376862,2.97151872,3.26671586
1.09967269,0.01997728,-0.00114133,0.0041929,-0.01239087,0.05713161,0.06282608,3.67368221,4.03984799,2.95520391,3.24975703
1.1000032,0.0199769,-0.00113995,0.00418882,-0.01231525,0.05706336,0.06276987,3.67456455,4.04203277,2.94003001,3.23404242
1.10033371,0.01997653,-0.00113857,0.00418476,-0.01224461,0.05699516,0.0627137,3.67546593,4.04423908,2.92600163,3.21957824
1.10066423,0.01997615,-0.00113718,0.00418072,-0.01217896,0.05692703,0.06265754,3.67638498,4.04646543,2.91312337,3.20637069
1.10099474,0.01997578,-0.0011358,0.00417671,-0.0121183,0.05685896,0.06260142,3.67732034,4.04871035,2.90139978,3.1944259
1.10132525,0.0199754,-0.00113442,0.00417271,-0.01206262,0.05679095,0.06254531,3.67827063,4.05097234,2.89083537,3.18375
1.10165577,0.01997503,-0.00113304,0.00416873,-0.01201193,0.05672301,0.06248923,3.67923447,4.05324987,2.88143461,3.17434906
1.10198628,0.01997465,-0.00113167,0.00416477,-0.01196623,0.05665512,0.06243317,3.68021047,4.05554145,2.87320197,3.16622915
1.10231679,0.01997428,-0.00113029,0.00416082,-0.01192551,0.0565873,0.06237714,3.68119723,4.05784552,2.86614186,3.1593963
1.10264731,0.0199739,-0.00112892,0.00415689,-0.01188977,0.05651954,0.06232112,3.68219333,4.06016055,2.86025869,3.15385654
1.10297782,0.01997353,-0.00112754,0.00415296,-0.01185902,0.05645185,0.06226513,3.68319736,4.06248499,2.85555686,3.14961588
1.10330833,0.01997316,-0.00112617,0.00414905,-0.01183325,0.05638421,0.06220917,3.6842079,4.06481727,2.85204076,3.14668033
1.10363884,0.01997279,-0.0011248,0.00414514,-0.01181247,0.05631663,0.06215322,3.68522351,4.06715581,2.84971476,3.1450559
1.10396936,0.01997242,-0.00112343,0.00414124,-0.01179666,0.05624912,0.0620973,3.68624274,4.06949903,2.84858323,3.1447486
1.10429987,0.01997204,-0.00112206,0.00413734,-0.01178584,0.05618166,0.0620414,3.68726415,4.07184532,2.84865058,3.14576446
1.10463038,0.01997167,-0.0011207,0.00413345,-0.01177751,0.05611427,0.06198552,3.68828652,4.07419335,2.84931912,3.14744447
1.1049609,0.0199713,-0.00111933,0.00412956,-0.01176919,0.05604693,0.06192967,3.6893096,4.07654284,2.84998829,3.14912561
1.10529141,0.01997093,-0.00111797,0.00412567,-0.01176087,0.05597966,0.06187384,3.69033339,4.0788938,2.85065807,3.15080788
1.10562192,0.01997056,-0.0011166,0.00412178,-0.01175255,0.05591245,0.06181803,3.69135791,4.08124623,2.85132848,3.15249128
1.10595244,0.0199702,-0.00111524,0.0041179,-0.01174425,0.05584529,0.06176224,3.69238314,4.08360012,2.85199952,3.15417581
1.10628295,0.01996983,-0.00111388,0.00411402,-0.01173594,0.0557782,0.06170647,3.69340908,4.08595549,2.85267117,3.15586147
1.10661346,0.01996946,-0.00111252,0.00411014,-0.01172764,0.05571117,0.06165073,3.69443575,4.08831233,2.85334345,3.15754827
1.10694397,0.01996909,-0.00111116,0.00410627,-0.01171935,0.0556442,0.06159501,3.69546313,4.09067064,2.85401635,3.1592362
1.10727449,0.01996872,-0.00110981,0.00410239,-0.01171106,0.05557729,0.06153932,3.69649123,4.09303043,2.85468988,3.16092527
1.107605,0.01996836,-0.00110845,0.00409852,-0.01170278,0.05551044,0.06148364,3.69752005,4.0953917,2.85536403,3.16261547
1.10793551,0.01996799,-0.0011071,0.00409466,-0.0116945,0.05544365,0.06142799,3.69854959,4.09775444,2.8560388,3.16430682
1.10826603,0.01996763,-0.00110575,0.00409079,-0.01168623,0.05537692,0.06137236,3.69957985,4.10011867,2.8567142,3.1659993
1.10859654,0.01996726,-0.00110439,0.00408693,-0.01167796,0.05531025,0.06131676,3.70061084,4.10248437,2.85739023,3.16769292
1.10892705,0.0199669,-0.00110304,0.00408308,-0.0116697,0.05524364,0.06126117,3.70164254,4.10485155,2.85806688,3.16938768
1.10925757,0.01996653,-0.0011017,0.00407922,-0.01166144,0.0551771,0.06120561,3.70267497,4.10722022,2.85874415,3.17108358
1.10958808,0.01996617,-0.00110035,0.00407537,-0.01165319,0.05511061,0.06115007,3.70370812,4.10959037,2.85942206,3.17278063
1.10991859,0.0199658,-0.001099,0.00407152,-0.01164495,0.05504418,0.06109456,3.70474199,4.11196201,2.86010059,3.17447882
