R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT
1.09008781,0.29544449,-0.34686026,1.96151788,-11.5239706,1.1740285,1.27979416,5.65506667,6.16451924,5.87502705,6.40429538
1.09041832,0.29532996,-0.34621258,1.95771337,-11.49789065,1.17229075,1.27828731,5.65465696,6.16594156,5.87312261,6.40416052
1.09074884,0.29521564,-0.34556616,1.95391747,-11.47188076,1.17055505,1.27678156,5.65425007,6.16736669,5.87122075,6.4040272
1.09107935,0.29510153,-0.34492099,1.95013015,-11.44594074,1.16882141,1.2752769,5.65384601,6.16879463,5.86932147,6.40389545
1.09140986,0.29498764,-0.34427707,1.94635139,-11.4200704,1.16708982,1.27377335,5.65344477,6.17022538,5.86742478,6.40376528
1.09174038,0.29487395,-0.3436344,1.94258118,-11.39426955,1.16536029,1.27227088,5.65304635,6.17165894,5.86553071,6.4036367
1.09207089,0.29476049,-0.34299297,1.93881948,-11.36853799,1.16363281,1.27076952,5.65265075,6.17309533,5.86363925,6.40350973
1.0924014,0.29464723,-0.34235279,1.93506627,-11.34287553,1.16190738,1.26926925,5.65225798,6.17453454,5.86175043,6.40338438
1.09273191,0.29453418,-0.34171384,1.93132153,-11.317282,1.16018399,1.26777007,5.65186803,6.17597657,5.85986424,6.40326068
1.09306243,0.29442135,-0.34107613,1.92758524,-11.29175719,1.15846265,1.266272,5.6514809,6.17742143,5.85798072,6.40313863
1.09339294,0.29430872,-0.34043966,1.92385738,-11.26630093,1.15674335,1.26477502,5.65109659,6.17886912,5.85609986,6.40301825
1.09372345,0.29419631,-0.33980441,1.92013792,-11.24091302,1.1550261,1.26327913,5.6507151,6.18031964,5.85422168,6.40289955
1.09405397,0.2940841,-0.33917039,1.91642684,-11.21559329,1.15331088,1.26178435,5.65033644,6.18177299,5.85234619,6.40278256
1.09438448,0.29397211,-0.3385376,1.91272411,-11.19034154,1.15159771,1.26029066,5.64996059,6.18322919,5.8504734,6.40266729
1.09471499,0.29386032,-0.33790603,1.90902972,-11.16515759,1.14988657,1.25879807,5.64958757,6.18468822,5.84860333,6.40255375
