alpha,beta,b4_loglik,b4_BIC,b5_loglik,b5_BIC,b6_loglik,b6_BIC,b7_loglik,b7_BIC,b8_loglik,b8_BIC,b9_loglik,b9_BIC
0.8,0.8,544.3656,-1060.0161,544.3656,-1054.2731,544.3656,-1048.5301,544.3656,-1042.7871,544.3656,-1037.0441,544.3656,-1031.3011
0.8,0.85,547.5358,-1066.3567,547.5358,-1060.6137,547.5509,-1054.9007,547.5358,-1049.1277,547.5358,-1043.3847,547.5989,-1037.7678
0.8,0.9,549.3337,-1069.9523,549.3337,-1064.2093,549.6935,-1059.186,549.4626,-1052.9812,549.3885,-1047.0899,549.5393,-1041.6486
0.8,0.95,550.3449,-1071.9748,550.3454,-1066.2328,551.0419,-1061.8828,550.8516,-1055.7592,550.6921,-1049.6972,550.6376,-1043.8452
0.8,1,551.1101,-1073.5053,551.1127,-1067.7673,551.6591,-1063.1171,551.8095,-1057.6749,551.6537,-1051.6204,551.5065,-1045.583
0.8,1.05,551.6631,-1074.6112,551.6696,-1068.8812,551.9603,-1063.7195,552.3731,-1058.8021,552.3149,-1052.9427,552.2002,-1046.9704
0.8,1.1,552.0299,-1075.3449,552.0429,-1069.6277,552.1526,-1064.1042,552.5731,-1059.2022,552.7114,-1053.7357,552.7045,-1047.9791
0.8,1.15,552.2327,-1075.7504,552.2552,-1070.0525,552.2572,-1064.3133,552.522,-1059.0999,552.8744,-1054.0617,553.0345,-1048.639
0.8,1.2,552.2902,-1075.8654,552.3261,-1070.1942,552.2916,-1064.3821,552.4064,-1058.8688,552.8313,-1053.9756,553.2131,-1048.9963
0.8,1.25,552.2184,-1075.7219,552.2722,-1070.0865,552.2703,-1064.3395,552.244,-1058.544,552.6069,-1053.5267,553.2603,-1049.0906
0.8,1.3,552.0312,-1075.3473,552.1081,-1069.7583,552.1948,-1064.1887,552.0454,-1058.1468,552.2927,-1052.8984,553.1932,-1048.9563
0.85,0.8,552.2994,-1075.8837,552.2994,-1070.1407,552.2994,-1064.3977,552.2994,-1058.6547,552.2994,-1052.9117,552.2994,-1047.1687
0.85,0.85,554.7935,-1080.872,554.7935,-1075.129,554.7935,-1069.3859,554.7935,-1063.6429,554.7935,-1057.8999,554.7935,-1052.1569
0.85,0.9,555.9923,-1083.2696,555.9923,-1077.5267,556.1181,-1072.0352,556.0601,-1066.1761,556.0317,-1060.3764,556.0249,-1054.6197
0.85,0.95,556.5633,-1084.4116,556.5647,-1078.6713,556.7359,-1073.2709,556.7864,-1067.6287,556.7417,-1061.7964,556.7107,-1055.9913
0.85,1,556.9081,-1085.1011,556.9125,-1079.367,556.9508,-1073.7005,557.1217,-1068.2993,557.1407,-1062.5945,557.163,-1056.8959
0.85,1.05,557.0565,-1085.398,557.0663,-1079.6745,557.0565,-1073.912,557.1366,-1068.3291,557.268,-1062.8489,557.4063,-1057.3826
0.85,1.1,557.0338,-1085.3526,557.0517,-1079.6454,557.0736,-1073.9461,557.0411,-1068.1381,557.1584,-1062.6297,557.4705,-1057.5109
0.85,1.15,556.8611,-1085.0072,556.8907,-1079.3234,556.979,-1073.7569,556.8806,-1067.8172,556.9282,-1062.1694,557.3807,-1057.3315
0.85,1.2,556.5631,-1084.4112,556.602,-1078.7459,556.7786,-1073.3562,556.671,-1067.3979,556.6503,-1061.6135,557.1588,-1056.8875
0.85,1.25,556.2149,-1083.7147,556.234,-1078.01,556.4873,-1072.7736,556.4242,-1066.9044,556.339,-1060.991,556.8231,-1056.2161
0.85,1.3,555.8425,-1082.97,555.8431,-1077.2282,556.1178,-1072.0346,556.1282,-1066.3125,556.0054,-1060.3237,556.3917,-1055.3533
0.9,0.8,557.0594,-1085.4038,557.0594,-1079.6608,557.0594,-1073.9178,557.0594,-1068.1748,557.0594,-1062.4318,557.0594,-1056.6888
0.9,0.85,559.0273,-1089.3397,559.0273,-1083.5967,559.0273,-1077.8536,559.0273,-1072.1106,559.0273,-1066.3676,559.0273,-1060.6246
0.9,0.9,559.7622,-1090.8093,559.7623,-1085.0666,559.7648,-1079.3286,559.7723,-1073.6006,559.7712,-1067.8554,559.7741,-1062.1183
0.9,0.95,559.9365,-1091.1581,559.9387,-1085.4193,559.9474,-1079.6939,559.9372,-1073.9303,559.9549,-1068.2227,560.0109,-1062.5918
0.9,1,559.9006,-1091.0861,559.9062,-1085.3544,559.9488,-1079.6966,559.9326,-1073.9213,559.9169,-1068.1469,560.0268,-1062.6237
