R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT,A5,R5,A6,R6
1.09008781,0,-0,0,-0,1.0624722,1.158188,5.06202452,5.51805122,10.53114397,11.47987168,4.63068527,5.04785357,9.88772688,10.77849055
1.09041832,0,-0,0,-0,1.06107,1.15701017,5.05285775,5.50972868,10.55175153,11.50582322,4.6226464,5.04061834,9.87960573,10.77290312
1.09074884,0,-0,0,-0,1.05967238,1.15583642,5.04365781,5.50136389,10.57249974,11.5319418,4.61462168,5.03339323,9.87140957,10.76722851
1.09107935,0,-0,0,-0,1.05827934,1.15466673,5.03442464,5.49295676,10.59338971,11.55822876,4.60661121,5.02617836,9.86313787,10.76146606
1.09140986,0,-0,0,-0,1.05689087,1.15350112,5.02515819,5.48450721,10.61442257,11.58468549,4.59861512,5.01897389,9.8547901,10.75561511
1.09174038,0,-0,0,-0,1.05550698,1.15233958,5.01585842,5.47601516,10.63559947,11.61131336,4.5906335,5.01177995,9.84636571,10.749675
1.09207089,0,-0,0,-0,1.05412766,1.15118213,5.00652529,5.46748052,10.65692154,11.63811378,4.58266649,5.00459666,9.83786417,10.74364507
1.0924014,0,-0,0,-0,1.05275292,1.15002877,4.99715874,5.45890321,10.67838996,11.66508816,4.57471417,4.99742417,9.82928495,10.73752466
1.09273191,0,-0,0,-0,1.05138276,1.1488795,4.98775874,5.45028315,10.70000591,11.69223795,4.56677667,4.99026262,9.8206275,10.7313131
1.09306243,0,-0,0,-0,1.05001718,1.14773432,4.97832523,5.44162026,10.72177058,11.71956459,4.5588541,4.98311214,9.8118913,10.72500972
1.09339294,0,-0,0,-0,1.04865617,1.14659325,4.96885818,5.43291446,10.74368518,11.74706954,4.55094657,4.97597286,9.80307579,10.71861386
1.09372345,0,-0,0,-0,1.04729973,1.14545628,4.95935754,5.42416566,10.76575093,11.77475429,4.54305419,4.96884492,9.79418043,10.71212485
1.09405397,0,-0,0,-0,1.04594788,1.14432343,4.94982327,5.41537378,10.78796905,11.80262034,4.53517707,4.96172847,9.78520468,10.705542
1.09438448,0,-0,0,-0,1.0446006,1.14319468,4.94025533,5.40653876,10.81034081,11.8306692,4.52731533,4.95462363,9.776148,10.69886464
1.09471499,0,-0,0,-0,1.0432579,1.14207006,4.93065369,5.39766052,10.83286745,11.85890242,4.51946907,4.94753055,9.76700984,10.69209211
1.09504551,0,-0,0,-0,1.04191977,1.14094956,4.92101829,5.38873897,10.85555026,11.88732153,4.51163841,4.94044936,9.75778965,10.68522371
1.09537602,0,-0,0,-0,1.04058622,1.13983319,4.91134911,5.37977404,10.87839054,11.91592812,4.50382345,4.93338021,9.74848689,10.67825876
1.09570653,0,-0,0,-0,1.03925725,1.13872096,4.9016461,5.37076565,10.90138957,11.94472376,4.49602432,4.92632322,9.73910101,10.67119659
1.09603705,0,-0,0,-0,1.03793285,1.13761286,4.89190923,5.36171374,10.9245487,11.97371007,4.48824113,4.91927854,9.72963145,10.66403651
1.09636756,0,-0,0,-0,1.03661303,1.1365089,4.88213847,5.35261823,10.94786924,12.00288867,4.48047397,4.91224631,9.72007767,10.65677782
1.09669807,0,-0,0,-0,1.03529779,1.13540909,4.87233377,5.34347905,10.97135257,12.0322612,4.47272298,4.90522666,9.71043912,10.64941986
1.09702858,0,-0,0,-0,1.03398713,1.13431343,4.86249511,5.33429612,10.99500003,12.06182932,4.46498825,4.89821974,9.70071525,10.64196191
