R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT
6540.52686539,0.52638804,-1.685e-05,2e-08,-0,3.202e-05,0.20940148,0.00121193,7.92667348,0.00095592,6.25219254
6542.50994347,0.52635466,-1.681e-05,2e-08,-0,3.194e-05,0.20897528,0.00121255,7.9331055,0.00095627,6.25641096
6544.49302154,0.52632136,-1.677e-05,2e-08,-0,3.187e-05,0.20854964,0.00121316,7.93954611,0.00095663,6.26063653
6546.47609962,0.52628814,-1.673e-05,2e-08,-0,3.179e-05,0.20812457,0.00121378,7.94599534,0.00095698,6.26486926
6548.45917769,0.526255,-1.669e-05,2e-08,-0,3.172e-05,0.20770006,0.0012144,7.95245319,0.00095734,6.26910916
6550.44225577,0.52622194,-1.665e-05,2e-08,-0,3.164e-05,0.2072761,0.00121502,7.95891968,0.0009577,6.27335624
6552.42533384,0.52618896,-1.661e-05,2e-08,-0,3.157e-05,0.20685272,0.00121564,7.96539482,0.00095806,6.27761051
6554.40841191,0.52615606,-1.657e-05,2e-08,-0,3.149e-05,0.20642989,0.00121626,7.97187862,0.00095842,6.28187198
6556.39148999,0.52612323,-1.653e-05,2e-08,-0,3.142e-05,0.20600762,0.00121688,7.97837111,0.00095878,6.28614067
6558.37456806,0.52609049,-1.649e-05,2e-08,-0,3.135e-05,0.20558591,0.00121751,7.98487229,0.00095914,6.29041658
6560.35764614,0.52605783,-1.645e-05,2e-08,-0,3.127e-05,0.20516477,0.00121813,7.99138217,0.00095951,6.29469972
6562.34072421,0.52602524,-1.641e-05,2e-08,-0,3.12e-05,0.20474418,0.00121876,7.99790078,0.00095987,6.29899011
6564.32380229,0.52599273,-1.637e-05,2e-08,-0,3.113e-05,0.20432416,0.00121938,8.00442812,0.00096023,6.30328776
6566.30688036,0.52596031,-1.633e-05,2e-08,-0,3.105e-05,0.2039047,0.00122001,8.01096421,0.0009606,6.30759267
6568.28995844,0.52592796,-1.629e-05,2e-08,-0,3.098e-05,0.20348579,0.00122064,8.01750907,0.00096097,6.31190486
6570.27303651,0.52589568,-1.625e-05,2e-08,-0,3.091e-05,0.20306744,0.00122127,8.02406271,0.00096133,6.31622434
6572.25611459,0.52586349,-1.621e-05,2e-08,-0,3.083e-05,0.20264966,0.0012219,8.03062514,0.0009617,6.32055111
6574.23919266,0.52583138,-1.618e-05,2e-08,-0,3.076e-05,0.20223243,0.00122253,8.03719638,0.00096207,6.3248852
6576.22227074,0.52579934,-1.614e-05,2e-08,-0,3.069e-05,0.20181576,0.00122316,8.04377643,0.00096244,6.32922661
6578.20534881,0.52576738,-1.61e-05,2e-08,-0,3.062e-05,0.20139965,0.00122379,8.05036533,0.00096281,6.33357535
6580.18842688,0.52573549,-1.606e-05,2e-08,-0,3.054e-05,0.2009841,0.00122443,8.05696308,0.00096318,6.33793143
6582.17150496,0.52570369,-1.602e-05,2e-08,-0,3.047e-05,0.20056911,0.00122506,8.06356969,0.00096356,6.34229486
6584.15458303,0.52567196,-1.598e-05,2e-08,-0,3.04e-05,0.20015468,0.0012257,8.07018518,0.00096393,6.34666567
6586.13766111,0.52564031,-1.594e-05,2e-08,-0,3.033e-05,0.1997408,0.00122633,8.07680956,0.0009643,6.35104384
6588.12073918,0.52560873,-1.59e-05,2e-08,-0,3.026e-05,0.19932748,0.00122697,8.08344286,0.00096468,6.35542941
6590.10381726,0.52557724,-1.586e-05,2e-08,-0,3.018e-05,0.19891471,0.00122761,8.09008508,0.00096506,6.35982237
6592.08689533,0.52554582,-1.583e-05,2e-08,-0,3.011e-05,0.19850251,0.00122825,8.09673623,0.00096543,6.36422274
6594.06997341,0.52551447,-1.579e-05,2e-08,-0,3.004e-05,0.19809086,0.00122889,8.10339634,0.00096581,6.36863053
6596.05305148,0.5254832,-1.575e-05,2e-08,-0,2.997e-05,0.19767977,0.00122953,8.11006542,0.00096619,6.37304575
6598.03612956,0.52545201,-1.571e-05,2e-08,-0,2.99e-05,0.19726923,0.00123018,8.11674348,0.00096657,6.37746842
6600.01920763,0.52542089,-1.567e-05,2e-08,-0,2.983e-05,0.19685925,0.00123082,8.12343054,0.00096695,6.38189854
6602.0022857,0.52538985,-1.563e-05,2e-08,-0,2.976e-05,0.19644983,0.00123146,8.1301266,0.00096733,6.38633612
6603.98536378,0.52535889,-1.56e-05,2e-08,-0,2.969e-05,0.19604096,0.00123211,8.1368317,0.00096772,6.39078118
6605.96844185,0.525328,-1.556e-05,2e-08,-0,2.961e-05,0.19563264,0.00123276,8.14354584,0.0009681,6.39523373
6607.95151993,0.52529719,-1.552e-05,2e-08,-0,2.954e-05,0.19522488,0.0012334,8.15026903,0.00096848,6.39969378
6609.934598,0.52526645,-1.548e-05,2e-08,-0,2.947e-05,0.19481768,0.00123405,8.1570013,0.00096887,6.40416133
6611.91767608,0.52523578,-1.544e-05,2e-08,-0,2.94e-05,0.19441103,0.0012347,8.16374265,0.00096926,6.40863641
