R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT
1.09008781,0.52633633,-0.101105,0.73519386,-4.21669387,0.192092,0.20939715,7.27158772,7.92666914,5.73548572,6.25218307
1.09041832,0.52630295,-0.10086224,0.73380125,-4.2102697,0.19164292,0.20897095,7.27528234,7.93310117,5.7376159,6.25640151
1.09074884,0.52626966,-0.10061994,0.73241076,-4.20385563,0.19119464,0.20854533,7.27898259,7.9395418,5.73975134,6.2606271
1.09107935,0.52623644,-0.10037809,0.73102239,-4.19745164,0.19074714,0.20812026,7.2826885,7.94599103,5.74189205,6.26485985
1.09140986,0.5262033,-0.10013671,0.72963613,-4.1910577,0.19030042,0.20769576,7.28640006,7.95244889,5.74403803,6.26909976
1.09174038,0.52617025,-0.09989578,0.72825199,-4.18467378,0.18985449,0.20727181,7.29011729,7.95891539,5.74618929,6.27334686
1.09207089,0.52613727,-0.09965532,0.72686995,-4.17829987,0.18940935,0.20684843,7.29384019,7.96539054,5.74834584,6.27760115
1.0924014,0.52610437,-0.0994153,0.72549002,-4.17193594,0.18896498,0.20642561,7.29756877,7.97187435,5.75050767,6.28186264
1.09273191,0.52607156,-0.09917575,0.72411219,-4.16558197,0.1885214,0.20600336,7.30130303,7.97836684,5.7526748,6.28613135
1.09306243,0.52603882,-0.09893665,0.72273646,-4.15923793,0.18807861,0.20558166,7.30504299,7.98486803,5.75484722,6.29040727
1.09339294,0.52600616,-0.098698,0.72136283,-4.1529038,0.18763659,0.20516052,7.30878866,7.99137792,5.75702495,6.29469044
1.09372345,0.52597357,-0.09845981,0.71999129,-4.14657955,0.18719535,0.20473995,7.31254003,7.99789654,5.75920798,6.29898084
1.09405397,0.52594107,-0.09822207,0.71862183,-4.14026517,0.18675489,0.20431993,7.31629712,8.00442389,5.76139633,6.30327851
1.09438448,0.52590865,-0.09798478,0.71725446,-4.13396063,0.18631521,0.20390047,7.32005994,8.01095999,5.76358999,6.30758344
1.09471499,0.5258763,-0.09774794,0.71588917,-4.12766591,0.1858763,0.20348158,7.32382849,8.01750486,5.76578898,6.31189564
1.09504551,0.52584403,-0.09751156,0.71452597,-4.12138098,0.18543818,0.20306324,7.32760279,8.0240585,5.7679933,6.31621514
1.09537602,0.52581184,-0.09727562,0.71316483,-4.11510582,0.18500082,0.20264546,7.33138283,8.03062094,5.77020295,6.32054193
1.09570653,0.52577973,-0.09704014,0.71180577,-4.10884041,0.18456424,0.20222825,7.33516864,8.03719219,5.77241794,6.32487604
1.09603705,0.5257477,-0.0968051,0.71044878,-4.10258472,0.18412844,0.20181159,7.3389602,8.04377226,5.77463827,6.32921746
1.09636756,0.52571574,-0.09657051,0.70909386,-4.09633873,0.1836934,0.20139549,7.34275755,8.05036116,5.77686395,6.33356622
1.09669807,0.52568386,-0.09633637,0.70774099,-4.09010243,0.18325914,0.20097994,7.34656067,8.05695892,5.77909498,6.33792232
1.09702858,0.52565206,-0.09610268,0.70639019,-4.08387578,0.18282564,0.20056496,7.35036958,8.06356554,5.78133138,6.34228578
1.0973591,0.52562033,-0.09586943,0.70504144,-4.07765876,0.18239292,0.20015053,7.35418429,8.07018104,5.78357314,6.3466566
1.09768961,0.52558869,-0.09563663,0.70369475,-4.07145135,0.18196097,0.19973666,7.35800481,8.07680543,5.78582026,6.35103479
1.09802012,0.52555712,-0.09540427,0.70235011,-4.06525353,0.18152978,0.19932335,7.36183114,8.08343873,5.78807277,6.35542037
1.09835064,0.52552562,-0.09517235,0.70100751,-4.05906528,0.18109936,0.1989106,7.36566329,8.09008096,5.79033065,6.35981335
1.09868115,0.5254942,-0.09494088,0.69966696,-4.05288657,0.18066971,0.1984984,7.36950127,8.09673212,5.79259392,6.36421374
1.09901166,0.52546286,-0.09470986,0.69832845,-4.04671738,0.18024082,0.19808676,7.37334509,8.10339224,5.79486258,6.36862155
1.09934218,0.5254316,-0.09447927,0.69699197,-4.04055769,0.17981269,0.19767567,7.37719475,8.11006133,5.79713663,6.37303679
