alpha,beta,b6_loglik,b6_BIC
0.4,0.4,391.3485,-742.4961
0.4,0.5,409.4089,-778.6169
0.4,0.6,422.507,-804.813
0.4,0.7,433.1444,-826.0878
0.4,0.8,442.2926,-844.3841
0.4,0.9,449.9973,-859.7936
0.4,1,456.2114,-872.2218
0.4,1.1,461.8915,-883.5819
0.4,1.2,467.5149,-894.8288
0.4,1.3,472.4383,-904.6755
0.4,1.4,476.9487,-913.6963
0.5,0.4,463.2229,-886.2447
0.5,0.5,476.2061,-912.2111
0.5,0.6,485.6638,-931.1265
0.5,0.7,492.5326,-944.8641
0.5,0.8,499.5503,-958.8996
0.5,0.9,506.9728,-973.7446
0.5,1,511.7078,-983.2145
0.5,1.1,516.12,-992.039
0.5,1.2,522.4511,-1004.7013
0.5,1.3,521.3787,-1002.5564
0.5,1.4,523.145,-1006.089
0.6,0.4,499.3817,-958.5623
0.6,0.5,510.0097,-979.8184
0.6,0.6,517.7795,-995.3579
0.6,0.7,523.3865,-1006.5719
0.6,0.8,530.7484,-1021.2958
0.6,0.9,536.1802,-1032.1593
0.6,1,539.3568,-1038.5126
0.6,1.1,541.6468,-1043.0926
0.6,1.2,543.0085,-1045.8161
0.6,1.3,546.9868,-1053.7725
0.6,1.4,545.0747,-1049.9484
0.7,0.4,520.5718,-1000.9426
0.7,0.5,530.1064,-1020.0117
0.7,0.6,533.5918,-1026.9825
0.7,0.7,541.4467,-1042.6924
0.7,0.8,542.0285,-1043.856
0.7,0.9,546.3614,-1052.5217
0.7,1,552.9025,-1065.604
0.7,1.1,553.8272,-1067.4534
0.7,1.2,554.7496,-1069.2981
0.7,1.3,555.4535,-1070.7061
0.7,1.4,555.5193,-1070.8375
0.8,0.4,533.7163,-1027.2317
0.8,0.5,540.4687,-1040.7364
0.8,0.6,546.6767,-1053.1524
0.8,0.7,550.7321,-1061.2632
0.8,0.8,553.1969,-1066.1929
0.8,0.9,555.1546,-1070.1082
0.8,1,559.0909,-1077.9808
0.8,1.1,560.0341,-1079.8673
0.8,1.2,559.864,-1079.5269
0.8,1.3,560.5658,-1080.9306
0.8,1.4,560.7793,-1081.3575
0.9,0.4,541.9624,-1043.7237
0.9,0.5,549.0971,-1057.9932
0.9,0.6,554.3397,-1068.4784
0.9,0.7,557.5727,-1074.9444
0.9,0.8,559.4987,-1078.7963
0.9,0.9,560.6566,-1081.1122
0.9,1,562.1522,-1084.1034
0.9,1.1,562.495,-1084.7889
0.9,1.2,562.3489,-1084.4968
0.9,1.3,562.8604,-1085.5199
0.9,1.4,562.8531,-1085.5052
1,0.4,547.2318,-1054.2627
1,0.5,554.377,-1068.553
1,0.6,558.4714,-1076.7417
1,0.7,560.9825,-1081.7641
1,0.8,562.2699,-1084.3388
1,0.9,562.9154,-1085.6298
1,1,562.9838,-1085.7666
1,1.1,562.7913,-1085.3817
1,1.2,562.4015,-1084.602
1,1.3,561.8906,-1083.5803
1,1.4,562.3097,-1084.4185
1.1,0.4,550.5118,-1060.8225
1.1,0.5,556.9767,-1073.7523
1.1,0.6,561.0156,-1081.8303
1.1,0.7,562.0967,-1083.9924
1.1,0.8,562.912,-1085.6229
1.1,0.9,563.0518,-1085.9025
1.1,1,562.5024,-1084.8038
1.1,1.1,561.7059,-1083.2108
1.1,1.2,560.5301,-1080.8592
1.1,1.3,560.8718,-1081.5427
1.1,1.4,560.2299,-1080.2587
1.2,0.4,552.4085,-1064.6159
1.2,0.5,558.6051,-1077.0091
1.2,0.6,562.0063,-1083.8115
1.2,0.7,562.2023,-1084.2036
1.2,0.8,562.1901,-1084.1792
1.2,0.9,561.5462,-1082.8915
1.2,1,560.7981,-1081.3952
1.2,1.1,560.296,-1080.391
1.2,1.2,560.0863,-1079.9715
1.2,1.3,559.277,-1078.353
1.2,1.4,561.0389,-1081.8768
1.3,0.4,552.8478,-1065.4947
1.3,0.5,557.6203,-1075.0397
1.3,0.6,561.4683,-1082.7355
1.3,0.7,561.1548,-1082.1086
1.3,0.8,560.9267,-1081.6525
1.3,0.9,560.5072,-1080.8134
1.3,1,559.334,-1078.467
1.3,1.1,558.3996,-1076.5981
1.3,1.2,558.2884,-1076.3758
1.3,1.3,555.1165,-1070.0319
1.3,1.4,556.265,-1072.3289
1.4,0.4,552.7147,-1065.2284
1.4,0.5,557.0668,-1073.9327
1.4,0.6,558.6858,-1077.1706
1.4,0.7,559.6442,-1079.0873
1.4,0.8,559.3334,-1078.4658
1.4,0.9,557.6306,-1075.0601
1.4,1,558.0033,-1075.8056
1.4,1.1,557.0122,-1073.8233
1.4,1.2,556.2861,-1072.3712
1.4,1.3,554.5057,-1068.8103
1.4,1.4,554.0024,-1067.8038
