R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT
1.09008781,0,0,0,0,-5.21405766,-5.6837807,-31.57752155,-34.42227134,-20.54351913,-22.3942398
1.09041832,0,0,0,0,-5.25954976,-5.73510943,-31.46353245,-34.30841232,-20.61389137,-22.47776488
1.09074884,0,0,0,0,-5.30516105,-5.78659825,-31.35185288,-34.19699707,-20.68420879,-22.56127668
1.09107935,0,0,0,0,-5.35089161,-5.83824734,-31.24243695,-34.0879778,-20.75447053,-22.64477422
1.09140986,0,0,0,0,-5.39674151,-5.89005691,-31.13524007,-33.9813081,-20.8246758,-22.72825656
1.09174038,0,0,0,0,-5.44271081,-5.94202714,-31.03021888,-33.87694282,-20.8948238,-22.81172279
1.09207089,0,0,0,0,-5.48879959,-5.99415825,-30.92733119,-33.77483807,-20.96491378,-22.89517203
1.0924014,0,0,0,0,-5.53500791,-6.0464504,-30.82653601,-33.67495116,-21.034945,-22.97860341
1.09273191,0,0,0,0,-5.58133586,-6.09890382,-30.72779343,-33.57724056,-21.10491674,-23.06201609
1.09306243,0,0,0,0,-5.62778348,-6.15151868,-30.63106462,-33.48166586,-21.17482834,-23.14540927
1.09339294,0,0,0,0,-5.67435087,-6.20429519,-30.53631179,-33.38818775,-21.24467911,-23.22878217
1.09372345,0,0,0,0,-5.72103808,-6.25723353,-30.44349816,-33.29676796,-21.31446844,-23.31213404
1.09405397,0,0,0,0,-5.76784518,-6.3103339,-30.35258792,-33.20736922,-21.3841957,-23.39546414
1.09438448,0,0,0,0,-5.81477225,-6.3635965,-30.26354621,-33.11995528,-21.45386032,-23.47877177
1.09471499,0,0,0,0,-5.86181934,-6.41702152,-30.17633906,-33.0344908,-21.52346172,-23.56205625
1.09504551,0,0,0,0,-5.90898654,-6.47060915,-30.09093339,-32.95094138,-21.59299938,-23.64531694
1.09537602,0,0,0,0,-5.9562739,-6.52435959,-30.00729698,-32.86927351,-21.66247278,-23.7285532
1.09570653,0,0,0,0,-6.0036815,-6.57827304,-29.92539843,-32.78945453,-21.73188143,-23.81176444
1.09603705,0,0,0,0,-6.0512094,-6.63234967,-29.84520712,-32.71145263,-21.80122486,-23.89495008
1.09636756,0,0,0,0,-6.09885768,-6.6865897,-29.76669324,-32.63523678,-21.87050263,-23.97810957
1.09669807,0,0,0,0,-6.14662639,-6.74099331,-29.68982769,-32.56077676,-21.93971433,-24.06124239
1.09702858,0,0,0,0,-6.19451561,-6.79556069,-29.61458213,-32.4880431,-22.00885955,-24.14434803
1.0973591,0,0,0,0,-6.2425254,-6.85029204,-29.54092889,-32.41700706,-22.07793793,-24.22742603
1.09768961,0,0,0,0,-6.29065584,-6.90518755,-29.46884101,-32.34764061,-22.1469491,-24.31047593
1.09802012,0,0,0,0,-6.33890698,-6.96024742,-29.39829219,-32.27991641,-22.21589276,-24.3934973
1.09835064,0,0,0,0,-6.38727889,-7.01547183,-29.32925673,-32.21380779,-22.28476859,-24.47648975
1.09868115,0,0,0,0,-6.43577164,-7.07086099,-29.26170961,-32.14928875,-22.3535763,-24.5594529
1.09901166,0,0,0,0,-6.4843853,-7.12641507,-29.19562638,-32.08633388,-22.42231565,-24.64238639
1.09934218,0,0,0,0,-6.53311994,-7.18213428,-29.13098317,-32.0249184,-22.49098638,-24.7252899
1.09967269,0,0,0,0,-6.58197561,-7.23801881,-29.06775668,-31.96501813,-22.5595883,-24.80816311
1.1000032,0,0,0,0,-6.63095238,-7.29406885,-29.00592419,-31.90660946,-22.62812119,-24.89100574
1.10033371,0,0,0,0,-6.68005032,-7.35028458,-28.94546347,-31.84966934,-22.69658488,-24.97381754
1.10066423,0,0,0,0,-6.7292695,-7.40666621,-28.88635285,-31.79417524,-22.76497923,-25.05659828
1.10099474,0,0,0,0,-6.77860998,-7.46321393,-28.82857112,-31.74010518,-22.8333041,-25.13934772
1.10132525,0,0,0,0,-6.82807182,-7.51992792,-28.77209761,-31.68743769,-22.90155939,-25.22206569
1.10165577,0,0,0,0,-6.87765509,-7.57680838,-28.71691208,-31.63615178,-22.96974499,-25.30475202
1.10198628,0,0,0,0,-6.92735985,-7.63385551,-28.66299477,-31.58622696,-23.03786085,-25.38740656
1.10231679,0,0,0,0,-6.97718617,-7.69106948,-28.61032638,-31.53764321,-23.1059069,-25.47002918
1.10264731,0,0,0,0,-7.02713411,-7.74845049,-28.55888803,-31.49038093,-23.17388313,-25.55261979
1.10297782,0,0,0,0,-7.07720374,-7.80599874,-28.50866127,-31.44442102,-23.24178952,-25.63517831
1.10330833,0,0,0,0,-7.12739512,-7.86371441,-28.45962806,-31.39974475,-23.30962609,-25.71770466
1.10363884,0,0,0,0,-7.17770831,-7.9215977,-28.41177076,-31.35633385,-23.37739285,-25.80019883
1.10396936,0,0,0,0,-7.22814338,-7.9796488,-28.36507213,-31.31417045,-23.44508986,-25.88266079
1.10429987,0,0,0,0,-7.27870038,-8.03786789,-28.31951529,-31.27323706,-23.51271718,-25.96509054
1.10463038,0,0,0,0,-7.32937939,-8.09625517,-28.27508373,-31.23351659,-23.58027491,-26.04748811
1.1049609,0,0,0,0,-7.38018047,-8.15481082,-28.23176133,-31.19499231,-23.64776313,-26.12985355
1.10529141,0,0,0,0,-7.43110367,-8.21353505,-28.18953228,-31.15764786,-23.71518198,-26.21218692
1.10562192,0,0,0,0,-7.48214906,-8.27242803,-28.14838112,-31.12146725,-23.7825316,-26.29448831
1.10595244,0,0,0,0,-7.53331671,-8.33148996,-28.10829275,-31.08643482,-23.84981214,-26.37675782
1.10628295,0,0,0,0,-7.58460667,-8.39072103,-28.06925234,-31.05253524,-23.91702377,-26.45899558
1.10661346,0,0,0,0,-7.63601901,-8.45012143,-28.03124542,-31.01975352,-23.98416669,-26.54120173
1.10694397,0,0,0,0,-7.68755378,-8.50969134,-27.99425779,-30.98807498,-24.05124112,-26.62337643
1.10727449,0,0,0,0,-7.73921106,-8.56943096,-27.95827558,-30.95748526,-24.11824726,-26.70551988
1.107605,0,0,0,0,-7.7909909,-8.62934048,-27.92328518,-30.92797029,-24.18518538,-26.78763226
1.10793551,0,0,0,0,-7.84289336,-8.68942008,-27.88927327,-30.8995163,-24.25205572,-26.86971381
1.10826603,0,0,0,0,-7.8949185,-8.74966996,-27.85622682,-30.87210981,-24.31885856,-26.95176475
1.10859654,0,0,0,0,-7.94706639,-8.8100903,-27.82413305,-30.84573762,-24.38559419,-27.03378534
1.10892705,0,0,0,0,-7.99933708,-8.87068129,-27.79297945,-30.82038678,-24.45226293,-27.11577586
1.10925757,0,0,0,0,-8.05173064,-8.93144312,-27.76275375,-30.79604464,-24.51886509,-27.1977366
1.10958808,0,0,0,0,-8.10424712,-8.99237599,-27.73344396,-30.77269879,-24.585401,-27.27966786
1.10991859,0,0,0,0,-8.15688658,-9.05348007,-27.70503828,-30.75033707,-24.65187103,-27.36156997
