alpha,beta,b6_loglik,b6_BIC
0.85,0.85,557.7882,-1075.3753
0.85,0.9,560.1879,-1080.1747
0.85,0.95,561.017,-1081.833
0.85,1,560.9761,-1081.7511
0.85,1.05,561.1433,-1082.0857
0.85,1.1,561.086,-1081.971
0.9,0.85,560.1749,-1080.1488
0.9,0.9,561.8948,-1083.5885
0.9,0.95,561.0021,-1081.8031
0.9,1,562.1499,-1084.0988
0.9,1.05,562.0521,-1083.9032
0.9,1.1,562.4951,-1084.7891
0.95,0.85,561.7373,-1083.2736
0.95,0.9,562.0843,-1083.9677
0.95,0.95,562.2344,-1084.2677
0.95,1,562.4211,-1084.6412
0.95,1.05,562.453,-1084.7049
0.95,1.1,562.4158,-1084.6307
1,0.85,565.9728,-1091.7445
1,0.9,562.9166,-1085.6322
1,0.95,562.8517,-1085.5024
1,1,562.9838,-1085.7665
1,1.05,562.9182,-1085.6354
1,1.1,562.7166,-1085.2322
1.05,0.85,563.1195,-1086.0379
1.05,0.9,563.238,-1086.275
1.05,0.95,563.063,-1085.9249
1.05,1,563.0292,-1085.8573
1.05,1.05,562.916,-1085.6309
1.05,1.1,562.7108,-1085.2206
1.1,0.85,562.9608,-1085.7205
1.1,0.9,562.9269,-1085.6528
1.1,0.95,562.8912,-1085.5814
1.1,1,562.4273,-1084.6536
1.1,1.05,562.599,-1084.997
1.1,1.1,561.4334,-1082.6657
