alpha,beta_0.88,beta_0.89,beta_0.90,beta_0.91,beta_0.92,beta_0.93,beta_0.94,beta_0.95,beta_0.96,beta_0.97,beta_0.98,beta_0.99,beta_1.00,beta_1.01,beta_1.02
0.88,627.8372,628.041,628.2196,628.383,628.5312,628.6648,628.7839,628.8887,628.9795,629.0565,629.1196,629.1721,629.2187,629.2599,629.2957
0.89,628.8352,629.0172,629.1725,629.3127,629.4381,629.549,629.6456,629.7282,629.797,629.8532,629.9027,629.9467,629.9834,630.011,630.0296
0.90,629.7211,629.8825,630.015,630.1325,630.2355,630.3242,630.3989,630.4602,630.5137,630.5609,630.5987,630.6269,630.6459,630.6559,630.6578
0.91,630.5009,630.6429,630.753,630.8484,630.9295,630.9967,631.0555,631.1053,631.1449,631.1747,631.1948,631.2067,631.2136,631.2157,631.2133
0.92,631.1802,631.3038,631.3922,631.4662,631.53,631.583,631.6253,631.6574,631.6813,631.6996,631.7122,631.7178,631.7165,631.7085,631.694
0.93,631.7642,631.8702,631.9395,631.9965,632.0427,632.0809,632.1113,632.1336,632.148,632.1548,632.1543,632.1466,632.1325,632.1128,632.088
0.94,632.2578,632.347,632.4002,632.443,632.4769,632.5023,632.5199,632.5304,632.534,632.5313,632.5225,632.5079,632.488,632.4629,632.4327
0.95,632.6657,632.7389,632.7805,632.8134,632.8381,632.8551,632.8647,632.8672,632.8629,632.8523,632.8355,632.8129,632.7847,632.7512,632.7126
0.96,632.9921,633.0536,633.0935,633.1178,633.1323,633.1394,633.1394,633.1326,633.1193,633.0997,633.0742,633.0429,633.0062,632.9642,632.9173
0.97,633.2413,633.2996,633.3397,633.3639,633.3741,633.3722,633.3626,633.3465,633.324,633.2955,633.2613,633.2216,633.1766,633.1267,633.072
0.98,633.4215,633.4795,633.5196,633.544,633.5544,633.5522,633.5388,633.5152,633.4843,633.4475,633.4052,633.3577,633.3052,633.2479,633.1862
0.99,633.5383,633.5961,633.6361,633.6605,633.6709,633.6689,633.6557,633.6324,633.5999,633.5591,633.5108,633.4562,633.3969,633.3331,633.265
1.00,633.5944,633.6518,633.6916,633.716,633.7265,633.7245,633.7114,633.6882,633.6559,633.6153,633.5671,633.5122,633.451,633.3841,633.312
1.01,633.5923,633.6492,633.6888,633.7131,633.7235,633.7216,633.7086,633.6854,633.6532,633.6126,633.5646,633.5097,633.4485,633.3816,633.3096
1.02,633.5342,633.5907,633.6301,633.6542,633.6645,633.6626,633.6495,633.6264,633.5942,633.5536,633.5056,633.4506,633.3894,633.3225,633.2503
