Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.1,0.10056338028169,0.100422535211268
2,0.1,0.2,0.100281690140845,0.0991549295774648
3,0.2,0.3,0.105211267605634,0.100281690140845
4,0.3,0.4,0.101971830985916,0.105211267605634
5,0.4,0.5,0.0992957746478873,0.0987323943661972
6,0.5,0.6,0.102957746478873,0.10169014084507
7,0.6,0.7,0.0992957746478873,0.097887323943662
8,0.7,0.8,0.0938028169014085,0.0953521126760564
9,0.8,0.9,0.102535211267606,0.102112676056338
10,0.9,1,0.0940845070422535,0.0991549295774648
