Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.1,0.0932394366197183,0.0977464788732395
2,0.1,0.2,0.100985915492958,0.103802816901408
3,0.2,0.3,0.10112676056338,0.0997183098591549
4,0.3,0.4,0.1,0.0960563380281691
5,0.4,0.5,0.107323943661972,0.10056338028169
6,0.5,0.6,0.103380281690141,0.10112676056338
7,0.6,0.7,0.102394366197183,0.100140845070423
8,0.7,0.8,0.102253521126761,0.101408450704225
9,0.8,0.9,0.0969014084507043,0.0976056338028169
10,0.9,1,0.0923943661971831,0.101830985915493
