Simulation,LL_A,LL_B,TestStatistic,PIT_Sup_A,PIT_Sup_B,PIT_Gain_B,PIT_Pairwise_Delta,KS_A,KS_B,ExitFlag_A,ExitFlag_B
1,623.008431265489,626.394944943011,6.77302735504395,0.0295774647887324,0.0323943661971831,-0.00281690140845071,0.0197183098591549,0.0504378381356904,0.0295510182439479,1,2
2,641.550725434287,642.179738811637,1.2580267547014,0.0408450704225352,0.0436619718309859,-0.0028169014084507,0.0084507042253521,0.0468068999776504,0.0551360273845291,2,2
3,634.517276170382,635.533094759681,2.03163717859843,0.0352112676056338,0.0408450704225352,-0.00563380281690143,0.0140845070422535,0.0544223094251254,0.0403988836672332,2,2
4,635.605749232258,639.249745705227,7.28799294593841,0.0295774647887324,0.0211267605633803,0.0084507042253521,0.0140845070422535,0.0460517164561491,0.0435322355640112,2,2
5,637.848890155047,642.11402483506,8.53026936002561,0.0323943661971831,0.0323943661971831,0,0.0253521126760563,0.0511587894259458,0.0445476885711914,1,2
6,652.9377796302,654.877550135012,3.87954100962452,0.0183098591549296,0.0154929577464789,0.0028169014084507,0.0140845070422535,0.0354982174170735,0.0250463464994946,2,2
7,649.729849433395,655.349506387348,11.2393139079056,0.0211267605633803,0.0295774647887324,-0.0084507042253521,0.0225352112676056,0.0416081511779898,0.0373273302638074,2,2
8,638.513578894564,643.409278861928,9.791399934727,0.0436619718309859,0.052112676056338,-0.0084507042253521,0.0225352112676056,0.0625984471149217,0.0447280983811377,2,2
9,611.11268683317,611.801320316603,1.37726696686605,0.0183098591549296,0.0183098591549296,0,0.00845070422535212,0.0243650323713995,0.0206159245703243,1,2
10,640.084978736434,645.467976507296,10.7659955417225,0.0295774647887324,0.0183098591549296,0.0112676056338028,0.0253521126760563,0.0571961945745887,0.0334063814976095,2,2
11,662.889088735109,669.179635103497,12.581092736775,0.0323943661971831,0.0211267605633803,0.0112676056338028,0.0309859154929577,0.0498246008816544,0.0278128389701761,2,2
12,617.762398937165,618.316305920967,1.10781396760353,0.0267605633802817,0.023943661971831,0.0028169014084507,0.00563380281690141,0.0254348197769846,0.0273290481584911,2,2
13,660.97786543021,664.216052014037,6.47637316765395,0.0267605633802817,0.0267605633802817,0,0.0197183098591549,0.0383837278703195,0.0382093537563226,2,2
14,654.027093890752,655.007034555108,1.95988132871344,0.0295774647887324,0.0295774647887324,0,0.0112676056338028,0.0291703999597453,0.0276455954578809,1,2
15,620.743624918231,625.578855291539,9.67046074661584,0.023943661971831,0.0211267605633803,0.0028169014084507,0.0225352112676056,0.0370583472597474,0.0438151536126911,2,2
16,651.940264794099,654.79155924305,5.70258889790216,0.0323943661971831,0.0323943661971831,0,0.0197183098591549,0.053721009516512,0.0344521632993124,2,2
17,640.237877682385,641.400571464136,2.32538756350209,0.023943661971831,0.0323943661971831,-0.0084507042253521,0.0140845070422535,0.0367884861782185,0.0411796148560536,1,2
18,662.245208295994,663.232472830222,1.97452906845638,0.0380281690140845,0.0295774647887324,0.00845070422535213,0.0140845070422535,0.0402730519098132,0.0329427652304065,2,2
19,639.863335786294,645.120295806345,10.5139200401002,0.0380281690140845,0.0323943661971831,0.00563380281690143,0.0309859154929577,0.0481944547999881,0.0289867723937866,2,2
20,626.680404991671,629.402662023001,5.44451406265966,0.0492957746478873,0.0183098591549296,0.0309859154929577,0.0309859154929577,0.0365653154455875,0.0445064855905225,2,2
