Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.1,0.0971830985915493,0.102394366197183
2,0.1,0.2,0.102816901408451,0.106056338028169
3,0.2,0.3,0.104507042253521,0.103521126760563
4,0.3,0.4,0.103943661971831,0.103943661971831
5,0.4,0.5,0.0992957746478873,0.0991549295774648
6,0.5,0.6,0.105211267605634,0.103239436619718
7,0.6,0.7,0.0922535211267606,0.0916901408450704
8,0.7,0.8,0.106197183098592,0.103661971830986
9,0.8,0.9,0.10169014084507,0.0987323943661972
10,0.9,1,0.0869014084507042,0.0876056338028169
