Simulation,LL_A,LL_B,TestStatistic,PIT_Sup_A,PIT_Sup_B,PIT_Gain_B,PIT_Pairwise_Delta,KS_A,KS_B,ExitFlag_A,ExitFlag_B
1,628.048951190088,626.944072434482,-2.20975751121205,0.023943661971831,0.0183098591549296,0.00563380281690141,0.0140845070422535,0.0305298411520832,0.0396247789734077,2,2
2,652.780630063956,653.365357143581,1.1694541592492,0.0352112676056338,0.0380281690140845,-0.00281690140845073,0.0140845070422535,0.0397168867332541,0.0449832315736203,2,2
3,632.113075429012,631.105826012011,-2.01449883400278,0.0211267605633803,0.0295774647887324,-0.0084507042253521,0.0169014084507042,0.0363879884328384,0.0462105642548865,2,2
4,639.227102375292,640.232424026852,2.01064330312101,0.0267605633802817,0.0267605633802817,0,0.0112676056338028,0.0468911777295485,0.0366157427197096,2,2
5,646.566622934205,646.167269334504,-0.798707199400724,0.0352112676056338,0.0352112676056338,0,0.0112676056338028,0.0427750052968862,0.0435385028343047,2,2
6,602.573784383259,602.57867177149,0.00977477646119951,0.0267605633802817,0.0295774647887324,-0.0028169014084507,0.0112676056338028,0.0355313913036266,0.0310882177068282,2,2
7,621.119679986036,620.560724464925,-1.1179110422238,0.0211267605633803,0.0154929577464789,0.0056338028169014,0.00845070422535212,0.0358704742719317,0.038061665313762,2,2
8,616.541836065615,615.442578279777,-2.19851557167749,0.0323943661971831,0.0352112676056338,-0.0028169014084507,0.00563380281690141,0.0416677831351187,0.0495659381393018,2,2
9,644.315799031692,643.510231204114,-1.61113565515643,0.023943661971831,0.023943661971831,0,0.0197183098591549,0.0612677414259378,0.0693680468875469,2,2
10,650.934730107291,650.225448566131,-1.41856308231991,0.0380281690140845,0.0352112676056338,0.0028169014084507,0.0197183098591549,0.0489151993536631,0.0496066260148247,2,2
11,621.386903298907,620.497302756145,-1.77920108552439,0.0380281690140845,0.0323943661971831,0.00563380281690143,0.00845070422535212,0.0354379527577288,0.0404999934394576,1,1
12,627.392120184422,627.875849542022,0.967458715201474,0.0380281690140845,0.0323943661971831,0.0056338028169014,0.00845070422535212,0.0449372938195701,0.040712802808886,2,2
13,638.422759199531,637.83483416506,-1.17585006894251,0.0633802816901408,0.052112676056338,0.0112676056338028,0.0112676056338028,0.0429954810614467,0.0444063149570926,1,2
14,653.36259451335,653.160470051179,-0.40424892434271,0.0211267605633803,0.0211267605633803,0,0.00845070422535212,0.0238002510655727,0.0275475936762882,2,2
15,629.301088374718,628.477941712174,-1.64629332508753,0.023943661971831,0.0183098591549296,0.0056338028169014,0.0169014084507042,0.0374842132138052,0.0458349644826656,2,2
16,644.459350480711,644.999223162486,1.07974536355118,0.0323943661971831,0.0323943661971831,0,0.00563380281690141,0.0369708070875852,0.0382453231162542,2,2
17,638.144780954073,637.746950071236,-0.795661765673685,0.0380281690140845,0.0408450704225352,-0.00281690140845071,0.0253521126760563,0.0532456278529827,0.0593901684094791,2,2
18,655.1842805519,654.494566605987,-1.37942789182625,0.0408450704225352,0.0295774647887324,0.0112676056338028,0.0140845070422535,0.0562986457553961,0.0600189881437279,1,2
19,627.248963339917,626.526990775241,-1.44394512935082,0.0183098591549296,0.0183098591549296,0,0.0112676056338028,0.0333311790042918,0.0351042412239959,2,2
20,633.651475847674,633.69168779362,0.0804238918919964,0.0323943661971831,0.0267605633802817,0.0056338028169014,0.00845070422535212,0.0393261896003207,0.0398860542974769,2,2
