Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.1,0.100422535211268,0.105774647887324
2,0.1,0.2,0.0919718309859155,0.0950704225352113
3,0.2,0.3,0.106478873239437,0.106338028169014
4,0.3,0.4,0.0967605633802817,0.0980281690140845
5,0.4,0.5,0.104647887323944,0.10112676056338
6,0.5,0.6,0.0997183098591549,0.0985915492957747
7,0.6,0.7,0.0966197183098592,0.0953521126760563
8,0.7,0.8,0.104225352112676,0.101549295774648
9,0.8,0.9,0.102816901408451,0.10169014084507
10,0.9,1,0.0963380281690141,0.0964788732394366
