Simulation,LL_A,LL_B,TestStatistic,PIT_Sup_A,PIT_Sup_B,PIT_Gain_B,PIT_Pairwise_Delta,KS_A,KS_B,ExitFlag_A,ExitFlag_B
1,615.089403490845,614.984061919734,-0.210683142222024,0.0295774647887324,0.0323943661971831,-0.00281690140845071,0.0112676056338028,0.0445303931455178,0.0383307519542911,2,2
2,612.26120593042,612.194673215272,-0.133065430297393,0.0183098591549296,0.0211267605633803,-0.00281690140845071,0.00845070422535212,0.0358371828506139,0.0399558746766922,1,2
3,645.115592050926,644.938800735791,-0.353582630269784,0.0183098591549296,0.0126760563380282,0.00563380281690139,0.0169014084507042,0.0389398731181261,0.0453513704606842,2,2
4,623.699068605525,624.453606605218,1.50907599938614,0.0408450704225352,0.0408450704225352,0,0.00563380281690141,0.0439715079407536,0.0349539551702124,2,2
5,607.251937484904,607.057151014494,-0.389572940821154,0.0183098591549296,0.0183098591549296,0,0.0225352112676056,0.0289353316017207,0.0505606344351646,2,2
6,635.193791003287,635.064970808623,-0.257640389329254,0.023943661971831,0.023943661971831,0,0.00563380281690141,0.0267373214997531,0.024968611832156,2,2
7,634.296735715362,633.714562437446,-1.16434655583203,0.0323943661971831,0.0323943661971831,0,0.0169014084507042,0.0428475381820114,0.0430146239965854,2,2
8,600.33372657209,600.080240337422,-0.506972469334187,0.0295774647887324,0.0295774647887324,0,0.0112676056338028,0.0460301143904054,0.0404743855966774,2,2
9,625.428913580966,624.565589784686,-1.7266475925594,0.0267605633802817,0.0183098591549296,0.00845070422535212,0.0197183098591549,0.0357746276915191,0.045405446217898,2,2
10,646.122347757422,646.019776208238,-0.205143098368126,0.023943661971831,0.023943661971831,0,0.0140845070422535,0.044770503927028,0.042163505900358,2,2
11,616.831116549524,616.240747805924,-1.18073748719962,0.023943661971831,0.0267605633802817,-0.0028169014084507,0.0169014084507042,0.026703716411766,0.039569964523795,2,2
12,625.750873922873,626.448683468966,1.39561909218673,0.0183098591549296,0.0211267605633803,-0.00281690140845071,0.00845070422535212,0.0398243982238968,0.0279492305092779,1,2
13,623.646862696579,624.494741291849,1.69575719053955,0.0295774647887324,0.0323943661971831,-0.00281690140845071,0.0056338028169014,0.0370884047098398,0.0391385322658008,2,2
14,643.548716321335,645.004522499174,2.91161235567824,0.0323943661971831,0.0323943661971831,0,0.00845070422535212,0.0391091143488537,0.0376143724192347,2,2
15,640.517776987118,641.672563621246,2.30957326825569,0.0183098591549296,0.0211267605633803,-0.00281690140845071,0.0084507042253521,0.0478511970561439,0.0429825946920228,2,1
16,617.569388068565,617.879380692824,0.61998524851947,0.0211267605633803,0.0295774647887324,-0.00845070422535212,0.0197183098591549,0.0313829588435372,0.0265669698801755,2,1
17,621.093032914564,621.958330687956,1.73059554678366,0.0267605633802817,0.0267605633802817,0,0.00845070422535212,0.0403924160482302,0.0351975754419822,1,2
18,640.585335349977,641.321370006774,1.47206931359551,0.0323943661971831,0.0267605633802817,0.00563380281690141,0.0112676056338028,0.0358793122851573,0.0268907459149488,2,2
19,639.485560559572,639.432063452092,-0.106994214961333,0.0211267605633803,0.0183098591549296,0.0028169014084507,0.0112676056338028,0.0386734666360601,0.0419038752124312,1,2
20,633.807940073513,633.470173021934,-0.675534103158952,0.0211267605633803,0.0211267605633803,0,0.0112676056338028,0.0255345793685987,0.0306719912905996,2,2
