Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.05,0.0499014084507042,0.0478169014084507
2,0.05,0.1,0.0524366197183098,0.0508169014084507
3,0.1,0.15,0.0509859154929577,0.0498450704225352
4,0.15,0.2,0.0507464788732394,0.0498169014084507
5,0.2,0.25,0.0508450704225352,0.0503239436619718
6,0.25,0.3,0.0523521126760563,0.0518169014084507
7,0.3,0.35,0.0494225352112676,0.0499295774647887
8,0.35,0.4,0.0492112676056338,0.0501267605633803
9,0.4,0.45,0.0494225352112676,0.0499014084507042
10,0.45,0.5,0.0491267605633803,0.0495070422535211
11,0.5,0.55,0.0497746478873239,0.0506901408450704
12,0.55,0.6,0.0487605633802817,0.0494225352112676
13,0.6,0.65,0.0514507042253521,0.0514929577464788
14,0.65,0.7,0.0498169014084507,0.05
15,0.7,0.75,0.0509014084507042,0.051169014084507
16,0.75,0.8,0.047281690140845,0.049
17,0.8,0.85,0.050281690140845,0.0492676056338028
18,0.85,0.9,0.0490845070422535,0.0496619718309859
19,0.9,0.95,0.0493239436619718,0.0499295774647887
20,0.95,1,0.0488732394366197,0.0494647887323943
