Simulation,LL_Null,LL_Alternative,TestStatistic,PIT_Sup_Null,PIT_Sup_Alternative,PIT_Pairwise_Delta,KS_Null,KS_Alternative,ExitFlag_Null,ExitFlag_Alternative
1,602.643510907583,603.349970713367,1.41291961156981,0.0183098591549296,0.0183098591549296,0.00845070422535212,0.030933043517244,0.0219970787206859,2,2
2,636.140375412414,636.186041102265,0.0913313797025239,0.0267605633802817,0.023943661971831,0.00563380281690141,0.0273273260160634,0.026003204907826,2,2
3,637.494171600624,639.289449119712,3.59055503817535,0.0295774647887324,0.0267605633802817,0.0338028169014084,0.0435995186743003,0.0302874490470755,1,2
4,585.418218017938,589.883915282361,8.93139452884725,0.0267605633802817,0.0183098591549296,0.0253521126760563,0.0532596498164797,0.0279657780363808,2,2
5,617.188130590511,618.265557415905,2.15485365078894,0.0154929577464789,0.0183098591549296,0.0169014084507042,0.0263965404635973,0.0196286670633897,2,2
6,623.992761392218,624.255680047085,0.52583730973538,0.0380281690140845,0.0408450704225352,0.00563380281690141,0.0379424984627573,0.0420128631973434,2,2
7,623.704369802248,624.520107473043,1.63147534158907,0.0183098591549296,0.0211267605633803,0.0225352112676056,0.0299082550777343,0.0316931983277767,1,2
8,638.787223252441,639.033876036366,0.493305567848438,0.0211267605633803,0.023943661971831,0.0112676056338028,0.0351127291627086,0.0398785602322891,2,2
9,622.433649681389,625.275564328539,5.68382929430004,0.0323943661971831,0.0295774647887324,0.0197183098591549,0.0529884659711293,0.0251237542059799,2,2
10,623.257630882111,623.805784861307,1.09630795839212,0.023943661971831,0.0211267605633803,0.00845070422535212,0.0262099738541096,0.0235757082344968,2,2
11,664.390477714213,669.190298178797,9.59964092916721,0.0492957746478873,0.0408450704225352,0.0112676056338028,0.0653736454687739,0.0471418259656242,1,2
12,638.307945438241,640.723181818874,4.83047276126581,0.0464788732394366,0.0183098591549296,0.0422535211267606,0.0590715195926416,0.0299648339744252,2,2
13,632.233619812574,635.401632630508,6.33602563586805,0.0380281690140845,0.0436619718309859,0.00563380281690141,0.0281147563254182,0.0311262923011922,2,2
14,627.493892336622,627.581427148511,0.175069623778882,0.0154929577464789,0.0183098591549296,0.0028169014084507,0.0303180912482524,0.0294644002434722,2,2
15,638.373260047246,638.41056572487,0.0746113552477254,0.0380281690140845,0.0380281690140845,0.00563380281690141,0.0419203508099705,0.0413880240023662,1,2
16,601.369380961675,603.320140510198,3.90151909704673,0.023943661971831,0.0295774647887324,0.0169014084507042,0.0405712104707776,0.0390591843424035,2,2
17,641.53650895261,642.087537543342,1.10205718146472,0.0183098591549296,0.0211267605633803,0.0112676056338028,0.0293017733573176,0.0225683315442461,2,2
18,611.960409808091,613.220662150468,2.52050468475431,0.0267605633802817,0.0267605633802817,0.0140845070422535,0.051245744859833,0.0344135413506627,2,2
