Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.1,0.102338028169014,0.103577464788732
2,0.1,0.2,0.101732394366197,0.101464788732394
3,0.2,0.3,0.103197183098592,0.102295774647887
4,0.3,0.4,0.0986338028169014,0.0978873239436619
5,0.4,0.5,0.0985492957746479,0.0981267605633803
6,0.5,0.6,0.0985352112676056,0.0986619718309859
7,0.6,0.7,0.101267605633803,0.100746478873239
8,0.7,0.8,0.0981830985915493,0.0984929577464789
9,0.8,0.9,0.0993661971830986,0.099112676056338
10,0.9,1,0.0981971830985915,0.0996338028169014
