Simulation,LL_Null,LL_Alternative,Alpha_B,Beta_B,TestStatistic,PIT_Sup_Null,PIT_Sup_Alternative,PIT_Pairwise_Delta,KS_Null,KS_Alternative,ExitFlag_Null,ExitFlag_Alternative,AlphaSearchExpanded,AlphaBoundaryHit,AlphaCandidatesEvaluated,AlphaCandidatesEstimated,AlphaNullCandidateReused,AlphaSearchStopReason
1,602.643510907583,602.775761861297,1.05,1,0.264501907429121,0.0119718309859155,0.0190140845070423,0.0140845070422535,0.030933043517244,0.0269022811774822,2,1,0,0,5,4,1,interior optimum
2,636.140375412414,636.285979038491,0.95,1,0.291207252153754,0.021830985915493,0.021830985915493,0.00845070422535212,0.0273273260160634,0.0236230475815227,2,2,0,0,5,4,1,interior optimum
3,637.494171600624,637.624502945163,0.95,1,0.260662689079027,0.0246478873239437,0.021830985915493,0.0140845070422535,0.0435995186743003,0.0342654217422,1,2,0,0,5,4,1,interior optimum
4,585.418218017938,585.418218017938,1,1,0,0.0176056338028169,0.0176056338028169,0,0.0532596498164797,0.0532596498164797,2,2,0,0,5,4,1,interior optimum
5,617.188130590511,617.62651952681,1.05,1,0.876777872599632,0.0147887323943662,0.0232394366197183,0.0140845070422535,0.0263965404635973,0.0248065453571216,2,2,1,0,7,6,1,interior optimum
6,623.992761392218,623.992761392218,1,1,0,0.026056338028169,0.026056338028169,0,0.0379424984627573,0.0379424984627573,2,2,0,0,5,4,1,interior optimum
7,623.704369802248,623.704369802248,1,1,0,0.0232394366197183,0.0232394366197183,0,0.0299082550777343,0.0299082550777343,1,1,0,0,5,4,1,interior optimum
8,638.787223252441,640.772499223148,0.9,1,3.97055194141399,0.0161971830985916,0.0204225352112676,0.0197183098591549,0.0351127291627086,0.0297508770633882,2,1,1,0,7,6,1,interior optimum
9,622.433649681389,623.346671286304,0.95,1,1.82604320982978,0.0232394366197183,0.021830985915493,0.0197183098591549,0.0529884659711293,0.0429520001719653,2,1,1,0,7,6,1,interior optimum
10,623.257630882111,623.257630882111,1,1,0,0.0204225352112676,0.0204225352112676,0,0.0262099738541096,0.0262099738541096,2,2,0,0,5,4,1,interior optimum
11,664.390477714213,665.685394197376,0.95,1,2.58983296632573,0.0274647887323944,0.0302816901408451,0.0197183098591549,0.0653736454687739,0.0479294120334111,1,1,1,0,7,6,1,interior optimum
12,638.307945438241,640.250437252539,0.9,1,3.88498362859673,0.0274647887323944,0.0274647887323944,0.0338028169014084,0.0590715195926416,0.0463166590660271,2,2,1,0,7,6,1,interior optimum
13,632.233619812574,632.71431130802,0.95,1,0.961382990892844,0.0232394366197183,0.021830985915493,0.0225352112676056,0.0281147563254182,0.0293235053785367,2,2,0,0,5,4,1,interior optimum
14,627.493892336622,627.493892336622,1,1,0,0.021830985915493,0.021830985915493,0,0.0303180912482524,0.0303180912482524,2,2,0,0,5,4,1,interior optimum
15,638.373260047246,639.048687090337,0.95,1,1.35085408618193,0.0373239436619718,0.0373239436619718,0.0197183098591549,0.0419203508099705,0.0364839644783798,1,2,0,0,5,4,1,interior optimum
16,601.369380961675,601.369380961675,1,1,0,0.0204225352112676,0.0204225352112676,0,0.0405712104707776,0.0405712104707776,2,2,0,0,5,4,1,interior optimum
17,641.53650895261,641.963414399636,0.95,1,0.85381089405314,0.0232394366197183,0.0204225352112676,0.0140845070422535,0.0293017733573176,0.0211615055490153,2,2,0,0,5,4,1,interior optimum
