Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.1,0.102028169014085,0.0985915492957747
2,0.1,0.2,0.102478873239437,0.100169014084507
3,0.2,0.3,0.100338028169014,0.100676056338028
4,0.3,0.4,0.0997746478873239,0.0990985915492958
5,0.4,0.5,0.104450704225352,0.104507042253521
6,0.5,0.6,0.100957746478873,0.102816901408451
7,0.6,0.7,0.0963380281690141,0.0976338028169014
8,0.7,0.8,0.0981971830985915,0.0996619718309859
9,0.8,0.9,0.100732394366197,0.100281690140845
10,0.9,1,0.0947042253521127,0.0965633802816901
