Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.05,0.0503098591549296,0.0506478873239437
2,0.05,0.1,0.052112676056338,0.0525633802816901
3,0.1,0.15,0.0502535211267606,0.0510985915492958
4,0.15,0.2,0.048112676056338,0.0468732394366197
5,0.2,0.25,0.0493521126760563,0.0507042253521127
6,0.25,0.3,0.0500281690140845,0.0499718309859155
7,0.3,0.35,0.0522816901408451,0.051943661971831
8,0.35,0.4,0.052112676056338,0.0527887323943662
9,0.4,0.45,0.0490140845070423,0.0490140845070423
10,0.45,0.5,0.0505352112676056,0.0500281690140845
11,0.5,0.55,0.0505915492957747,0.0500845070422535
12,0.55,0.6,0.0522253521126761,0.0517183098591549
13,0.6,0.65,0.0496338028169014,0.0498591549295775
14,0.65,0.7,0.0493521126760563,0.0496338028169014
15,0.7,0.75,0.0474929577464789,0.0473802816901408
16,0.75,0.8,0.0498028169014085,0.0492957746478873
17,0.8,0.85,0.0461971830985915,0.0463098591549296
18,0.85,0.9,0.0525070422535211,0.0522253521126761
19,0.9,0.95,0.048112676056338,0.0476056338028169
20,0.95,1,0.0499718309859155,0.0502535211267606
