Simulation,LL_A,LL_B,Beta_A,Beta_B,TestStatistic,PIT_Sup_A,PIT_Sup_B,PIT_Gain_B,PIT_Pairwise_Delta,KS_A,KS_B,ExitFlag_A,ExitFlag_B
1,623.104305245169,623.109158127681,1,0.99,0.00970576502436415,0.0380281690140845,0.0323943661971831,0.00563380281690143,0.00563380281690143,0.0316468550360572,0.0321966090083278,2,2
2,631.153153850319,632.045395914933,1,0.88,1.78448412922876,0.0211267605633803,0.0211267605633803,0,0.0140845070422535,0.0399593909963606,0.0354421297076145,2,2
3,613.838781410706,614.040248925469,1,1.02,0.402935029525679,0.023943661971831,0.023943661971831,0,0.00563380281690141,0.0355393020754205,0.0333889026719064,2,1
4,630.754099433284,630.854912815041,1,1.02,0.201626763514469,0.0323943661971831,0.0323943661971831,0,0.00281690140845071,0.0356546923042459,0.0350106443070025,2,1
5,631.550491497095,631.573589836425,1,0.97,0.0461966786594985,0.0183098591549296,0.0183098591549296,1.38777878078145e-17,0.00845070422535212,0.0326576240123299,0.0341207444429455,1,1
6,623.632939324054,623.768212822014,1,0.93,0.270546995920085,0.0323943661971831,0.0295774647887324,0.00281690140845073,0.0112676056338028,0.0278585008725663,0.0350357853127384,2,2
7,619.365165907275,619.367425329419,1,1.01,0.00451884428912308,0.0267605633802817,0.0267605633802817,0,0.00281690140845071,0.0227351094671023,0.0232277002112115,2,1
8,618.995365698772,619.062908224081,1,1.02,0.1350850506185,0.0352112676056338,0.0323943661971831,0.0028169014084507,0.00281690140845071,0.0379652300414035,0.0402396244494487,2,2
9,633.577120274194,633.643400268911,1,0.95,0.13255998943373,0.0295774647887324,0.0323943661971831,-0.00281690140845071,0.00563380281690141,0.0556722171836221,0.0502226225536577,2,2
10,600.179481106155,600.477154852626,1,1.02,0.59534749294221,0.0352112676056338,0.0295774647887324,0.0056338028169014,0.00845070422535212,0.0354106744600559,0.0341762219547637,2,1
11,626.356140606114,626.372297973861,1,1.02,0.0323147354954472,0.0154929577464789,0.0183098591549296,-0.00281690140845071,0.00563380281690141,0.0265279898683264,0.0255378673220674,2,2
12,609.241076082414,609.277049798948,1,0.97,0.0719474330680896,0.0267605633802817,0.0267605633802817,0,0.00845070422535212,0.0497099199817994,0.0494230703495201,1,1
13,592.95459480595,593.204373883725,1,1.02,0.499558155550176,0.0211267605633803,0.0211267605633803,0,0.00281690140845071,0.040630325438706,0.039165940346048,1,1
