date_TTM_30,exdate_TTM_30,kappa_TTM_30,date_TTM_60,exdate_TTM_60,kappa_TTM_60,date_TTM_90,exdate_TTM_90,kappa_TTM_90,date_TTM_180,exdate_TTM_180,kappa_TTM_180
19960118,19960216,0.852432389579318,19960116,19960315,0.982777409379698,19960122,19960419,0.89667595696003,19960325,19960920,0.912088243579106
19960215,19960315,0.852469355705898,19960220,19960419,0.982149928821478,19960220,19960517,0.938768388280657,19960624,19961220,0.922566642668789
19960321,19960419,0.852208136560517,19960319,19960517,0.979148387482535,19960325,19960621,0.894736066495806,19960923,19970321,0.92147862299893
19960418,19960517,0.853700136013473,19960423,19960621,0.983322937945668,19960422,19960719,0.926374253195515,19961223,19970620,0.919308101884837
19960523,19960621,0.852854593761831,19960521,19960719,0.982188018250509,19960520,19960816,0.884645808963038,19970324,19970919,0.921905899836672
19960620,19960719,0.853251328207009,19960618,19960816,0.981152252034866,19960624,19960920,0.898037122257112,19970623,19971219,0.927294712509446
19960718,19960816,0.852228544628591,19960723,19960920,0.983829139669435,19960722,19961018,0.871762660247332,19970922,19980320,0.923178256203573
19960822,19960920,0.85353448231253,19960820,19961018,0.984763783582931,19960819,19961115,0.88117318567574,19971222,19980619,0.932969584246331
19960919,19961018,0.852952793444757,19960917,19961115,0.98395858369367,19960923,19961220,0.897922228600338,19980323,19980918,0.92899639517509
19961017,19961115,0.853115913708141,19961022,19961220,0.983451567642824,19961021,19970117,0.873577218691224,19980622,19981218,0.934333965856634
19961121,19961220,0.853107984804369,19961119,19970117,0.982780531529968,19961125,19970221,0.88684482189221,19980921,19990319,0.951016825024113
19961219,19970117,0.853005948058722,19961224,19970221,0.983070606027902,19961223,19970321,0.895501010983871,19981221,19990618,0.939728554677916
19970123,19970221,0.852819804182552,19970121,19970321,0.98319945886278,19970120,19970418,0.876615803439236,19990322,19990917,0.935945169347041
19970220,19970321,0.852732897015674,19970218,19970418,0.987059012765839,19970324,19970620,0.895306888299637,19990621,19991217,0.939692379434733
