target_ttm_days,calendar_year,relative_file,quote_date_count,row_count,first_quote_date,last_quote_date,min_grid_points_per_date,max_grid_points_per_date,columns
30,1996,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_1996.csv,12,360000,19960117,19961218,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,1997,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_1997.csv,12,360000,19970122,19971217,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,1998,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_1998.csv,12,360000,19980121,19981216,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,1999,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_1999.csv,12,360000,19990120,19991222,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2000,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2000.csv,12,360000,20000119,20001220,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2001,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2001.csv,12,360000,20010117,20011219,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2002,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2002.csv,12,360000,20020116,20021218,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2003,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2003.csv,12,360000,20030122,20031217,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2004,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2004.csv,12,360000,20040121,20041222,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2005,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2005.csv,12,360000,20050119,20051221,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2006,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2006.csv,12,360000,20060118,20061220,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2007,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2007.csv,12,360000,20070117,20071219,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2008,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2008.csv,12,360000,20080116,20081217,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2009,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2009.csv,12,360000,20090121,20091216,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2010,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2010.csv,12,360000,20100120,20101222,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2011,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2011.csv,12,360000,20110119,20111221,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2012,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2012.csv,12,360000,20120118,20121219,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2013,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2013.csv,12,360000,20130116,20131218,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2014,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2014.csv,12,360000,20140122,20141217,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2015,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2015.csv,12,360000,20150121,20151216,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2016,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2016.csv,12,360000,20160120,20161221,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2017,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2017.csv,12,360000,20170118,20171220,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2018,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2018.csv,12,360000,20180117,20181219,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2019,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2019.csv,12,360000,20190116,20191218,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2020,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2020.csv,12,360000,20200122,20201216,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2021,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2021.csv,12,360000,20210120,20211222,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2022,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2022.csv,12,360000,20220119,20221221,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2023,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2023.csv,12,360000,20230118,20231220,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
30,2024,SDF_Grid_CSV\CubicBSpline_TTM030_SDFGrid_2024.csv,12,360000,20240117,20241218,30000,30000,target_ttm_days|quote_date|grid_index|gross_return_R|sdf_M
